task,attack_type,is_multi_episode,fold,held_out_ep,held_out_day,test_attack_windows,test_benign_windows,test_total,excluded_windows,train_total,a_f1,a_prec,a_rec,a_prauc,b_f1,b_prec,b_rec,b_prauc
detection,SSH-Bruteforce,True,0,14-02-2018_SSH-Bruteforce_0,14-02-2018,1,10,11,0,2776,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
detection,SSH-Bruteforce,True,1,14-02-2018_SSH-Bruteforce_1,14-02-2018,4,10,14,0,2773,0.9230769230769232,0.8571428571428571,1.0,1.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8373015873015873
detection,SSH-Bruteforce,True,2,14-02-2018_SSH-Bruteforce_2,14-02-2018,10,10,20,0,2767,0.9166666666666666,0.8461538461538461,1.0,1.0,0.9166666666666666,0.8461538461538461,1.0,0.8146853146853146
detection,SSH-Bruteforce,True,3,14-02-2018_SSH-Bruteforce_3,14-02-2018,1,10,11,0,2776,1.0,1.0,1.0,1.0,0.8571428571428571,0.75,1.0,0.6944444444444444
detection,SSH-Bruteforce,True,4,14-02-2018_SSH-Bruteforce_4,14-02-2018,8,10,18,0,2769,0.9523809523809524,1.0,0.9090909090909092,0.9679144385026738,0.9565217391304348,0.9166666666666666,1.0,0.9318181818181815
detection,SSH-Bruteforce,True,5,14-02-2018_SSH-Bruteforce_5,14-02-2018,12,13,25,0,2762,0.9333333333333332,0.9333333333333332,0.9333333333333332,0.9958333333333332,0.9090909090909092,0.8333333333333334,1.0,0.8980392156862745
detection,SSH-Bruteforce,True,6,14-02-2018_SSH-Bruteforce_6,14-02-2018,33,33,66,0,2721,0.9629629629629628,0.975,0.951219512195122,0.9852972678417076,0.9213483146067416,0.8541666666666666,1.0,0.8967580669595515
detection,SSH-Bruteforce,True,7,14-02-2018_SSH-Bruteforce_7,14-02-2018,6,10,16,0,2771,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.9535634118967452,1.0,1.0,1.0,1.0
detection,SSH-Bruteforce,True,8,14-02-2018_SSH-Bruteforce_8,14-02-2018,7,10,17,0,2770,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.9477124183006536,0.9473684210526316,0.9,1.0,0.8481481481481482
detection,DDOS-LOIC-UDP,True,10,21-02-2018_DDOS-LOIC-UDP_0,21-02-2018,1,10,11,0,2776,0.9090909090909092,1.0,0.8333333333333334,1.0,0.9090909090909092,1.0,0.8333333333333334,0.976190476190476
detection,DDOS-LOIC-UDP,True,11,21-02-2018_DDOS-LOIC-UDP_1,21-02-2018,1,10,11,0,2776,0.6666666666666666,0.5,1.0,0.7222222222222222,0.6,0.4285714285714285,1.0,0.7333333333333334
detection,DDOS-LOIC-UDP,True,12,21-02-2018_DDOS-LOIC-UDP_2,21-02-2018,1,10,11,0,2776,1.0,1.0,1.0,1.0,0.6666666666666666,0.5,1.0,1.0
detection,DDOS-LOIC-UDP,True,13,21-02-2018_DDOS-LOIC-UDP_3,21-02-2018,2,10,12,0,2775,0.8571428571428571,1.0,0.75,0.8333333333333334,0.8888888888888888,0.8,1.0,0.8500000000000001
detection,DDOS-LOIC-UDP,True,14,21-02-2018_DDOS-LOIC-UDP_4,21-02-2018,1,10,11,0,2776,1.0,1.0,1.0,1.0,0.3333333333333333,0.2,1.0,0.3333333333333333
detection,DDOS-LOIC-UDP,True,15,21-02-2018_DDOS-LOIC-UDP_5,21-02-2018,1,10,11,0,2776,0.8571428571428571,1.0,0.75,1.0,0.7272727272727273,0.5714285714285714,1.0,0.8500000000000001
detection,DDOS-LOIC-UDP,True,16,21-02-2018_DDOS-LOIC-UDP_6,21-02-2018,1,10,11,0,2776,0.6666666666666666,0.6,0.75,0.725,0.8888888888888888,0.8,1.0,0.8500000000000001
detection,DDOS-LOIC-UDP,True,17,21-02-2018_DDOS-LOIC-UDP_7,21-02-2018,1,10,11,0,2776,0.8,1.0,0.6666666666666666,0.7575757575757576,0.8571428571428571,0.75,1.0,1.0
detection,DDOS-LOIC-UDP,True,18,21-02-2018_DDOS-LOIC-UDP_8,21-02-2018,1,10,11,0,2776,1.0,1.0,1.0,1.0,0.8888888888888888,0.8,1.0,0.95
detection,DDOS-LOIC-UDP,True,19,21-02-2018_DDOS-LOIC-UDP_9,21-02-2018,1,10,11,0,2776,0.9090909090909092,0.8333333333333334,1.0,1.0,0.8333333333333334,0.7142857142857143,1.0,1.0
detection,DDOS-LOIC-UDP,True,20,21-02-2018_DDOS-LOIC-UDP_10,21-02-2018,1,10,11,0,2776,1.0,1.0,1.0,1.0,0.7272727272727273,0.5714285714285714,1.0,0.7916666666666666
detection,DDOS-LOIC-UDP,True,21,21-02-2018_DDOS-LOIC-UDP_11,21-02-2018,1,10,11,0,2776,0.5714285714285714,0.4,1.0,0.5,0.5714285714285714,0.4,1.0,0.75
detection,DDOS-LOIC-UDP,True,22,21-02-2018_DDOS-LOIC-UDP_12,21-02-2018,1,10,11,0,2776,1.0,1.0,1.0,1.0,0.8,0.6666666666666666,1.0,0.8154761904761905
detection,DDOS-LOIC-UDP,True,23,21-02-2018_DDOS-LOIC-UDP_13,21-02-2018,1,10,11,0,2776,1.0,1.0,1.0,1.0,0.75,0.6,1.0,0.8333333333333333
detection,DDOS-LOIC-UDP,True,24,21-02-2018_DDOS-LOIC-UDP_14,21-02-2018,1,10,11,0,2776,0.8888888888888888,1.0,0.8,0.8909090909090909,0.9090909090909092,0.8333333333333334,1.0,1.0
