attack_type,fold,held_out_ep,held_out_day,test_attack_windows,test_benign_windows,test_total,excluded_windows,train_total,benign_day_breakdown,a_f1,a_prec,a_rec,a_prauc,b_f1,b_prec,b_rec,b_prauc
Botnet,0,91,01-03-2018,15,15,19,11,2897,"{'01-03-2018': 2, '02-03-2018': 3, '14-02-2018': 3, '21-02-2018': 1, '22-02-2018': 3, '28-02-2018': 3}",0.0,0.0,0.0,0.6842105263157895,0.0,0.0,0.0,0.6469000555687863
Botnet,1,93,02-03-2018,10,11,7,14,2906,"{'01-03-2018': 2, '02-03-2018': 2, '14-02-2018': 2, '21-02-2018': 1, '22-02-2018': 2, '28-02-2018': 2}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Botnet,2,95,02-03-2018,12,13,13,12,2902,"{'01-03-2018': 2, '02-03-2018': 2, '14-02-2018': 2, '21-02-2018': 1, '22-02-2018': 3, '28-02-2018': 3}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Botnet,3,99,02-03-2018,11,11,18,4,2905,"{'01-03-2018': 2, '02-03-2018': 2, '14-02-2018': 2, '21-02-2018': 1, '22-02-2018': 2, '28-02-2018': 2}",0.5714285714285714,1.0,0.4,0.7202614379084967,0.9523809523809523,0.9090909090909091,1.0,1.0
Botnet,4,101,02-03-2018,1,11,8,4,2915,"{'01-03-2018': 2, '02-03-2018': 2, '14-02-2018': 2, '21-02-2018': 1, '22-02-2018': 2, '28-02-2018': 2}",0.0,0.0,0.0,0.16666666666666666,1.0,1.0,1.0,1.0
Botnet,5,103,02-03-2018,1,11,8,4,2915,"{'01-03-2018': 2, '02-03-2018': 2, '14-02-2018': 2, '21-02-2018': 1, '22-02-2018': 2, '28-02-2018': 2}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Botnet,6,105,02-03-2018,4,11,9,6,2912,"{'01-03-2018': 2, '02-03-2018': 2, '14-02-2018': 2, '21-02-2018': 1, '22-02-2018': 2, '28-02-2018': 2}",0.0,0.0,0.0,0.1111111111111111,0.6666666666666666,0.5,1.0,1.0
Botnet,7,107,02-03-2018,4,11,7,8,2912,"{'01-03-2018': 2, '02-03-2018': 2, '14-02-2018': 2, '21-02-2018': 1, '22-02-2018': 2, '28-02-2018': 2}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Botnet,8,109,02-03-2018,3,11,9,5,2913,"{'01-03-2018': 2, '02-03-2018': 2, '14-02-2018': 2, '21-02-2018': 1, '22-02-2018': 2, '28-02-2018': 2}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Botnet,9,111,02-03-2018,7,11,7,11,2909,"{'01-03-2018': 2, '02-03-2018': 2, '14-02-2018': 2, '21-02-2018': 1, '22-02-2018': 2, '28-02-2018': 2}",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.25
Botnet,10,113,02-03-2018,5,11,6,10,2911,"{'01-03-2018': 2, '02-03-2018': 2, '14-02-2018': 2, '21-02-2018': 1, '22-02-2018': 2, '28-02-2018': 2}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DDOS-LOIC-UDP,0,28,21-02-2018,11,11,16,6,2906,"{'01-03-2018': 2, '02-03-2018': 2, '14-02-2018': 2, '21-02-2018': 1, '22-02-2018': 2, '28-02-2018': 2}",0.13333333333333333,0.5,0.07692307692307693,0.7884615384615384,0.7619047619047619,1.0,0.6153846153846154,0.9497377622377623
DDOS-LOIC-UDP,1,30,21-02-2018,1,11,7,5,2915,"{'01-03-2018': 2, '02-03-2018': 2, '14-02-2018': 2, '21-02-2018': 1, '22-02-2018': 2, '28-02-2018': 2}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DDOS-LOIC-UDP,2,32,21-02-2018,1,11,11,1,2915,"{'01-03-2018': 2, '02-03-2018': 2, '14-02-2018': 2, '21-02-2018': 1, '22-02-2018': 2, '28-02-2018': 2}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DDOS-LOIC-UDP,3,34,21-02-2018,2,11,8,5,2914,"{'01-03-2018': 2, '02-03-2018': 2, '14-02-2018': 2, '21-02-2018': 1, '22-02-2018': 2, '28-02-2018': 2}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DDOS-LOIC-UDP,4,36,21-02-2018,1,11,8,4,2915,"{'01-03-2018': 2, '02-03-2018': 2, '14-02-2018': 2, '21-02-2018': 1, '22-02-2018': 2, '28-02-2018': 2}",0.0,0.0,0.0,0.16666666666666666,1.0,1.0,1.0,1.0
DDOS-LOIC-UDP,5,38,21-02-2018,1,11,8,4,2915,"{'01-03-2018': 2, '02-03-2018': 2, '14-02-2018': 2, '21-02-2018': 1, '22-02-2018': 2, '28-02-2018': 2}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DDOS-LOIC-UDP,6,40,21-02-2018,1,11,9,3,2915,"{'01-03-2018': 2, '02-03-2018': 2, '14-02-2018': 2, '21-02-2018': 1, '22-02-2018': 2, '28-02-2018': 2}",0.0,0.0,0.0,0.1111111111111111,0.6666666666666666,0.5,1.0,1.0
