feature,is_prohibited
duration_microsec_mean,False
duration_microsec_std,False
duration_microsec_sum,False
duration_microsec_min,False
duration_microsec_max,False
packet_count_fwd_mean,False
packet_count_fwd_std,False
packet_count_fwd_sum,False
packet_count_fwd_min,False
packet_count_fwd_max,False
packet_count_bwd_mean,False
packet_count_bwd_std,False
packet_count_bwd_sum,False
packet_count_bwd_min,False
packet_count_bwd_max,False
byte_count_fwd_mean,False
byte_count_fwd_std,False
byte_count_fwd_sum,False
byte_count_fwd_min,False
byte_count_fwd_max,False
byte_count_bwd_mean,False
byte_count_bwd_std,False
byte_count_bwd_sum,False
byte_count_bwd_min,False
byte_count_bwd_max,False
fwd_pkt_len_max_mean,False
fwd_pkt_len_max_std,False
fwd_pkt_len_max_sum,False
fwd_pkt_len_max_min,False
fwd_pkt_len_max_max,False
fwd_pkt_len_min_mean,False
fwd_pkt_len_min_std,False
fwd_pkt_len_min_sum,False
fwd_pkt_len_min_min,False
fwd_pkt_len_min_max,False
fwd_pkt_len_mean_mean,False
fwd_pkt_len_mean_std,False
fwd_pkt_len_mean_sum,False
fwd_pkt_len_mean_min,False
fwd_pkt_len_mean_max,False
fwd_pkt_len_std_mean,False
fwd_pkt_len_std_std,False
fwd_pkt_len_std_sum,False
fwd_pkt_len_std_min,False
fwd_pkt_len_std_max,False
bwd_pkt_len_max_mean,False
bwd_pkt_len_max_std,False
bwd_pkt_len_max_sum,False
bwd_pkt_len_max_min,False
bwd_pkt_len_max_max,False
bwd_pkt_len_min_mean,False
bwd_pkt_len_min_std,False
bwd_pkt_len_min_sum,False
bwd_pkt_len_min_min,False
bwd_pkt_len_min_max,False
bwd_pkt_len_mean_mean,False
bwd_pkt_len_mean_std,False
bwd_pkt_len_mean_sum,False
bwd_pkt_len_mean_min,False
bwd_pkt_len_mean_max,False
bwd_pkt_len_std_mean,False
bwd_pkt_len_std_std,False
bwd_pkt_len_std_sum,False
bwd_pkt_len_std_min,False
bwd_pkt_len_std_max,False
bytes_per_sec_mean,False
bytes_per_sec_std,False
bytes_per_sec_sum,False
bytes_per_sec_min,False
bytes_per_sec_max,False
packets_per_sec_mean,False
packets_per_sec_std,False
packets_per_sec_sum,False
packets_per_sec_min,False
packets_per_sec_max,False
flow_iat_mean_mean,False
flow_iat_mean_std,False
flow_iat_mean_sum,False
flow_iat_mean_min,False
flow_iat_mean_max,False
flow_iat_std_mean,False
flow_iat_std_std,False
flow_iat_std_sum,False
flow_iat_std_min,False
flow_iat_std_max,False
flow_iat_max_mean,False
flow_iat_max_std,False
flow_iat_max_sum,False
flow_iat_max_min,False
flow_iat_max_max,False
flow_iat_min_mean,False
flow_iat_min_std,False
flow_iat_min_sum,False
flow_iat_min_min,False
flow_iat_min_max,False
fwd_iat_tot_mean,False
fwd_iat_tot_std,False
fwd_iat_tot_sum,False
fwd_iat_tot_min,False
fwd_iat_tot_max,False
fwd_iat_mean_mean,False
fwd_iat_mean_std,False
fwd_iat_mean_sum,False
fwd_iat_mean_min,False
fwd_iat_mean_max,False
fwd_iat_std_mean,False
fwd_iat_std_std,False
fwd_iat_std_sum,False
fwd_iat_std_min,False
fwd_iat_std_max,False
fwd_iat_max_mean,False
fwd_iat_max_std,False
fwd_iat_max_sum,False
fwd_iat_max_min,False
fwd_iat_max_max,False
fwd_iat_min_mean,False
fwd_iat_min_std,False
fwd_iat_min_sum,False
fwd_iat_min_min,False
fwd_iat_min_max,False
bwd_iat_tot_mean,False
bwd_iat_tot_std,False
bwd_iat_tot_sum,False
bwd_iat_tot_min,False
bwd_iat_tot_max,False
bwd_iat_mean_mean,False
bwd_iat_mean_std,False
bwd_iat_mean_sum,False
bwd_iat_mean_min,False
bwd_iat_mean_max,False
bwd_iat_std_mean,False
bwd_iat_std_std,False
bwd_iat_std_sum,False
bwd_iat_std_min,False
bwd_iat_std_max,False
bwd_iat_max_mean,False
bwd_iat_max_std,False
bwd_iat_max_sum,False
bwd_iat_max_min,False
bwd_iat_max_max,False
bwd_iat_min_mean,False
bwd_iat_min_std,False
bwd_iat_min_sum,False
bwd_iat_min_min,False
bwd_iat_min_max,False
fwd_psh_flags_mean,False
fwd_psh_flags_std,False
fwd_psh_flags_sum,False
fwd_psh_flags_min,False
fwd_psh_flags_max,False
bwd_psh_flags_mean,False
bwd_psh_flags_std,False
bwd_psh_flags_sum,False
bwd_psh_flags_min,False
bwd_psh_flags_max,False
fwd_urg_flags_mean,False
fwd_urg_flags_std,False
fwd_urg_flags_sum,False
fwd_urg_flags_min,False
fwd_urg_flags_max,False
bwd_urg_flags_mean,False
bwd_urg_flags_std,False
bwd_urg_flags_sum,False
bwd_urg_flags_min,False
bwd_urg_flags_max,False
fwd_header_len_mean,False
fwd_header_len_std,False
fwd_header_len_sum,False
fwd_header_len_min,False
fwd_header_len_max,False
bwd_header_len_mean,False
bwd_header_len_std,False
bwd_header_len_sum,False
bwd_header_len_min,False
bwd_header_len_max,False
fwd_pkts_per_sec_mean,False
fwd_pkts_per_sec_std,False
fwd_pkts_per_sec_sum,False
fwd_pkts_per_sec_min,False
fwd_pkts_per_sec_max,False
bwd_pkts_per_sec_mean,False
bwd_pkts_per_sec_std,False
bwd_pkts_per_sec_sum,False
bwd_pkts_per_sec_min,False
bwd_pkts_per_sec_max,False
pkt_len_min_mean,False
pkt_len_min_std,False
pkt_len_min_sum,False
pkt_len_min_min,False
pkt_len_min_max,False
pkt_len_max_mean,False
pkt_len_max_std,False
pkt_len_max_sum,False
pkt_len_max_min,False
pkt_len_max_max,False
pkt_len_mean_mean,False
pkt_len_mean_std,False
pkt_len_mean_sum,False
pkt_len_mean_min,False
pkt_len_mean_max,False
pkt_len_std_mean,False
pkt_len_std_std,False
pkt_len_std_sum,False
pkt_len_std_min,False
pkt_len_std_max,False
pkt_len_var_mean,False
pkt_len_var_std,False
pkt_len_var_sum,False
pkt_len_var_min,False
pkt_len_var_max,False
fin_flag_cnt_mean,False
fin_flag_cnt_std,False
fin_flag_cnt_sum,False
fin_flag_cnt_min,False
fin_flag_cnt_max,False
syn_flag_cnt_mean,False
syn_flag_cnt_std,False
syn_flag_cnt_sum,False
syn_flag_cnt_min,False
syn_flag_cnt_max,False
rst_flag_cnt_mean,False
rst_flag_cnt_std,False
rst_flag_cnt_sum,False
rst_flag_cnt_min,False
rst_flag_cnt_max,False
psh_flag_cnt_mean,False
psh_flag_cnt_std,False
psh_flag_cnt_sum,False
psh_flag_cnt_min,False
psh_flag_cnt_max,False
ack_flag_cnt_mean,False
ack_flag_cnt_std,False
ack_flag_cnt_sum,False
ack_flag_cnt_min,False
ack_flag_cnt_max,False
urg_flag_cnt_mean,False
urg_flag_cnt_std,False
urg_flag_cnt_sum,False
urg_flag_cnt_min,False
urg_flag_cnt_max,False
cwe_flag_cnt_mean,False
cwe_flag_cnt_std,False
cwe_flag_cnt_sum,False
cwe_flag_cnt_min,False
cwe_flag_cnt_max,False
ece_flag_cnt_mean,False
ece_flag_cnt_std,False
ece_flag_cnt_sum,False
ece_flag_cnt_min,False
ece_flag_cnt_max,False
down_up_ratio_mean,False
down_up_ratio_std,False
down_up_ratio_sum,False
down_up_ratio_min,False
down_up_ratio_max,False
pkt_size_avg_mean,False
pkt_size_avg_std,False
pkt_size_avg_sum,False
pkt_size_avg_min,False
pkt_size_avg_max,False
fwd_seg_size_avg_mean,False
fwd_seg_size_avg_std,False
fwd_seg_size_avg_sum,False
fwd_seg_size_avg_min,False
fwd_seg_size_avg_max,False
bwd_seg_size_avg_mean,False
bwd_seg_size_avg_std,False
bwd_seg_size_avg_sum,False
bwd_seg_size_avg_min,False
bwd_seg_size_avg_max,False
fwd_byts_b_avg_mean,False
fwd_byts_b_avg_std,False
fwd_byts_b_avg_sum,False
fwd_byts_b_avg_min,False
fwd_byts_b_avg_max,False
fwd_pkts_b_avg_mean,False
fwd_pkts_b_avg_std,False
fwd_pkts_b_avg_sum,False
fwd_pkts_b_avg_min,False
fwd_pkts_b_avg_max,False
fwd_blk_rate_avg_mean,False
fwd_blk_rate_avg_std,False
fwd_blk_rate_avg_sum,False
fwd_blk_rate_avg_min,False
fwd_blk_rate_avg_max,False
bwd_byts_b_avg_mean,False
bwd_byts_b_avg_std,False
bwd_byts_b_avg_sum,False
bwd_byts_b_avg_min,False
bwd_byts_b_avg_max,False
bwd_pkts_b_avg_mean,False
bwd_pkts_b_avg_std,False
bwd_pkts_b_avg_sum,False
bwd_pkts_b_avg_min,False
bwd_pkts_b_avg_max,False
bwd_blk_rate_avg_mean,False
bwd_blk_rate_avg_std,False
bwd_blk_rate_avg_sum,False
bwd_blk_rate_avg_min,False
bwd_blk_rate_avg_max,False
subflow_fwd_pkts_mean,False
