feature,abs_coefficient
fwd_pkt_len_std_mean,2.011951964413223
window_size_bwd_std,1.953081637256225
fwd_pkt_len_max_std,1.678366493881243
bwd_pkt_len_std_mean,1.6498861352987486
byte_count_bwd_std,1.5667897037674585
pkt_tcp_retrans_count,1.5540630333028438
pkt_len_var_std,1.5469376505409789
bwd_seg_size_avg_max,1.539736622767891
bwd_pkt_len_mean_max,1.539736622767771
pkt_len_var_max,1.4842192933815423
pkt_port_scan_seq_score,1.445414665245123
bwd_iat_std_mean,1.3652975859924534
bytes_per_sec_mean,1.314925736170978
byte_count_fwd_max,1.3127346056383298
flow_iat_std_std,1.2427259081263562
pkt_len_var_mean,1.2412168832492088
bwd_pkt_len_std_max,1.2267629477130937
down_up_ratio_std,1.1940546143031168
window_size_fwd_std,1.189715745318459
bytes_per_sec_max,1.1681500248524948
