Fold,Episode,Attack Type,Train Before,Train After,Removed,Test N,Min Train->Test Distance,Violations
0,02-03-2018_Botnet_0,Botnet,2767,2687,80,20,36.0,0
1,02-03-2018_Botnet_1,Botnet,2763,2692,71,24,36.0,0
2,02-03-2018_Botnet_2,Botnet,2775,2673,102,12,36.0,0
3,02-03-2018_Botnet_3,Botnet,2781,2672,109,6,36.0,0
4,02-03-2018_Botnet_4,Botnet,2781,2668,113,6,36.0,0
5,02-03-2018_Botnet_5,Botnet,2778,2650,128,9,36.0,0
6,02-03-2018_Botnet_6,Botnet,2778,2645,133,9,36.0,0
7,02-03-2018_Botnet_7,Botnet,2779,2641,138,8,36.0,0
8,02-03-2018_Botnet_8,Botnet,2773,2633,140,14,36.0,0
9,02-03-2018_Botnet_9,Botnet,2777,2637,140,10,36.0,0
10,14-02-2018_SSH-Bruteforce_0,SSH-Bruteforce,2775,2704,71,12,36.0,0
11,14-02-2018_SSH-Bruteforce_1,SSH-Bruteforce,2778,2700,78,9,36.0,0
12,14-02-2018_SSH-Bruteforce_2,SSH-Bruteforce,2767,2684,83,20,36.0,0
13,14-02-2018_SSH-Bruteforce_3,SSH-Bruteforce,2781,2687,94,6,36.0,0
14,14-02-2018_SSH-Bruteforce_4,SSH-Bruteforce,2771,2675,96,16,36.0,0
15,14-02-2018_SSH-Bruteforce_5,SSH-Bruteforce,2763,2658,105,24,36.0,0
16,14-02-2018_SSH-Bruteforce_6,SSH-Bruteforce,2721,2587,134,66,36.0,0
17,14-02-2018_SSH-Bruteforce_7,SSH-Bruteforce,2775,2696,79,12,36.0,0
18,14-02-2018_SSH-Bruteforce_8,SSH-Bruteforce,2773,2702,71,14,36.0,0
19,21-02-2018_DDOS-LOIC-UDP_0,DDOS-LOIC-UDP,2775,2705,70,12,36.0,0
20,21-02-2018_DDOS-LOIC-UDP_1,DDOS-LOIC-UDP,2781,2706,75,6,36.0,0
21,21-02-2018_DDOS-LOIC-UDP_10,DDOS-LOIC-UDP,2781,2706,75,6,36.0,0
22,21-02-2018_DDOS-LOIC-UDP_11,DDOS-LOIC-UDP,2781,2706,75,6,36.0,0
23,21-02-2018_DDOS-LOIC-UDP_12,DDOS-LOIC-UDP,2781,2706,75,6,36.0,0
24,21-02-2018_DDOS-LOIC-UDP_13,DDOS-LOIC-UDP,2781,2706,75,6,36.0,0
25,21-02-2018_DDOS-LOIC-UDP_14,DDOS-LOIC-UDP,2781,2706,75,6,36.0,0
26,21-02-2018_DDOS-LOIC-UDP_15,DDOS-LOIC-UDP,2781,2706,75,6,36.0,0
27,21-02-2018_DDOS-LOIC-UDP_16,DDOS-LOIC-UDP,2781,2706,75,6,36.0,0
28,21-02-2018_DDOS-LOIC-UDP_17,DDOS-LOIC-UDP,2781,2706,75,6,36.0,0
29,21-02-2018_DDOS-LOIC-UDP_2,DDOS-LOIC-UDP,2781,2706,75,6,36.0,0
30,21-02-2018_DDOS-LOIC-UDP_3,DDOS-LOIC-UDP,2780,2706,74,7,36.0,0
31,21-02-2018_DDOS-LOIC-UDP_4,DDOS-LOIC-UDP,2781,2706,75,6,36.0,0
32,21-02-2018_DDOS-LOIC-UDP_5,DDOS-LOIC-UDP,2781,2706,75,6,36.0,0
33,21-02-2018_DDOS-LOIC-UDP_6,DDOS-LOIC-UDP,2781,2706,75,6,36.0,0
34,21-02-2018_DDOS-LOIC-UDP_7,DDOS-LOIC-UDP,2781,2706,75,6,36.0,0
35,21-02-2018_DDOS-LOIC-UDP_8,DDOS-LOIC-UDP,2781,2706,75,6,36.0,0
36,21-02-2018_DDOS-LOIC-UDP_9,DDOS-LOIC-UDP,2781,2706,75,6,36.0,0
