fold_id,window_id,label_binary,future_attack_label,attack_type,episode_id,forecast_episode_id
0,2437,0,0,Benign,02-03-2018_Benign_2,
0,2438,0,0,Benign,02-03-2018_Benign_2,
0,2439,0,0,Benign,02-03-2018_Benign_2,
0,2440,0,0,Benign,02-03-2018_Benign_2,
0,2441,0,0,Benign,02-03-2018_Benign_2,
0,2442,0,0,Benign,02-03-2018_Benign_2,
0,2443,0,0,Benign,02-03-2018_Benign_2,
0,2444,0,0,Benign,02-03-2018_Benign_2,
0,2445,0,0,Benign,02-03-2018_Benign_2,
0,2446,0,0,Benign,02-03-2018_Benign_2,
1,2437,0,0,Benign,02-03-2018_Benign_2,
1,2438,0,0,Benign,02-03-2018_Benign_2,
1,2439,0,0,Benign,02-03-2018_Benign_2,
1,2440,0,0,Benign,02-03-2018_Benign_2,
1,2441,0,0,Benign,02-03-2018_Benign_2,
1,2442,0,0,Benign,02-03-2018_Benign_2,
1,2443,0,0,Benign,02-03-2018_Benign_2,
1,2444,0,0,Benign,02-03-2018_Benign_2,
1,2445,0,0,Benign,02-03-2018_Benign_2,
1,2446,0,0,Benign,02-03-2018_Benign_2,
1,2447,0,0,Benign,02-03-2018_Benign_2,
1,2448,0,0,Benign,02-03-2018_Benign_2,
2,2614,0,0,Benign,02-03-2018_Benign_2,
2,2613,0,0,Benign,02-03-2018_Benign_2,
2,2612,0,0,Benign,02-03-2018_Benign_2,
2,2611,0,0,Benign,02-03-2018_Benign_2,
2,2610,0,0,Benign,02-03-2018_Benign_2,
2,2609,0,0,Benign,02-03-2018_Benign_2,
3,2614,0,0,Benign,02-03-2018_Benign_2,
3,2613,0,0,Benign,02-03-2018_Benign_2,
3,2612,0,0,Benign,02-03-2018_Benign_2,
3,2611,0,0,Benign,02-03-2018_Benign_2,
3,2610,0,0,Benign,02-03-2018_Benign_2,
4,2614,0,0,Benign,02-03-2018_Benign_2,
4,2613,0,0,Benign,02-03-2018_Benign_2,
4,2612,0,0,Benign,02-03-2018_Benign_2,
4,2611,0,0,Benign,02-03-2018_Benign_2,
4,2610,0,0,Benign,02-03-2018_Benign_2,
5,2614,0,0,Benign,02-03-2018_Benign_2,
5,2613,0,0,Benign,02-03-2018_Benign_2,
5,2612,0,0,Benign,02-03-2018_Benign_2,
5,2611,0,0,Benign,02-03-2018_Benign_2,
5,2610,0,0,Benign,02-03-2018_Benign_2,
6,2614,0,0,Benign,02-03-2018_Benign_2,
6,2613,0,0,Benign,02-03-2018_Benign_2,
6,2612,0,0,Benign,02-03-2018_Benign_2,
6,2611,0,0,Benign,02-03-2018_Benign_2,
6,2610,0,0,Benign,02-03-2018_Benign_2,
7,2614,0,0,Benign,02-03-2018_Benign_2,
7,2613,0,0,Benign,02-03-2018_Benign_2,
7,2612,0,0,Benign,02-03-2018_Benign_2,
7,2611,0,0,Benign,02-03-2018_Benign_2,
