episode_id,attack_type,count,is_eligible
01-03-2018_Benign_0,Benign,60,False
01-03-2018_Benign_1,Benign,160,False
01-03-2018_Benign_2,Benign,125,False
01-03-2018_Infiltration-Compromise_0,Infiltration-Compromise,97,False
01-03-2018_Infiltration-Portscan_0,Infiltration-Portscan,58,False
02-03-2018_Benign_0,Benign,81,False
02-03-2018_Benign_1,Benign,1,False
02-03-2018_Benign_10,Benign,85,False
02-03-2018_Benign_2,Benign,216,False
02-03-2018_Benign_3,Benign,1,False
02-03-2018_Benign_4,Benign,3,False
02-03-2018_Benign_5,Benign,14,False
02-03-2018_Benign_6,Benign,1,False
02-03-2018_Benign_7,Benign,1,False
02-03-2018_Benign_8,Benign,2,False
02-03-2018_Benign_9,Benign,2,False
02-03-2018_Botnet_0,Botnet,10,True
02-03-2018_Botnet_1,Botnet,12,True
02-03-2018_Botnet_2,Botnet,1,True
02-03-2018_Botnet_3,Botnet,1,True
02-03-2018_Botnet_4,Botnet,1,True
02-03-2018_Botnet_5,Botnet,4,True
02-03-2018_Botnet_6,Botnet,4,True
02-03-2018_Botnet_7,Botnet,3,True
02-03-2018_Botnet_8,Botnet,7,True
02-03-2018_Botnet_9,Botnet,5,True
14-02-2018_Benign_0,Benign,62,False
14-02-2018_Benign_1,Benign,1,False
14-02-2018_Benign_2,Benign,1,False
14-02-2018_Benign_3,Benign,1,False
14-02-2018_Benign_4,Benign,1,False
14-02-2018_Benign_5,Benign,1,False
14-02-2018_Benign_6,Benign,1,False
14-02-2018_Benign_7,Benign,1,False
14-02-2018_Benign_8,Benign,1,False
14-02-2018_Benign_9,Benign,391,False
14-02-2018_SSH-Bruteforce_0,SSH-Bruteforce,1,True
14-02-2018_SSH-Bruteforce_1,SSH-Bruteforce,4,True
14-02-2018_SSH-Bruteforce_2,SSH-Bruteforce,10,True
14-02-2018_SSH-Bruteforce_3,SSH-Bruteforce,1,True
14-02-2018_SSH-Bruteforce_4,SSH-Bruteforce,8,True
14-02-2018_SSH-Bruteforce_5,SSH-Bruteforce,12,True
14-02-2018_SSH-Bruteforce_6,SSH-Bruteforce,33,True
14-02-2018_SSH-Bruteforce_7,SSH-Bruteforce,6,True
14-02-2018_SSH-Bruteforce_8,SSH-Bruteforce,7,True
21-02-2018_Benign_0,Benign,16,False
21-02-2018_Benign_1,Benign,110,False
21-02-2018_Benign_10,Benign,1,False
21-02-2018_Benign_11,Benign,1,False
21-02-2018_Benign_12,Benign,1,False
21-02-2018_Benign_13,Benign,1,False
21-02-2018_Benign_14,Benign,1,False
21-02-2018_Benign_15,Benign,1,False
21-02-2018_Benign_16,Benign,1,False
21-02-2018_Benign_17,Benign,1,False
21-02-2018_Benign_18,Benign,1,False
21-02-2018_Benign_2,Benign,1,False
21-02-2018_Benign_3,Benign,1,False
21-02-2018_Benign_4,Benign,1,False
21-02-2018_Benign_5,Benign,1,False
21-02-2018_Benign_6,Benign,1,False
21-02-2018_Benign_7,Benign,1,False
21-02-2018_Benign_8,Benign,1,False
21-02-2018_Benign_9,Benign,1,False
21-02-2018_DDOS-HOIC_0,DDOS-HOIC,8,False
21-02-2018_DDOS-LOIC-UDP_0,DDOS-LOIC-UDP,1,True
21-02-2018_DDOS-LOIC-UDP_1,DDOS-LOIC-UDP,1,True
21-02-2018_DDOS-LOIC-UDP_10,DDOS-LOIC-UDP,1,True
21-02-2018_DDOS-LOIC-UDP_11,DDOS-LOIC-UDP,1,True
21-02-2018_DDOS-LOIC-UDP_12,DDOS-LOIC-UDP,1,True
21-02-2018_DDOS-LOIC-UDP_13,DDOS-LOIC-UDP,1,True
21-02-2018_DDOS-LOIC-UDP_14,DDOS-LOIC-UDP,1,True
21-02-2018_DDOS-LOIC-UDP_15,DDOS-LOIC-UDP,1,True
21-02-2018_DDOS-LOIC-UDP_16,DDOS-LOIC-UDP,1,True
21-02-2018_DDOS-LOIC-UDP_17,DDOS-LOIC-UDP,1,True
21-02-2018_DDOS-LOIC-UDP_2,DDOS-LOIC-UDP,1,True
21-02-2018_DDOS-LOIC-UDP_3,DDOS-LOIC-UDP,2,True
21-02-2018_DDOS-LOIC-UDP_4,DDOS-LOIC-UDP,1,True
21-02-2018_DDOS-LOIC-UDP_5,DDOS-LOIC-UDP,1,True
21-02-2018_DDOS-LOIC-UDP_6,DDOS-LOIC-UDP,1,True
21-02-2018_DDOS-LOIC-UDP_7,DDOS-LOIC-UDP,1,True
21-02-2018_DDOS-LOIC-UDP_8,DDOS-LOIC-UDP,1,True
21-02-2018_DDOS-LOIC-UDP_9,DDOS-LOIC-UDP,1,True
22-02-2018_Benign_0,Benign,549,False
28-02-2018_Benign_0,Benign,570,False
