fold_id,purge_pass,embargo_pass,train_test_overlap,validation_test_overlap,minimum_temporal_separation
0,True,True,False,False,explicit indices
1,True,True,False,False,explicit indices
2,True,True,False,False,explicit indices
3,True,True,False,False,explicit indices
4,True,True,False,False,explicit indices
5,True,True,False,False,explicit indices
6,True,True,False,False,explicit indices
7,True,True,False,False,explicit indices
8,True,True,False,False,explicit indices
9,True,True,False,False,explicit indices
10,True,True,False,False,explicit indices
11,True,True,False,False,explicit indices
12,True,True,False,False,explicit indices
13,True,True,False,False,explicit indices
14,True,True,False,False,explicit indices
15,True,True,False,False,explicit indices
16,True,True,False,False,explicit indices
17,True,True,False,False,explicit indices
18,True,True,False,False,explicit indices
19,True,True,False,False,explicit indices
20,True,True,False,False,explicit indices
21,True,True,False,False,explicit indices
22,True,True,False,False,explicit indices
23,True,True,False,False,explicit indices
24,True,True,False,False,explicit indices
25,True,True,False,False,explicit indices
26,True,True,False,False,explicit indices
27,True,True,False,False,explicit indices
28,True,True,False,False,explicit indices
29,True,True,False,False,explicit indices
30,True,True,False,False,explicit indices
31,True,True,False,False,explicit indices
32,True,True,False,False,explicit indices
33,True,True,False,False,explicit indices
34,True,True,False,False,explicit indices
35,True,True,False,False,explicit indices
36,True,True,False,False,explicit indices
