fold_id,held_out_episode_id,source_day,attack_start,attack_end,nearest_benign_timestamp,farthest_benign_timestamp,minimum_distance_minutes,maximum_distance_minutes,median_distance_minutes
0,02-03-2018_Botnet_0,02-03-2018,2018-03-02 03:31:00+00:00,2018-03-02 03:40:00+00:00,2018-03-02 03:55:00+00:00,2018-03-02 04:04:00+00:00,15.0,24.0,19.5
1,02-03-2018_Botnet_1,02-03-2018,2018-03-02 03:42:00+00:00,2018-03-02 03:53:00+00:00,2018-03-02 03:55:00+00:00,2018-03-02 04:06:00+00:00,2.0,13.0,7.5
2,02-03-2018_Botnet_2,02-03-2018,2018-03-02 10:08:00+00:00,2018-03-02 10:45:00+00:00,2018-03-02 10:07:00+00:00,2018-03-02 10:02:00+00:00,1.0,6.0,3.5
3,02-03-2018_Botnet_3,02-03-2018,2018-03-02 10:47:00+00:00,2018-03-02 10:47:00+00:00,2018-03-02 10:07:00+00:00,2018-03-02 10:03:00+00:00,40.0,44.0,42.0
4,02-03-2018_Botnet_4,02-03-2018,2018-03-02 10:51:00+00:00,2018-03-02 10:51:00+00:00,2018-03-02 10:07:00+00:00,2018-03-02 10:03:00+00:00,44.0,48.0,46.0
5,02-03-2018_Botnet_5,02-03-2018,2018-03-02 11:06:00+00:00,2018-03-02 11:09:00+00:00,2018-03-02 10:07:00+00:00,2018-03-02 10:03:00+00:00,59.0,63.0,61.0
6,02-03-2018_Botnet_6,02-03-2018,2018-03-02 11:11:00+00:00,2018-03-02 11:14:00+00:00,2018-03-02 10:07:00+00:00,2018-03-02 10:03:00+00:00,64.0,68.0,66.0
7,02-03-2018_Botnet_7,02-03-2018,2018-03-02 11:16:00+00:00,2018-03-02 11:18:00+00:00,2018-03-02 10:07:00+00:00,2018-03-02 10:03:00+00:00,69.0,73.0,71.0
8,02-03-2018_Botnet_8,02-03-2018,2018-03-02 11:21:00+00:00,2018-03-02 11:27:00+00:00,2018-03-02 10:07:00+00:00,2018-03-02 10:01:00+00:00,74.0,80.0,77.0
9,02-03-2018_Botnet_9,02-03-2018,2018-03-02 11:30:00+00:00,2018-03-02 11:34:00+00:00,2018-03-02 10:07:00+00:00,2018-03-02 10:03:00+00:00,83.0,87.0,85.0
10,14-02-2018_SSH-Bruteforce_0,14-02-2018,2018-02-14 01:56:00+00:00,2018-02-14 02:02:00+00:00,2018-02-14 01:55:00+00:00,2018-02-14 01:50:00+00:00,1.0,6.0,3.5
11,14-02-2018_SSH-Bruteforce_1,14-02-2018,2018-02-14 02:04:00+00:00,2018-02-14 02:07:00+00:00,2018-02-14 01:55:00+00:00,2018-02-14 01:51:00+00:00,9.0,13.0,11.0
12,14-02-2018_SSH-Bruteforce_2,14-02-2018,2018-02-14 02:09:00+00:00,2018-02-14 02:18:00+00:00,2018-02-14 01:55:00+00:00,2018-02-14 01:46:00+00:00,14.0,23.0,18.5
13,14-02-2018_SSH-Bruteforce_3,14-02-2018,2018-02-14 02:20:00+00:00,2018-02-14 02:20:00+00:00,2018-02-14 01:55:00+00:00,2018-02-14 01:51:00+00:00,25.0,29.0,27.0
14,14-02-2018_SSH-Bruteforce_4,14-02-2018,2018-02-14 02:22:00+00:00,2018-02-14 02:29:00+00:00,2018-02-14 01:55:00+00:00,2018-02-14 01:48:00+00:00,27.0,34.0,30.5
15,14-02-2018_SSH-Bruteforce_5,14-02-2018,2018-02-14 02:31:00+00:00,2018-02-14 02:42:00+00:00,2018-02-14 01:55:00+00:00,2018-02-14 01:44:00+00:00,36.0,47.0,41.5
16,14-02-2018_SSH-Bruteforce_6,14-02-2018,2018-02-14 02:44:00+00:00,2018-02-14 03:16:00+00:00,2018-02-14 03:33:00+00:00,2018-02-14 01:55:00+00:00,17.0,49.0,33.0
17,14-02-2018_SSH-Bruteforce_7,14-02-2018,2018-02-14 03:18:00+00:00,2018-02-14 03:23:00+00:00,2018-02-14 03:33:00+00:00,2018-02-14 03:38:00+00:00,10.0,15.0,12.5
18,14-02-2018_SSH-Bruteforce_8,14-02-2018,2018-02-14 03:25:00+00:00,2018-02-14 03:31:00+00:00,2018-02-14 03:33:00+00:00,2018-02-14 03:39:00+00:00,2.0,8.0,5.0
19,21-02-2018_DDOS-LOIC-UDP_0,21-02-2018,2018-02-21 10:03:00+00:00,2018-02-21 10:08:00+00:00,2018-02-21 10:02:00+00:00,2018-02-21 09:57:00+00:00,1.0,6.0,3.5
20,21-02-2018_DDOS-LOIC-UDP_1,21-02-2018,2018-02-21 10:10:00+00:00,2018-02-21 10:10:00+00:00,2018-02-21 10:02:00+00:00,2018-02-21 09:58:00+00:00,8.0,12.0,10.0
21,21-02-2018_DDOS-LOIC-UDP_10,21-02-2018,2018-02-21 10:29:00+00:00,2018-02-21 10:29:00+00:00,2018-02-21 10:02:00+00:00,2018-02-21 09:58:00+00:00,27.0,31.0,29.0
22,21-02-2018_DDOS-LOIC-UDP_11,21-02-2018,2018-02-21 10:31:00+00:00,2018-02-21 10:31:00+00:00,2018-02-21 10:02:00+00:00,2018-02-21 09:58:00+00:00,29.0,33.0,31.0
23,21-02-2018_DDOS-LOIC-UDP_12,21-02-2018,2018-02-21 10:33:00+00:00,2018-02-21 10:33:00+00:00,2018-02-21 10:02:00+00:00,2018-02-21 09:58:00+00:00,31.0,35.0,33.0
24,21-02-2018_DDOS-LOIC-UDP_13,21-02-2018,2018-02-21 10:35:00+00:00,2018-02-21 10:35:00+00:00,2018-02-21 10:02:00+00:00,2018-02-21 09:58:00+00:00,33.0,37.0,35.0
25,21-02-2018_DDOS-LOIC-UDP_14,21-02-2018,2018-02-21 10:37:00+00:00,2018-02-21 10:37:00+00:00,2018-02-21 10:02:00+00:00,2018-02-21 09:58:00+00:00,35.0,39.0,37.0
26,21-02-2018_DDOS-LOIC-UDP_15,21-02-2018,2018-02-21 10:39:00+00:00,2018-02-21 10:39:00+00:00,2018-02-21 10:02:00+00:00,2018-02-21 09:58:00+00:00,37.0,41.0,39.0
27,21-02-2018_DDOS-LOIC-UDP_16,21-02-2018,2018-02-21 10:41:00+00:00,2018-02-21 10:41:00+00:00,2018-02-21 10:02:00+00:00,2018-02-21 09:58:00+00:00,39.0,43.0,41.0
28,21-02-2018_DDOS-LOIC-UDP_17,21-02-2018,2018-02-21 10:43:00+00:00,2018-02-21 10:43:00+00:00,2018-02-21 10:02:00+00:00,2018-02-21 09:58:00+00:00,41.0,45.0,43.0
29,21-02-2018_DDOS-LOIC-UDP_2,21-02-2018,2018-02-21 10:12:00+00:00,2018-02-21 10:12:00+00:00,2018-02-21 10:02:00+00:00,2018-02-21 09:58:00+00:00,10.0,14.0,12.0
30,21-02-2018_DDOS-LOIC-UDP_3,21-02-2018,2018-02-21 10:14:00+00:00,2018-02-21 10:15:00+00:00,2018-02-21 10:02:00+00:00,2018-02-21 09:58:00+00:00,12.0,16.0,14.0
31,21-02-2018_DDOS-LOIC-UDP_4,21-02-2018,2018-02-21 10:17:00+00:00,2018-02-21 10:17:00+00:00,2018-02-21 10:02:00+00:00,2018-02-21 09:58:00+00:00,15.0,19.0,17.0
32,21-02-2018_DDOS-LOIC-UDP_5,21-02-2018,2018-02-21 10:19:00+00:00,2018-02-21 10:19:00+00:00,2018-02-21 10:02:00+00:00,2018-02-21 09:58:00+00:00,17.0,21.0,19.0
33,21-02-2018_DDOS-LOIC-UDP_6,21-02-2018,2018-02-21 10:21:00+00:00,2018-02-21 10:21:00+00:00,2018-02-21 10:02:00+00:00,2018-02-21 09:58:00+00:00,19.0,23.0,21.0
34,21-02-2018_DDOS-LOIC-UDP_7,21-02-2018,2018-02-21 10:23:00+00:00,2018-02-21 10:23:00+00:00,2018-02-21 10:02:00+00:00,2018-02-21 09:58:00+00:00,21.0,25.0,23.0
35,21-02-2018_DDOS-LOIC-UDP_8,21-02-2018,2018-02-21 10:25:00+00:00,2018-02-21 10:25:00+00:00,2018-02-21 10:02:00+00:00,2018-02-21 09:58:00+00:00,23.0,27.0,25.0
36,21-02-2018_DDOS-LOIC-UDP_9,21-02-2018,2018-02-21 10:27:00+00:00,2018-02-21 10:27:00+00:00,2018-02-21 10:02:00+00:00,2018-02-21 09:58:00+00:00,25.0,29.0,27.0
