fold_id,held_out_episode_id,train_benign_count,train_attack_count,train_positive_rate,test_benign_count,test_attack_count
0,02-03-2018_Botnet_0,1851,916,0.3310444524756053,10,10
1,02-03-2018_Botnet_1,1849,914,0.33079985522982264,12,12
2,02-03-2018_Botnet_2,1850,925,0.3333333333333333,6,1
3,02-03-2018_Botnet_3,1856,925,0.3326141675656239,5,1
4,02-03-2018_Botnet_4,1856,925,0.3326141675656239,5,1
5,02-03-2018_Botnet_5,1856,922,0.33189344852411806,5,4
6,02-03-2018_Botnet_6,1856,922,0.33189344852411806,5,4
7,02-03-2018_Botnet_7,1856,923,0.33213386110111554,5,3
8,02-03-2018_Botnet_8,1854,919,0.33141002524341867,7,7
9,02-03-2018_Botnet_9,1856,921,0.33165286280158446,5,5
10,14-02-2018_SSH-Bruteforce_0,1850,925,0.3333333333333333,6,1
11,14-02-2018_SSH-Bruteforce_1,1856,922,0.33189344852411806,5,4
12,14-02-2018_SSH-Bruteforce_2,1851,916,0.3310444524756053,10,10
13,14-02-2018_SSH-Bruteforce_3,1856,925,0.3326141675656239,5,1
14,14-02-2018_SSH-Bruteforce_4,1853,918,0.3312883435582822,8,8
15,14-02-2018_SSH-Bruteforce_5,1849,914,0.33079985522982264,12,12
16,14-02-2018_SSH-Bruteforce_6,1828,893,0.32818816611539875,33,33
17,14-02-2018_SSH-Bruteforce_7,1855,920,0.33153153153153153,6,6
18,14-02-2018_SSH-Bruteforce_8,1854,919,0.33141002524341867,7,7
19,21-02-2018_DDOS-LOIC-UDP_0,1850,925,0.3333333333333333,6,1
20,21-02-2018_DDOS-LOIC-UDP_1,1856,925,0.3326141675656239,5,1
21,21-02-2018_DDOS-LOIC-UDP_10,1856,925,0.3326141675656239,5,1
22,21-02-2018_DDOS-LOIC-UDP_11,1856,925,0.3326141675656239,5,1
23,21-02-2018_DDOS-LOIC-UDP_12,1856,925,0.3326141675656239,5,1
24,21-02-2018_DDOS-LOIC-UDP_13,1856,925,0.3326141675656239,5,1
25,21-02-2018_DDOS-LOIC-UDP_14,1856,925,0.3326141675656239,5,1
26,21-02-2018_DDOS-LOIC-UDP_15,1856,925,0.3326141675656239,5,1
27,21-02-2018_DDOS-LOIC-UDP_16,1856,925,0.3326141675656239,5,1
28,21-02-2018_DDOS-LOIC-UDP_17,1856,925,0.3326141675656239,5,1
29,21-02-2018_DDOS-LOIC-UDP_2,1856,925,0.3326141675656239,5,1
30,21-02-2018_DDOS-LOIC-UDP_3,1856,924,0.33237410071942447,5,2
31,21-02-2018_DDOS-LOIC-UDP_4,1856,925,0.3326141675656239,5,1
32,21-02-2018_DDOS-LOIC-UDP_5,1856,925,0.3326141675656239,5,1
33,21-02-2018_DDOS-LOIC-UDP_6,1856,925,0.3326141675656239,5,1
34,21-02-2018_DDOS-LOIC-UDP_7,1856,925,0.3326141675656239,5,1
35,21-02-2018_DDOS-LOIC-UDP_8,1856,925,0.3326141675656239,5,1
36,21-02-2018_DDOS-LOIC-UDP_9,1856,925,0.3326141675656239,5,1
