fold_id,held_out_episode_id,attack_type,forecast_episode_id,onset_positive_count,onset_negative_count
0,02-03-2018_Botnet_0,Botnet,02-03-2018_Botnet_0,0,10
1,02-03-2018_Botnet_1,Botnet,02-03-2018_Botnet_1,0,12
2,02-03-2018_Botnet_2,Botnet,02-03-2018_Botnet_2,5,6
3,02-03-2018_Botnet_3,Botnet,02-03-2018_Botnet_3,0,5
4,02-03-2018_Botnet_4,Botnet,02-03-2018_Botnet_4,0,5
5,02-03-2018_Botnet_5,Botnet,02-03-2018_Botnet_5,0,5
6,02-03-2018_Botnet_6,Botnet,02-03-2018_Botnet_6,0,5
7,02-03-2018_Botnet_7,Botnet,02-03-2018_Botnet_7,0,5
8,02-03-2018_Botnet_8,Botnet,02-03-2018_Botnet_8,0,7
9,02-03-2018_Botnet_9,Botnet,02-03-2018_Botnet_9,0,5
10,14-02-2018_SSH-Bruteforce_0,SSH-Bruteforce,14-02-2018_SSH-Bruteforce_0,5,6
11,14-02-2018_SSH-Bruteforce_1,SSH-Bruteforce,14-02-2018_SSH-Bruteforce_1,0,5
12,14-02-2018_SSH-Bruteforce_2,SSH-Bruteforce,14-02-2018_SSH-Bruteforce_2,0,10
13,14-02-2018_SSH-Bruteforce_3,SSH-Bruteforce,14-02-2018_SSH-Bruteforce_3,0,5
14,14-02-2018_SSH-Bruteforce_4,SSH-Bruteforce,14-02-2018_SSH-Bruteforce_4,0,8
15,14-02-2018_SSH-Bruteforce_5,SSH-Bruteforce,14-02-2018_SSH-Bruteforce_5,0,12
16,14-02-2018_SSH-Bruteforce_6,SSH-Bruteforce,14-02-2018_SSH-Bruteforce_6,0,33
17,14-02-2018_SSH-Bruteforce_7,SSH-Bruteforce,14-02-2018_SSH-Bruteforce_7,0,6
18,14-02-2018_SSH-Bruteforce_8,SSH-Bruteforce,14-02-2018_SSH-Bruteforce_8,0,7
19,21-02-2018_DDOS-LOIC-UDP_0,DDOS-LOIC-UDP,21-02-2018_DDOS-LOIC-UDP_0,5,6
20,21-02-2018_DDOS-LOIC-UDP_1,DDOS-LOIC-UDP,21-02-2018_DDOS-LOIC-UDP_1,0,5
21,21-02-2018_DDOS-LOIC-UDP_10,DDOS-LOIC-UDP,21-02-2018_DDOS-LOIC-UDP_10,0,5
22,21-02-2018_DDOS-LOIC-UDP_11,DDOS-LOIC-UDP,21-02-2018_DDOS-LOIC-UDP_11,0,5
23,21-02-2018_DDOS-LOIC-UDP_12,DDOS-LOIC-UDP,21-02-2018_DDOS-LOIC-UDP_12,0,5
24,21-02-2018_DDOS-LOIC-UDP_13,DDOS-LOIC-UDP,21-02-2018_DDOS-LOIC-UDP_13,0,5
25,21-02-2018_DDOS-LOIC-UDP_14,DDOS-LOIC-UDP,21-02-2018_DDOS-LOIC-UDP_14,0,5
26,21-02-2018_DDOS-LOIC-UDP_15,DDOS-LOIC-UDP,21-02-2018_DDOS-LOIC-UDP_15,0,5
27,21-02-2018_DDOS-LOIC-UDP_16,DDOS-LOIC-UDP,21-02-2018_DDOS-LOIC-UDP_16,0,5
28,21-02-2018_DDOS-LOIC-UDP_17,DDOS-LOIC-UDP,21-02-2018_DDOS-LOIC-UDP_17,0,5
29,21-02-2018_DDOS-LOIC-UDP_2,DDOS-LOIC-UDP,21-02-2018_DDOS-LOIC-UDP_2,0,5
30,21-02-2018_DDOS-LOIC-UDP_3,DDOS-LOIC-UDP,21-02-2018_DDOS-LOIC-UDP_3,0,5
31,21-02-2018_DDOS-LOIC-UDP_4,DDOS-LOIC-UDP,21-02-2018_DDOS-LOIC-UDP_4,0,5
32,21-02-2018_DDOS-LOIC-UDP_5,DDOS-LOIC-UDP,21-02-2018_DDOS-LOIC-UDP_5,0,5
33,21-02-2018_DDOS-LOIC-UDP_6,DDOS-LOIC-UDP,21-02-2018_DDOS-LOIC-UDP_6,0,5
34,21-02-2018_DDOS-LOIC-UDP_7,DDOS-LOIC-UDP,21-02-2018_DDOS-LOIC-UDP_7,0,5
35,21-02-2018_DDOS-LOIC-UDP_8,DDOS-LOIC-UDP,21-02-2018_DDOS-LOIC-UDP_8,0,5
36,21-02-2018_DDOS-LOIC-UDP_9,DDOS-LOIC-UDP,21-02-2018_DDOS-LOIC-UDP_9,0,5
