held_out_episode_id,source_day,n_positives,target_benign,n_same_day_benign,can_satisfy_1_1_same_day,max_dist_used_sec
02-03-2018_Botnet_0,02-03-2018,10,10,183,True,1440.0
02-03-2018_Botnet_1,02-03-2018,12,12,183,True,780.0
02-03-2018_Botnet_2,02-03-2018,6,6,178,True,360.0
02-03-2018_Botnet_3,02-03-2018,1,5,183,True,2340.0
02-03-2018_Botnet_4,02-03-2018,1,5,183,True,2580.0
02-03-2018_Botnet_5,02-03-2018,4,5,183,True,3480.0
02-03-2018_Botnet_6,02-03-2018,4,5,183,True,3780.0
02-03-2018_Botnet_7,02-03-2018,3,5,183,True,4080.0
02-03-2018_Botnet_8,02-03-2018,7,7,183,True,4500.0
02-03-2018_Botnet_9,02-03-2018,5,5,183,True,4920.0
14-02-2018_SSH-Bruteforce_0,14-02-2018,6,6,348,True,360.0
14-02-2018_SSH-Bruteforce_1,14-02-2018,4,5,353,True,480.0
14-02-2018_SSH-Bruteforce_2,14-02-2018,10,10,353,True,1080.0
14-02-2018_SSH-Bruteforce_3,14-02-2018,1,5,353,True,1440.0
14-02-2018_SSH-Bruteforce_4,14-02-2018,8,8,353,True,1740.0
14-02-2018_SSH-Bruteforce_5,14-02-2018,12,12,353,True,2520.0
14-02-2018_SSH-Bruteforce_6,14-02-2018,33,33,353,True,2760.0
14-02-2018_SSH-Bruteforce_7,14-02-2018,6,6,353,True,900.0
14-02-2018_SSH-Bruteforce_8,14-02-2018,7,7,353,True,480.0
21-02-2018_DDOS-LOIC-UDP_0,21-02-2018,6,6,106,True,360.0
21-02-2018_DDOS-LOIC-UDP_1,21-02-2018,1,5,111,True,420.0
21-02-2018_DDOS-LOIC-UDP_10,21-02-2018,1,5,111,True,1560.0
21-02-2018_DDOS-LOIC-UDP_11,21-02-2018,1,5,111,True,1680.0
21-02-2018_DDOS-LOIC-UDP_12,21-02-2018,1,5,111,True,1800.0
21-02-2018_DDOS-LOIC-UDP_13,21-02-2018,1,5,111,True,1920.0
21-02-2018_DDOS-LOIC-UDP_14,21-02-2018,1,5,111,True,2040.0
21-02-2018_DDOS-LOIC-UDP_15,21-02-2018,1,5,111,True,2160.0
21-02-2018_DDOS-LOIC-UDP_16,21-02-2018,1,5,111,True,2280.0
21-02-2018_DDOS-LOIC-UDP_17,21-02-2018,1,5,111,True,2400.0
21-02-2018_DDOS-LOIC-UDP_2,21-02-2018,1,5,111,True,540.0
21-02-2018_DDOS-LOIC-UDP_3,21-02-2018,2,5,111,True,660.0
21-02-2018_DDOS-LOIC-UDP_4,21-02-2018,1,5,111,True,840.0
21-02-2018_DDOS-LOIC-UDP_5,21-02-2018,1,5,111,True,960.0
21-02-2018_DDOS-LOIC-UDP_6,21-02-2018,1,5,111,True,1080.0
21-02-2018_DDOS-LOIC-UDP_7,21-02-2018,1,5,111,True,1200.0
21-02-2018_DDOS-LOIC-UDP_8,21-02-2018,1,5,111,True,1320.0
21-02-2018_DDOS-LOIC-UDP_9,21-02-2018,1,5,111,True,1440.0
