attack_episode_id,N_episode_id,N_forecast_episode_id,N_attack_episode_id,N_benign_forecast_episode_id,N_pre_onset_forecast_episode_id
02-03-2018_Botnet_0,10,10,10,0,0
02-03-2018_Botnet_1,12,12,12,0,0
02-03-2018_Botnet_2,1,6,1,5,5
02-03-2018_Botnet_3,1,1,1,0,0
02-03-2018_Botnet_4,1,1,1,0,0
02-03-2018_Botnet_5,4,4,4,0,0
02-03-2018_Botnet_6,4,4,4,0,0
02-03-2018_Botnet_7,3,3,3,0,0
02-03-2018_Botnet_8,7,7,7,0,0
02-03-2018_Botnet_9,5,5,5,0,0
14-02-2018_SSH-Bruteforce_0,1,6,1,5,5
14-02-2018_SSH-Bruteforce_1,4,4,4,0,0
14-02-2018_SSH-Bruteforce_2,10,10,10,0,0
14-02-2018_SSH-Bruteforce_3,1,1,1,0,0
14-02-2018_SSH-Bruteforce_4,8,8,8,0,0
14-02-2018_SSH-Bruteforce_5,12,12,12,0,0
14-02-2018_SSH-Bruteforce_6,33,33,33,0,0
14-02-2018_SSH-Bruteforce_7,6,6,6,0,0
14-02-2018_SSH-Bruteforce_8,7,7,7,0,0
21-02-2018_DDOS-LOIC-UDP_0,1,6,1,5,5
21-02-2018_DDOS-LOIC-UDP_1,1,1,1,0,0
21-02-2018_DDOS-LOIC-UDP_10,1,1,1,0,0
21-02-2018_DDOS-LOIC-UDP_11,1,1,1,0,0
21-02-2018_DDOS-LOIC-UDP_12,1,1,1,0,0
21-02-2018_DDOS-LOIC-UDP_13,1,1,1,0,0
21-02-2018_DDOS-LOIC-UDP_14,1,1,1,0,0
21-02-2018_DDOS-LOIC-UDP_15,1,1,1,0,0
21-02-2018_DDOS-LOIC-UDP_16,1,1,1,0,0
21-02-2018_DDOS-LOIC-UDP_17,1,1,1,0,0
21-02-2018_DDOS-LOIC-UDP_2,1,1,1,0,0
21-02-2018_DDOS-LOIC-UDP_3,2,2,2,0,0
21-02-2018_DDOS-LOIC-UDP_4,1,1,1,0,0
21-02-2018_DDOS-LOIC-UDP_5,1,1,1,0,0
21-02-2018_DDOS-LOIC-UDP_6,1,1,1,0,0
21-02-2018_DDOS-LOIC-UDP_7,1,1,1,0,0
21-02-2018_DDOS-LOIC-UDP_8,1,1,1,0,0
21-02-2018_DDOS-LOIC-UDP_9,1,1,1,0,0
