fold_id,held_out_episode_id,attack_type,source_day,attack_count,benign_count,positive_count,negative_count,benign_attack_ratio,min_temporal_distance,max_temporal_distance,benign_selection_rule,fallback_used
0,02-03-2018_Botnet_0,Botnet,02-03-2018,10,10,10,10,1.0,0,1440.0,same_day_temporally_closest,False
1,02-03-2018_Botnet_1,Botnet,02-03-2018,12,12,12,12,1.0,0,780.0,same_day_temporally_closest,False
2,02-03-2018_Botnet_2,Botnet,02-03-2018,1,11,6,6,11.0,0,360.0,same_day_temporally_closest,False
3,02-03-2018_Botnet_3,Botnet,02-03-2018,1,5,1,5,5.0,0,2640.0,same_day_temporally_closest,False
4,02-03-2018_Botnet_4,Botnet,02-03-2018,1,5,1,5,5.0,0,2880.0,same_day_temporally_closest,False
5,02-03-2018_Botnet_5,Botnet,02-03-2018,4,5,4,5,1.25,0,3780.0,same_day_temporally_closest,False
6,02-03-2018_Botnet_6,Botnet,02-03-2018,4,5,4,5,1.25,0,4080.0,same_day_temporally_closest,False
7,02-03-2018_Botnet_7,Botnet,02-03-2018,3,5,3,5,1.6666666666666667,0,4380.0,same_day_temporally_closest,False
8,02-03-2018_Botnet_8,Botnet,02-03-2018,7,7,7,7,1.0,0,4800.0,same_day_temporally_closest,False
9,02-03-2018_Botnet_9,Botnet,02-03-2018,5,5,5,5,1.0,0,5220.0,same_day_temporally_closest,False
10,14-02-2018_SSH-Bruteforce_0,SSH-Bruteforce,14-02-2018,1,11,6,6,11.0,0,360.0,same_day_temporally_closest,False
11,14-02-2018_SSH-Bruteforce_1,SSH-Bruteforce,14-02-2018,4,5,4,5,1.25,0,780.0,same_day_temporally_closest,False
12,14-02-2018_SSH-Bruteforce_2,SSH-Bruteforce,14-02-2018,10,10,10,10,1.0,0,1380.0,same_day_temporally_closest,False
13,14-02-2018_SSH-Bruteforce_3,SSH-Bruteforce,14-02-2018,1,5,1,5,5.0,0,1740.0,same_day_temporally_closest,False
14,14-02-2018_SSH-Bruteforce_4,SSH-Bruteforce,14-02-2018,8,8,8,8,1.0,0,2040.0,same_day_temporally_closest,False
15,14-02-2018_SSH-Bruteforce_5,SSH-Bruteforce,14-02-2018,12,12,12,12,1.0,0,2820.0,same_day_temporally_closest,False
16,14-02-2018_SSH-Bruteforce_6,SSH-Bruteforce,14-02-2018,33,33,33,33,1.0,0,2940.0,same_day_temporally_closest,False
17,14-02-2018_SSH-Bruteforce_7,SSH-Bruteforce,14-02-2018,6,6,6,6,1.0,0,900.0,same_day_temporally_closest,False
18,14-02-2018_SSH-Bruteforce_8,SSH-Bruteforce,14-02-2018,7,7,7,7,1.0,0,480.0,same_day_temporally_closest,False
19,21-02-2018_DDOS-LOIC-UDP_0,DDOS-LOIC-UDP,21-02-2018,1,11,6,6,11.0,0,360.0,same_day_temporally_closest,False
20,21-02-2018_DDOS-LOIC-UDP_1,DDOS-LOIC-UDP,21-02-2018,1,5,1,5,5.0,0,720.0,same_day_temporally_closest,False
21,21-02-2018_DDOS-LOIC-UDP_10,DDOS-LOIC-UDP,21-02-2018,1,5,1,5,5.0,0,1860.0,same_day_temporally_closest,False
22,21-02-2018_DDOS-LOIC-UDP_11,DDOS-LOIC-UDP,21-02-2018,1,5,1,5,5.0,0,1980.0,same_day_temporally_closest,False
23,21-02-2018_DDOS-LOIC-UDP_12,DDOS-LOIC-UDP,21-02-2018,1,5,1,5,5.0,0,2100.0,same_day_temporally_closest,False
24,21-02-2018_DDOS-LOIC-UDP_13,DDOS-LOIC-UDP,21-02-2018,1,5,1,5,5.0,0,2220.0,same_day_temporally_closest,False
25,21-02-2018_DDOS-LOIC-UDP_14,DDOS-LOIC-UDP,21-02-2018,1,5,1,5,5.0,0,2340.0,same_day_temporally_closest,False
26,21-02-2018_DDOS-LOIC-UDP_15,DDOS-LOIC-UDP,21-02-2018,1,5,1,5,5.0,0,2460.0,same_day_temporally_closest,False
27,21-02-2018_DDOS-LOIC-UDP_16,DDOS-LOIC-UDP,21-02-2018,1,5,1,5,5.0,0,2580.0,same_day_temporally_closest,False
28,21-02-2018_DDOS-LOIC-UDP_17,DDOS-LOIC-UDP,21-02-2018,1,5,1,5,5.0,0,2700.0,same_day_temporally_closest,False
29,21-02-2018_DDOS-LOIC-UDP_2,DDOS-LOIC-UDP,21-02-2018,1,5,1,5,5.0,0,840.0,same_day_temporally_closest,False
30,21-02-2018_DDOS-LOIC-UDP_3,DDOS-LOIC-UDP,21-02-2018,2,5,2,5,2.5,0,960.0,same_day_temporally_closest,False
31,21-02-2018_DDOS-LOIC-UDP_4,DDOS-LOIC-UDP,21-02-2018,1,5,1,5,5.0,0,1140.0,same_day_temporally_closest,False
32,21-02-2018_DDOS-LOIC-UDP_5,DDOS-LOIC-UDP,21-02-2018,1,5,1,5,5.0,0,1260.0,same_day_temporally_closest,False
33,21-02-2018_DDOS-LOIC-UDP_6,DDOS-LOIC-UDP,21-02-2018,1,5,1,5,5.0,0,1380.0,same_day_temporally_closest,False
34,21-02-2018_DDOS-LOIC-UDP_7,DDOS-LOIC-UDP,21-02-2018,1,5,1,5,5.0,0,1500.0,same_day_temporally_closest,False
35,21-02-2018_DDOS-LOIC-UDP_8,DDOS-LOIC-UDP,21-02-2018,1,5,1,5,5.0,0,1620.0,same_day_temporally_closest,False
36,21-02-2018_DDOS-LOIC-UDP_9,DDOS-LOIC-UDP,21-02-2018,1,5,1,5,5.0,0,1740.0,same_day_temporally_closest,False
