fold_id,held_out_episode_id,n_pre_onset_positives_in_test
0,02-03-2018_Botnet_0,0
1,02-03-2018_Botnet_1,0
2,02-03-2018_Botnet_2,5
3,02-03-2018_Botnet_3,0
4,02-03-2018_Botnet_4,0
5,02-03-2018_Botnet_5,0
6,02-03-2018_Botnet_6,0
7,02-03-2018_Botnet_7,0
8,02-03-2018_Botnet_8,0
9,02-03-2018_Botnet_9,0
10,14-02-2018_SSH-Bruteforce_0,5
11,14-02-2018_SSH-Bruteforce_1,0
12,14-02-2018_SSH-Bruteforce_2,0
13,14-02-2018_SSH-Bruteforce_3,0
14,14-02-2018_SSH-Bruteforce_4,0
15,14-02-2018_SSH-Bruteforce_5,0
16,14-02-2018_SSH-Bruteforce_6,0
17,14-02-2018_SSH-Bruteforce_7,0
18,14-02-2018_SSH-Bruteforce_8,0
19,21-02-2018_DDOS-LOIC-UDP_0,5
20,21-02-2018_DDOS-LOIC-UDP_1,0
21,21-02-2018_DDOS-LOIC-UDP_10,0
22,21-02-2018_DDOS-LOIC-UDP_11,0
23,21-02-2018_DDOS-LOIC-UDP_12,0
24,21-02-2018_DDOS-LOIC-UDP_13,0
25,21-02-2018_DDOS-LOIC-UDP_14,0
26,21-02-2018_DDOS-LOIC-UDP_15,0
27,21-02-2018_DDOS-LOIC-UDP_16,0
28,21-02-2018_DDOS-LOIC-UDP_17,0
29,21-02-2018_DDOS-LOIC-UDP_2,0
30,21-02-2018_DDOS-LOIC-UDP_3,0
31,21-02-2018_DDOS-LOIC-UDP_4,0
32,21-02-2018_DDOS-LOIC-UDP_5,0
33,21-02-2018_DDOS-LOIC-UDP_6,0
34,21-02-2018_DDOS-LOIC-UDP_7,0
35,21-02-2018_DDOS-LOIC-UDP_8,0
36,21-02-2018_DDOS-LOIC-UDP_9,0
