fold_id,held_out_episode_id,overlap_count,train_test_overlap
0,02-03-2018_Botnet_0,0,False
1,02-03-2018_Botnet_1,0,False
2,02-03-2018_Botnet_2,0,False
3,02-03-2018_Botnet_3,0,False
4,02-03-2018_Botnet_4,0,False
5,02-03-2018_Botnet_5,0,False
6,02-03-2018_Botnet_6,0,False
7,02-03-2018_Botnet_7,0,False
8,02-03-2018_Botnet_8,0,False
9,02-03-2018_Botnet_9,0,False
10,14-02-2018_SSH-Bruteforce_0,0,False
11,14-02-2018_SSH-Bruteforce_1,0,False
12,14-02-2018_SSH-Bruteforce_2,0,False
13,14-02-2018_SSH-Bruteforce_3,0,False
14,14-02-2018_SSH-Bruteforce_4,0,False
15,14-02-2018_SSH-Bruteforce_5,0,False
16,14-02-2018_SSH-Bruteforce_6,0,False
17,14-02-2018_SSH-Bruteforce_7,0,False
18,14-02-2018_SSH-Bruteforce_8,0,False
19,21-02-2018_DDOS-LOIC-UDP_0,0,False
20,21-02-2018_DDOS-LOIC-UDP_1,0,False
21,21-02-2018_DDOS-LOIC-UDP_10,0,False
22,21-02-2018_DDOS-LOIC-UDP_11,0,False
23,21-02-2018_DDOS-LOIC-UDP_12,0,False
24,21-02-2018_DDOS-LOIC-UDP_13,0,False
25,21-02-2018_DDOS-LOIC-UDP_14,0,False
26,21-02-2018_DDOS-LOIC-UDP_15,0,False
27,21-02-2018_DDOS-LOIC-UDP_16,0,False
28,21-02-2018_DDOS-LOIC-UDP_17,0,False
29,21-02-2018_DDOS-LOIC-UDP_2,0,False
30,21-02-2018_DDOS-LOIC-UDP_3,0,False
31,21-02-2018_DDOS-LOIC-UDP_4,0,False
32,21-02-2018_DDOS-LOIC-UDP_5,0,False
33,21-02-2018_DDOS-LOIC-UDP_6,0,False
34,21-02-2018_DDOS-LOIC-UDP_7,0,False
35,21-02-2018_DDOS-LOIC-UDP_8,0,False
36,21-02-2018_DDOS-LOIC-UDP_9,0,False
