attack_episode_id,source_day,N_attack_windows,N_same_day_benign_windows,N_benign_before_onset,N_benign_after_onset
02-03-2018_Botnet_0,02-03-2018,10,183,0,183
02-03-2018_Botnet_1,02-03-2018,12,183,0,183
02-03-2018_Botnet_2,02-03-2018,1,183,183,0
02-03-2018_Botnet_3,02-03-2018,1,183,183,0
02-03-2018_Botnet_4,02-03-2018,1,183,183,0
02-03-2018_Botnet_5,02-03-2018,4,183,183,0
02-03-2018_Botnet_6,02-03-2018,4,183,183,0
02-03-2018_Botnet_7,02-03-2018,3,183,183,0
02-03-2018_Botnet_8,02-03-2018,7,183,183,0
02-03-2018_Botnet_9,02-03-2018,5,183,183,0
14-02-2018_SSH-Bruteforce_0,14-02-2018,1,353,61,292
14-02-2018_SSH-Bruteforce_1,14-02-2018,4,353,61,292
14-02-2018_SSH-Bruteforce_2,14-02-2018,10,353,61,292
14-02-2018_SSH-Bruteforce_3,14-02-2018,1,353,61,292
14-02-2018_SSH-Bruteforce_4,14-02-2018,8,353,61,292
14-02-2018_SSH-Bruteforce_5,14-02-2018,12,353,61,292
14-02-2018_SSH-Bruteforce_6,14-02-2018,33,353,61,292
14-02-2018_SSH-Bruteforce_7,14-02-2018,6,353,61,292
14-02-2018_SSH-Bruteforce_8,14-02-2018,7,353,61,292
21-02-2018_DDOS-LOIC-UDP_0,21-02-2018,1,111,111,0
21-02-2018_DDOS-LOIC-UDP_1,21-02-2018,1,111,111,0
21-02-2018_DDOS-LOIC-UDP_10,21-02-2018,1,111,111,0
21-02-2018_DDOS-LOIC-UDP_11,21-02-2018,1,111,111,0
21-02-2018_DDOS-LOIC-UDP_12,21-02-2018,1,111,111,0
21-02-2018_DDOS-LOIC-UDP_13,21-02-2018,1,111,111,0
21-02-2018_DDOS-LOIC-UDP_14,21-02-2018,1,111,111,0
21-02-2018_DDOS-LOIC-UDP_15,21-02-2018,1,111,111,0
21-02-2018_DDOS-LOIC-UDP_16,21-02-2018,1,111,111,0
21-02-2018_DDOS-LOIC-UDP_17,21-02-2018,1,111,111,0
21-02-2018_DDOS-LOIC-UDP_2,21-02-2018,1,111,111,0
21-02-2018_DDOS-LOIC-UDP_3,21-02-2018,2,111,111,0
21-02-2018_DDOS-LOIC-UDP_4,21-02-2018,1,111,111,0
21-02-2018_DDOS-LOIC-UDP_5,21-02-2018,1,111,111,0
21-02-2018_DDOS-LOIC-UDP_6,21-02-2018,1,111,111,0
21-02-2018_DDOS-LOIC-UDP_7,21-02-2018,1,111,111,0
21-02-2018_DDOS-LOIC-UDP_8,21-02-2018,1,111,111,0
21-02-2018_DDOS-LOIC-UDP_9,21-02-2018,1,111,111,0
