attack_episode_id,t_0_5_min,t_5_10_min,t_10_30_min,t_30_60_min,t_gt_60_min
02-03-2018_Botnet_0,0,0,7,30,146
02-03-2018_Botnet_1,0,0,18,30,135
02-03-2018_Botnet_2,0,0,0,28,155
02-03-2018_Botnet_3,0,0,0,26,157
02-03-2018_Botnet_4,0,0,0,22,161
02-03-2018_Botnet_5,0,0,0,7,176
02-03-2018_Botnet_6,0,0,0,2,181
02-03-2018_Botnet_7,0,0,0,0,183
02-03-2018_Botnet_8,0,0,0,0,183
02-03-2018_Botnet_9,0,0,0,0,183
14-02-2018_SSH-Bruteforce_0,4,5,20,30,294
14-02-2018_SSH-Bruteforce_1,2,5,20,30,296
14-02-2018_SSH-Bruteforce_2,0,2,20,30,301
14-02-2018_SSH-Bruteforce_3,0,0,11,30,312
14-02-2018_SSH-Bruteforce_4,0,0,9,30,314
14-02-2018_SSH-Bruteforce_5,0,0,0,30,323
14-02-2018_SSH-Bruteforce_6,0,0,0,29,324
14-02-2018_SSH-Bruteforce_7,0,0,16,30,307
14-02-2018_SSH-Bruteforce_8,0,3,20,30,300
21-02-2018_DDOS-LOIC-UDP_0,5,5,20,29,52
21-02-2018_DDOS-LOIC-UDP_1,3,5,20,29,54
21-02-2018_DDOS-LOIC-UDP_10,0,0,9,30,72
21-02-2018_DDOS-LOIC-UDP_11,0,0,7,30,74
21-02-2018_DDOS-LOIC-UDP_12,0,0,5,30,76
21-02-2018_DDOS-LOIC-UDP_13,0,0,3,30,78
21-02-2018_DDOS-LOIC-UDP_14,0,0,1,30,80
21-02-2018_DDOS-LOIC-UDP_15,0,0,0,29,82
21-02-2018_DDOS-LOIC-UDP_16,0,0,0,27,84
21-02-2018_DDOS-LOIC-UDP_17,0,0,0,25,86
21-02-2018_DDOS-LOIC-UDP_2,1,5,20,29,56
21-02-2018_DDOS-LOIC-UDP_3,0,4,20,29,58
21-02-2018_DDOS-LOIC-UDP_4,0,1,20,29,61
21-02-2018_DDOS-LOIC-UDP_5,0,0,19,29,63
21-02-2018_DDOS-LOIC-UDP_6,0,0,17,30,64
21-02-2018_DDOS-LOIC-UDP_7,0,0,15,30,66
21-02-2018_DDOS-LOIC-UDP_8,0,0,13,30,68
21-02-2018_DDOS-LOIC-UDP_9,0,0,11,30,70
