feature,coef
fwd_pkt_len_std_mean,1.9596911534742347
window_size_bwd_std,1.8846260233838876
fwd_pkt_len_max_std,-1.6469703771289688
byte_count_bwd_std,-1.593109469893398
bwd_seg_size_avg_max,1.5618385573752063
bwd_pkt_len_mean_max,1.5618385573750853
pkt_len_var_std,-1.5454561803450617
bwd_pkt_len_std_mean,-1.534985268965226
pkt_tcp_retrans_count,1.5290395689436884
pkt_len_var_max,-1.4818415210678892
pkt_port_scan_seq_score,1.427171798148046
bwd_iat_std_mean,1.3685337275072043
bytes_per_sec_mean,-1.3121795806914442
byte_count_fwd_max,1.3008071744022267
pkt_len_var_mean,-1.284678342082137
flow_iat_std_std,-1.281576068069674
bwd_pkt_len_std_max,1.2142520556351608
down_up_ratio_std,-1.198204708558083
bytes_per_sec_max,1.1847138616931019
window_size_fwd_std,-1.158544660323378
packet_count_bwd_std,1.0816162575074344
bwd_pkt_len_std_std,1.0765271955636686
bwd_iat_min_std,-1.05723343393316
ack_flag_cnt_std,1.0378071337052637
bwd_iat_max_std,-1.0356693538747364
fwd_seg_size_min_mean,1.0166511259978872
bwd_iat_mean_std,1.0045251695482273
pkt_len_mean_max,-0.9836061828125109
pkt_len_std_mean,-0.940586788043219
bwd_pkts_per_sec_sum,-0.9370784724108405
bwd_iat_min_max,0.9368535811327793
pkt_len_min_std,0.9151265538299728
fwd_pkt_len_std_std,0.871419486151832
bwd_pkt_len_min_mean,0.8695280628929762
bytes_per_sec_sum,-0.8670324604548296
subflow_bwd_byts_sum,-0.8646031398360835
urg_flag_cnt_max,0.8230538736246663
pkt_payload_size_p95,-0.8116062503759931
urg_flag_cnt_mean,-0.8088803118645614
window_size_bwd_sum,-0.7369828509227019
window_size_bwd_mean,-0.7245053196434885
pkt_len_max_std,-0.71562044159886
pkt_frag_df_count,0.7091513397429928
active_max_sum,0.6975333463265875
bwd_pkts_per_sec_std,0.6894632795366854
byte_count_fwd_std,-0.6872936648163577
pkt_len_mean_mean,-0.6745223828740766
fwd_iat_mean_std,-0.6638196949518781
pkt_size_avg_mean,-0.663797709657117
active_mean_sum,-0.6447437485960734
subflow_bwd_pkts_std,-0.6400308200720627
duration_sec_std,0.6391138690248742
ece_flag_cnt_sum,0.6322555496479522
rst_flag_cnt_sum,0.631359583949272
ece_flag_cnt_std,0.62945138939391
active_std_sum,-0.6249915085029122
byte_count_bwd_max,-0.6243848567511646
bwd_iat_tot_mean,-0.6092558109028697
bwd_iat_mean_sum,-0.6084550938327421
rst_flag_cnt_std,0.6044921026311886
pkt_len_max_mean,-0.6027974487101302
pkt_payload_size_p75,-0.5945179639557443
bwd_header_len_max,0.5917019650335859
bwd_iat_mean_max,-0.5852315526850932
fwd_header_len_max,0.5785217662928295
byte_count_bwd_mean,-0.5722715517742639
packet_count_bwd_mean,0.5657961417001093
packet_count_fwd_mean,0.5604201080851902
flow_iat_max_std,-0.5519047658011298
pkt_len_std_std,0.5391933144931276
bwd_pkt_len_max_std,0.537791012623051
urg_flag_cnt_std,0.5212183357557546
active_max_std,0.5199563617528555
pkt_len_var_sum,0.5108436415840337
psh_flag_cnt_max,-0.4940712476021472
bwd_iat_mean_mean,0.49214115058090796
ack_flag_cnt_sum,0.47032797464056647
fwd_pkt_len_max_max,0.46859796701640516
psh_flag_cnt_mean,0.46816059451989983
down_up_ratio_max,0.4577219358518634
byte_count_bwd_sum,-0.45175425473804115
active_std_mean,-0.4515578837142216
bwd_pkt_len_mean_sum,0.4488846118936921
bwd_seg_size_avg_sum,0.44888461189311946
subflow_bwd_byts_max,0.4469894660022857
idle_std_mean,0.4331583303987028
fwd_iat_min_std,-0.4277493208938904
fwd_pkt_len_mean_sum,0.4236170510360678
fwd_seg_size_avg_sum,0.4236170510360678
fwd_pkt_len_std_sum,0.4204532124392205
mask_has_packet_level_features,-0.41963949200301953
pkt_ttl_max,-0.41963949200301953
active_min_std,-0.40474373106286066
flow_iat_std_sum,-0.4042466588649315
pkt_ttl_std,0.39597675445211333
pkt_ttl_mode,0.3921819036194852
window_size_fwd_mean,0.38816880313101737
fwd_urg_flags_std,0.3860311479749348
cwe_flag_cnt_std,0.3860311479749348
fwd_seg_size_min_std,-0.38487364253479095
fwd_pkt_len_max_sum,0.37862693864022573
fwd_pkts_per_sec_sum,0.3767339268777917
bwd_pkt_len_min_std,-0.37543599719067966
pkt_len_max_max,0.36520497649639194
fwd_pkts_per_sec_mean,0.3597780791936315
idle_min_std,-0.35814983051621496
fwd_pkts_per_sec_max,-0.35791350287928964
active_mean_std,-0.35638027718009374
fwd_iat_std_std,0.3504403210422691
ack_flag_cnt_max,-0.3491665520684774
down_up_ratio_mean,0.3393257425604508
fwd_iat_std_mean,0.3391006914451384
pkt_len_mean_std,0.3380397124018879
rst_flag_cnt_max,-0.3365170119538982
ece_flag_cnt_max,-0.3365170119538982
fwd_iat_max_sum,0.3363974161593321
idle_max_mean,0.3335976834146582
fwd_iat_min_max,0.3327131047887726
window_size_bwd_max,0.33115527355099006
fwd_iat_min_sum,0.3260305890947039
fwd_header_len_std,0.3216732424653492
pkt_len_min_max,-0.320783224647342
pkt_len_mean_sum,0.3165104613803587
flow_iat_min_sum,0.3129620841942363
packets_per_sec_max,-0.3047568729541606
subflow_fwd_pkts_std,0.3042801373314936
pkt_size_avg_max,0.3008087587297394
fwd_act_data_pkts_std,0.29898056197749906
duration_microsec_max,0.29778089134728564
flow_iat_max_mean,-0.29278818818467134
pkt_len_max_sum,0.28855540499805965
flow_iat_std_max,-0.28706447673643354
active_std_max,0.28702347757556235
bwd_iat_std_sum,0.2857504086532425
fwd_iat_mean_max,0.2846448993286702
fwd_iat_std_max,0.28305875230719163
pkt_size_avg_sum,0.27850426684123164
fwd_iat_max_max,-0.27654138646663967
bwd_pkt_len_mean_std,0.27401964708345466
bwd_seg_size_avg_std,0.2740196470656512
bwd_iat_tot_max,-0.27222374449851977
pkt_len_std_sum,0.2712674725448696
fwd_header_len_mean,0.26910193190533094
packets_per_sec_mean,-0.26852493596216376
subflow_fwd_pkts_mean,0.2674795094670808
packet_count_fwd_std,-0.26742747483431134
fwd_act_data_pkts_mean,0.26646084718333685
fwd_iat_std_sum,0.2643640406858297
subflow_bwd_byts_std,-0.26310770496882363
bwd_pkts_per_sec_max,-0.2624291462449143
fwd_pkt_len_std_max,-0.2597060583734892
down_up_ratio_sum,0.25951898199102885
bwd_header_len_std,-0.25716045482575506
fwd_iat_tot_std,0.25487235049458556
flow_iat_std_mean,-0.2540593267539473
flow_iat_mean_sum,0.25331756257730426
active_max_mean,-0.25145876026400316
fwd_seg_size_min_sum,0.2489940311318918
pkt_size_avg_std,0.2473926078888631
packets_per_sec_sum,-0.24556034925242368
bwd_iat_std_std,0.24479145500095117
subflow_bwd_byts_mean,0.24415163561711622
packet_count_fwd_sum,0.24118300128167883
fwd_header_len_sum,0.23521984732269832
packet_count_bwd_max,0.2348461140797378
active_min_max,0.21909417871924575
subflow_fwd_pkts_max,0.21829012058800737
fwd_seg_size_avg_mean,-0.21703344422328286
fwd_pkt_len_mean_mean,-0.21703344422328286
bytes_per_sec_std,0.21616160905052875
bwd_iat_max_mean,-0.2160338521217625
byte_count_fwd_sum,-0.2153518837880511
flow_iat_max_max,0.21327419700348063
fwd_pkt_len_max_mean,0.21033556199132125
fwd_urg_flags_mean,-0.20944444935910092
cwe_flag_cnt_mean,-0.20944444935910092
subflow_fwd_byts_mean,0.20743806466254122
flow_iat_mean_mean,0.2072744159063006
duration_microsec_std,0.20631077594703756
idle_min_mean,-0.19786474570698062
bwd_pkt_len_mean_mean,0.19733771305737116
bwd_seg_size_avg_mean,0.19733771305363165
subflow_fwd_byts_sum,0.19732535226538006
active_min_sum,0.19207234943658044
bwd_pkt_len_min_sum,0.18974475811149272
byte_count_fwd_min,0.18841532858402452
ack_flag_cnt_mean,0.18817716700084103
bwd_pkts_per_sec_mean,-0.18717395867577277
active_max_max,0.18316926384084709
subflow_fwd_pkts_sum,0.182307495518191
subflow_bwd_pkts_sum,-0.17983231202880257
pkt_ttl_min,-0.1759812752011487
fwd_pkt_len_min_mean,-0.17589659780012726
window_size_fwd_max,-0.17361066524917845
active_std_std,-0.16918207130005308
idle_mean_std,-0.16887586251164047
packets_per_sec_min,-0.16681755470280654
fwd_act_data_pkts_max,0.1637677464858236
fwd_act_data_pkts_sum,0.16347690604293588
window_size_fwd_sum,0.1621289650762234
active_mean_mean,-0.16071291196397644
pkt_payload_size_p50,-0.15735613556535114
packet_count_bwd_min,-0.1567138951867862
flow_iat_mean_std,-0.15631794796298973
fin_flag_cnt_max,0.15618842738819605
fwd_seg_size_min_min,-0.15544810198709477
bwd_pkt_len_max_sum,0.15532014696659496
flow_iat_max_sum,0.1546458578475095
fwd_iat_mean_sum,0.15380965897709728
bwd_iat_max_sum,-0.15179219916338016
flow_iat_min_mean,0.15013321065885996
subflow_fwd_byts_max,-0.14924054729215216
idle_max_std,0.1486706880313282
pkt_len_min_sum,-0.14846404735413063
fwd_psh_flags_std,-0.1430550837918693
syn_flag_cnt_std,-0.1430550837918693
subflow_bwd_pkts_mean,-0.1420365239282868
idle_max_sum,0.141528381409805
idle_mean_mean,0.14122634011315757
duration_sec_max,0.13959123022939263
packet_count_fwd_min,0.1392287181589718
fwd_act_data_pkts_min,0.13856261571009917
bwd_pkt_len_max_max,-0.13806064021220896
fwd_seg_size_min_max,-0.1374002491780049
flow_count,0.12811007519258696
fwd_pkt_len_min_sum,-0.1279213747953749
fwd_urg_flags_max,0.12761545501723257
cwe_flag_cnt_max,0.12761545501723257
duration_sec_sum,-0.12743974662823773
fin_flag_cnt_std,0.11895754718644222
unique_dst_ports_count,0.11543692114359481
idle_mean_max,-0.11262154401022548
bwd_iat_min_sum,0.1100273578051215
fwd_psh_flags_max,0.10498619122887183
syn_flag_cnt_max,0.10498619122887183
byte_count_fwd_mean,-0.1030946633999734
pkt_len_std_max,-0.10034446498426337
fwd_iat_tot_sum,-0.09721519437323184
fwd_iat_mean_mean,-0.09607817557705854
duration_microsec_min,0.09128393662429207
bwd_header_len_sum,0.09115864474840582
fwd_iat_tot_min,0.09003807805750705
idle_min_max,-0.08946194406063944
fwd_psh_flags_mean,-0.08827866731762199
syn_flag_cnt_mean,-0.08827866731762199
bwd_iat_tot_std,-0.08634153614233685
psh_flag_cnt_sum,0.08598679903162765
duration_sec_mean,0.08592665049838123
idle_max_max,-0.08338317295104869
fin_flag_cnt_mean,0.08220389317228041
subflow_bwd_pkts_max,-0.08113655814301425
bwd_pkt_len_max_mean,0.08099764069243882
duration_microsec_mean,0.07932430179324386
bwd_iat_min_min,-0.07763227366960748
subflow_fwd_byts_std,-0.07757856134876856
flow_iat_min_max,0.07709547376277065
duration_sec_min,0.07311269676760108
subflow_fwd_pkts_min,0.07164885354412508
idle_std_max,-0.0695542392849287
fwd_pkts_per_sec_std,0.06752122985527789
flow_iat_mean_max,-0.0642794370305861
duration_microsec_sum,-0.06338433478320288
fwd_iat_tot_mean,0.061498228145313145
syn_flag_cnt_sum,-0.05977375645823953
fwd_psh_flags_sum,-0.05977375645823953
active_min_mean,0.05871475247692702
bwd_iat_tot_sum,-0.055982482849924055
fwd_pkt_len_max_min,-0.0551370814931173
subflow_bwd_pkts_min,-0.05323630990705869
active_mean_max,-0.05274236515523834
bwd_seg_size_avg_min,0.05245693656085356
bwd_pkt_len_mean_min,0.05245693656085356
idle_mean_sum,0.05190588377069659
byte_count_bwd_min,0.05181054518823507
fwd_iat_std_min,-0.05039605237058811
idle_std_sum,0.04952788546275957
bwd_iat_std_max,-0.049215890536258605
pkt_len_std_min,0.04659536053484825
fwd_iat_tot_max,0.04631781753842247
idle_min_min,-0.045967636096219656
bwd_pkt_len_max_min,0.04592614005341015
fwd_pkt_len_min_min,0.04480323683764526
subflow_bwd_byts_min,0.04475660509500224
bytes_per_sec_min,0.04464813563072743
pkt_len_min_min,0.04439488326901536
pkt_len_var_min,0.04413892001506265
flow_iat_std_min,-0.04395675563580491
bwd_pkt_len_std_min,0.042878781310207975
idle_std_std,0.0421035311532342
packet_count_bwd_sum,0.041105199083971124
psh_flag_cnt_std,-0.04067422876940347
fwd_iat_max_mean,0.0401934095357584
bwd_iat_mean_min,-0.039484525229480115
ece_flag_cnt_mean,0.03765702232426516
window_size_bwd_min,0.03698922565516766
fwd_pkt_len_std_min,0.036738848366875874
fwd_iat_max_std,-0.036376029115792526
packet_count_fwd_max,-0.035133146778476336
bwd_iat_min_mean,-0.03497648283989793
window_size_fwd_min,0.031777270638303434
idle_std_min,-0.029635199760745547
flow_iat_min_min,0.02345947554663774
active_std_min,0.0233085086072035
bwd_iat_tot_min,0.023182360825126896
subflow_fwd_byts_min,-0.02292233643635389
fwd_pkt_len_min_max,-0.0228131581151141
flow_iat_min_std,0.020833667130363505
fwd_iat_min_mean,-0.020589710127573296
pkt_len_mean_min,0.020420697381956898
bwd_iat_std_min,0.02008064640737948
fin_flag_cnt_sum,-0.019077404340019682
