feature,classification,valid_or_invalid,reason,provenance,timestamp_derived,day_derived,episode_derived,target_derived,future_derived,within_day_variance,between_day_variance,within_episode_variance,between_episode_variance,max_abs_lr_coefficient
duration_microsec_mean,A. Valid UCS behavioral/network feature,valid,Valid UCS numeric feature,Flow extraction logic (standard CICIDS2018),False,False,False,False,False,5.1711175083765015,6.1723600502008855,0.940789569917824,49.81715650182469,0.0965915134525352
duration_microsec_std,A. Valid UCS behavioral/network feature,valid,Valid UCS numeric feature,Flow extraction logic (standard CICIDS2018),False,False,False,False,False,1.5674798957783287,0.1245739046458283,0.6159414412314856,1.2630337898419102,0.2086765914233327
duration_microsec_sum,A. Valid UCS behavioral/network feature,valid,Valid UCS numeric feature,Flow extraction logic (standard CICIDS2018),False,False,False,False,False,0.3566027194088081,0.3800343211454478,0.2877440838692469,0.5256352505646094,0.0651518348809086
duration_microsec_min,A. Valid UCS behavioral/network feature,valid,Valid UCS numeric feature,Flow extraction logic (standard CICIDS2018),False,False,False,False,False,1.6223301794702687,0.2844143742111747,0.2788553003058301,7.991898842150588,0.0928198164074411
duration_microsec_max,A. Valid UCS behavioral/network feature,valid,Valid UCS numeric feature,Flow extraction logic (standard CICIDS2018),False,False,False,False,False,866.1415841951057,390.855333038792,379.2520520016854,633.6614206009315,0.2915930210135261
packet_count_fwd_mean,A. Valid UCS behavioral/network feature,valid,Valid UCS numeric feature,Flow extraction logic (standard CICIDS2018),False,False,False,False,False,38.4148286875979,6.951645155495359,1.148575094326019,291.54496471958265,0.5612030318096507
packet_count_fwd_std,A. Valid UCS behavioral/network feature,valid,Valid UCS numeric feature,Flow extraction logic (standard CICIDS2018),False,False,False,False,False,2.2702260074755904,0.0531889509147775,0.5288885067123696,10.431260748909022,0.2695296733103726
packet_count_fwd_sum,A. Valid UCS behavioral/network feature,valid,Valid UCS numeric feature,Flow extraction logic (standard CICIDS2018),False,False,False,False,False,3.9001643306492655,0.7021704861124698,0.3810148077150188,7.224623976443921,0.230850727478129
packet_count_fwd_min,A. Valid UCS behavioral/network feature,valid,Valid UCS numeric feature,Flow extraction logic (standard CICIDS2018),False,False,False,False,False,1.1622561137085947,0.6875785169833319,0.3171122387624479,5.402685888900662,0.1358734225543492
packet_count_fwd_max,A. Valid UCS behavioral/network feature,valid,Valid UCS numeric feature,Flow extraction logic (standard CICIDS2018),False,False,False,False,False,0.7400788992921458,0.0998600349685104,0.3191143850452219,1.664815767814688,0.0352451903233849
