feature,abs_coefficient
fwd_pkt_len_std_mean,2.01370541717781
window_size_bwd_std,1.956411043305502
fwd_pkt_len_max_std,1.67698239624173
bwd_pkt_len_std_mean,1.6520014216805274
byte_count_bwd_std,1.5678326655648918
pkt_tcp_retrans_count,1.5542038836032197
pkt_len_var_std,1.5460039055117694
bwd_seg_size_avg_max,1.5397994815088165
bwd_pkt_len_mean_max,1.5397994815086964
pkt_len_var_max,1.4834608564403309
pkt_port_scan_seq_score,1.44544985686264
bwd_iat_std_mean,1.3653753651456477
bytes_per_sec_mean,1.322642508006412
byte_count_fwd_max,1.3117858158652962
flow_iat_std_std,1.2451210919723417
pkt_len_var_mean,1.2381660812340638
bwd_pkt_len_std_max,1.227203641921834
down_up_ratio_std,1.1937412129787215
window_size_fwd_std,1.191190838444395
bytes_per_sec_max,1.1733531674315523
bwd_pkt_len_std_std,1.1295479612011246
packet_count_bwd_std,1.0956523015449946
fwd_seg_size_min_mean,1.0358920242170746
bwd_iat_min_std,1.0335883231870997
bwd_iat_max_std,1.0232047619921556
bwd_iat_mean_std,1.0080129888939267
ack_flag_cnt_std,0.9946326705980042
pkt_len_mean_max,0.9573538836598845
bwd_pkts_per_sec_sum,0.9510483370090835
pkt_len_std_mean,0.9470500185793266
pkt_len_min_std,0.9224731384492042
fwd_pkt_len_std_std,0.9044621820812493
bwd_iat_min_max,0.8953393166334843
pkt_payload_size_p95,0.8874271552765526
bytes_per_sec_sum,0.8780731084663855
subflow_bwd_byts_sum,0.8761446652559639
bwd_pkt_len_min_mean,0.8599546247982904
urg_flag_cnt_mean,0.8295725658821124
urg_flag_cnt_max,0.809990250626208
window_size_bwd_mean,0.7839162768202339
window_size_bwd_sum,0.7618552042508463
byte_count_fwd_std,0.7371449640753159
pkt_len_max_std,0.7300986438303402
active_max_sum,0.7251106260029735
pkt_frag_df_count,0.7110797650803917
bwd_pkts_per_sec_std,0.6933989014132259
pkt_len_mean_mean,0.6807697260376742
ece_flag_cnt_sum,0.6784634639631026
pkt_size_avg_mean,0.6781001249499976
rst_flag_cnt_sum,0.6775537500327492
fwd_iat_mean_std,0.6774291045132887
pkt_payload_size_p75,0.6651368399412443
byte_count_bwd_max,0.6566363762373644
active_mean_sum,0.654337473941635
duration_sec_std,0.6506257372284654
pkt_len_max_mean,0.6494961714669326
bwd_iat_mean_sum,0.6427891239863195
subflow_bwd_pkts_std,0.6327004228621776
active_std_sum,0.6250267382523821
ece_flag_cnt_std,0.6248025992682819
rst_flag_cnt_std,0.5998429360389922
bwd_iat_tot_mean,0.5878821880264374
bwd_pkt_len_max_std,0.5787119369150684
packet_count_bwd_mean,0.5768977930307583
bwd_header_len_max,0.5732149800561076
flow_iat_max_std,0.5692917686860888
packet_count_fwd_mean,0.5612030318096507
byte_count_bwd_mean,0.5587403704978764
pkt_len_std_std,0.5554412438068153
urg_flag_cnt_std,0.5436438588589834
bwd_iat_mean_max,0.536554667215678
fwd_header_len_max,0.535587750338441
pkt_len_var_sum,0.5346765571455028
fwd_pkt_len_max_max,0.49803278024258096
psh_flag_cnt_mean,0.4941435702295529
pkt_ttl_max,0.4855824120357164
ack_flag_cnt_sum,0.47618844151426876
bwd_iat_mean_mean,0.47565673048216844
psh_flag_cnt_max,0.4753179002903528
bwd_pkt_len_mean_sum,0.47161836771802296
bwd_seg_size_avg_sum,0.4716183677175341
active_max_std,0.46164921491279487
down_up_ratio_max,0.45879795284113256
subflow_bwd_byts_max,0.4555734287898768
byte_count_bwd_sum,0.4455998088666588
active_std_mean,0.4398083348218541
fwd_seg_size_avg_sum,0.43652982957471925
fwd_pkt_len_mean_sum,0.43652982957471925
idle_std_mean,0.4305608315697624
fwd_pkt_len_std_sum,0.43046557778306216
fwd_iat_min_std,0.42898573526894945
fwd_seg_size_min_std,0.40373983442701133
flow_iat_std_sum,0.39916958895286236
fwd_pkts_per_sec_max,0.39293189488174124
fwd_pkt_len_max_sum,0.38788400939417694
fwd_pkts_per_sec_sum,0.3878142339047578
window_size_bwd_max,0.3841367602607599
idle_min_std,0.3831764841009042
cwe_flag_cnt_std,0.3817502655392838
fwd_urg_flags_std,0.3817502655392838
window_size_fwd_mean,0.37973201424013314
fwd_iat_max_sum,0.3599370477676219
bwd_pkt_len_min_std,0.3589216997043053
pkt_ttl_std,0.35855960021528643
pkt_ttl_mode,0.3546033268535789
pkt_len_max_max,0.35144371697685517
active_min_std,0.3487932041748599
active_mean_std,0.3446755903853087
down_up_ratio_mean,0.3422684751455803
ack_flag_cnt_max,0.3398593043802948
fwd_iat_min_sum,0.3397767060448769
fwd_pkts_per_sec_mean,0.33635401070571447
fwd_iat_std_std,0.33605583138323414
idle_max_mean,0.3334476039235778
pkt_len_mean_sum,0.33237682672776164
fwd_iat_std_mean,0.32936331487062886
pkt_len_mean_std,0.32637370967138646
rst_flag_cnt_max,0.32523299641977943
ece_flag_cnt_max,0.32523299641977943
fwd_iat_min_max,0.32336467650282297
flow_iat_min_sum,0.32182825090936074
packets_per_sec_max,0.3207579773765325
fwd_header_len_std,0.31776228113503463
pkt_len_min_max,0.3095767629986672
subflow_fwd_pkts_std,0.3022284865216838
bwd_iat_std_sum,0.2993324445728305
fwd_act_data_pkts_std,0.2979018354678629
pkt_len_max_sum,0.29718063148066365
pkt_size_avg_sum,0.2923368824545626
bwd_pkt_len_mean_std,0.2920101061849194
bwd_seg_size_avg_std,0.29201010616926143
duration_microsec_max,0.29159302101352613
packets_per_sec_mean,0.2905160251868649
bwd_iat_tot_max,0.2904968451037005
down_up_ratio_sum,0.2885489856583024
fwd_iat_std_max,0.28280897905741237
pkt_size_avg_max,0.28202343388327167
pkt_len_std_sum,0.2801715717795906
fwd_iat_max_max,0.27709950027632424
fwd_iat_mean_max,0.2763988578131402
packet_count_fwd_std,0.2695296733103726
fwd_iat_std_sum,0.26862018489095923
flow_iat_std_max,0.2672561182068641
fwd_pkt_len_std_max,0.26715806124442537
flow_iat_std_mean,0.2669937624011994
flow_iat_max_mean,0.2663430375571138
packets_per_sec_sum,0.26381303826076324
bytes_per_sec_std,0.26279892678230976
bwd_header_len_std,0.2626418256714159
fwd_header_len_mean,0.26222063983096006
flow_iat_mean_sum,0.26089589980818906
subflow_fwd_pkts_mean,0.2605518265505427
bwd_pkts_per_sec_max,0.26043125165759345
fwd_act_data_pkts_mean,0.25956617492739537
fwd_seg_size_min_sum,0.256126193916594
active_max_mean,0.25280963540957074
packet_count_bwd_max,0.24777156746922993
fwd_iat_tot_std,0.24722312464374693
active_std_max,0.24574259614012606
bwd_iat_std_std,0.24314717689635093
subflow_bwd_byts_std,0.238328288860243
pkt_ttl_min,0.2346212858929942
subflow_bwd_byts_mean,0.23284154038144914
packet_count_fwd_sum,0.230850727478129
bwd_pkt_len_min_sum,0.23070251004093353
fwd_header_len_sum,0.22825006561105296
flow_iat_mean_mean,0.22094221408804246
pkt_size_avg_std,0.22017833931856443
cwe_flag_cnt_mean,0.21727148920928352
fwd_urg_flags_mean,0.21727148920928352
pkt_payload_size_p50,0.21539795518858848
fwd_pkt_len_mean_mean,0.21435302549686674
fwd_seg_size_avg_mean,0.21435302549686674
fwd_pkt_len_max_mean,0.2132841155820581
duration_microsec_std,0.20867659142333278
bwd_pkts_per_sec_mean,0.20666169838061213
idle_mean_std,0.20448526567303568
idle_min_mean,0.20329403749005442
subflow_fwd_byts_mean,0.20181248929390697
flow_iat_max_max,0.19823616844667874
subflow_fwd_pkts_max,0.19696237700877153
byte_count_fwd_sum,0.19629323225290404
bwd_pkt_len_mean_mean,0.19485496981248351
bwd_seg_size_avg_mean,0.19485496980901118
byte_count_fwd_min,0.19296082493162084
fwd_pkt_len_min_mean,0.19213692119248263
active_max_max,0.19210505424650362
subflow_fwd_byts_sum,0.19054889735507965
flow_iat_max_sum,0.19031684672402974
ack_flag_cnt_mean,0.19004388077258705
window_size_fwd_max,0.18773814907241912
pkt_len_min_sum,0.18065907841104148
subflow_fwd_pkts_sum,0.1751851355771918
subflow_bwd_pkts_sum,0.17385307470362923
active_min_max,0.1729849863774427
bwd_iat_max_mean,0.1718342817230278
active_min_sum,0.16993129834828383
packets_per_sec_min,0.1682691904094541
active_mean_mean,0.16635770306983313
flow_iat_min_mean,0.1653556288298069
bwd_pkt_len_max_sum,0.1646933025367441
fwd_iat_mean_sum,0.16340176823717156
fwd_act_data_pkts_max,0.15982451201411255
fwd_act_data_pkts_sum,0.15664330742764426
packet_count_bwd_min,0.1561794771427427
