fold_id,held_out_episode_id,attack_type,n_train,n_test
0,02-03-2018_Botnet_0,Botnet,2777,10
1,02-03-2018_Botnet_1,Botnet,2775,12
2,02-03-2018_Botnet_2,Botnet,2786,1
3,02-03-2018_Botnet_3,Botnet,2786,1
4,02-03-2018_Botnet_4,Botnet,2786,1
5,02-03-2018_Botnet_5,Botnet,2783,4
6,02-03-2018_Botnet_6,Botnet,2783,4
7,02-03-2018_Botnet_7,Botnet,2784,3
8,02-03-2018_Botnet_8,Botnet,2780,7
9,02-03-2018_Botnet_9,Botnet,2782,5
10,14-02-2018_SSH-Bruteforce_0,SSH-Bruteforce,2786,1
11,14-02-2018_SSH-Bruteforce_1,SSH-Bruteforce,2783,4
12,14-02-2018_SSH-Bruteforce_2,SSH-Bruteforce,2777,10
13,14-02-2018_SSH-Bruteforce_3,SSH-Bruteforce,2786,1
14,14-02-2018_SSH-Bruteforce_4,SSH-Bruteforce,2779,8
15,14-02-2018_SSH-Bruteforce_5,SSH-Bruteforce,2775,12
16,14-02-2018_SSH-Bruteforce_6,SSH-Bruteforce,2754,33
17,14-02-2018_SSH-Bruteforce_7,SSH-Bruteforce,2781,6
18,14-02-2018_SSH-Bruteforce_8,SSH-Bruteforce,2780,7
19,21-02-2018_DDOS-LOIC-UDP_0,DDOS-LOIC-UDP,2786,1
20,21-02-2018_DDOS-LOIC-UDP_1,DDOS-LOIC-UDP,2786,1
21,21-02-2018_DDOS-LOIC-UDP_10,DDOS-LOIC-UDP,2786,1
22,21-02-2018_DDOS-LOIC-UDP_11,DDOS-LOIC-UDP,2786,1
23,21-02-2018_DDOS-LOIC-UDP_12,DDOS-LOIC-UDP,2786,1
24,21-02-2018_DDOS-LOIC-UDP_13,DDOS-LOIC-UDP,2786,1
25,21-02-2018_DDOS-LOIC-UDP_14,DDOS-LOIC-UDP,2786,1
26,21-02-2018_DDOS-LOIC-UDP_15,DDOS-LOIC-UDP,2786,1
27,21-02-2018_DDOS-LOIC-UDP_16,DDOS-LOIC-UDP,2786,1
28,21-02-2018_DDOS-LOIC-UDP_17,DDOS-LOIC-UDP,2786,1
29,21-02-2018_DDOS-LOIC-UDP_2,DDOS-LOIC-UDP,2786,1
30,21-02-2018_DDOS-LOIC-UDP_3,DDOS-LOIC-UDP,2785,2
31,21-02-2018_DDOS-LOIC-UDP_4,DDOS-LOIC-UDP,2786,1
32,21-02-2018_DDOS-LOIC-UDP_5,DDOS-LOIC-UDP,2786,1
33,21-02-2018_DDOS-LOIC-UDP_6,DDOS-LOIC-UDP,2786,1
34,21-02-2018_DDOS-LOIC-UDP_7,DDOS-LOIC-UDP,2786,1
35,21-02-2018_DDOS-LOIC-UDP_8,DDOS-LOIC-UDP,2786,1
36,21-02-2018_DDOS-LOIC-UDP_9,DDOS-LOIC-UDP,2786,1
