fold_id,held_out_episode_id,attack_type,target,target_col,n_train,n_test,test_attack_windows,test_benign_windows,accuracy,precision,recall,f1,fpr,roc_auc,pr_auc,tp,fp,tn,fn
0,02-03-2018_Botnet_0,Botnet,detection,label_binary,2777,10,10,0,1.0,1.0,1.0,1.0,0.0,,,10,0,0,0
1,02-03-2018_Botnet_1,Botnet,detection,label_binary,2775,12,12,0,1.0,1.0,1.0,1.0,0.0,,,12,0,0,0
2,02-03-2018_Botnet_2,Botnet,detection,label_binary,2786,1,1,0,1.0,1.0,1.0,1.0,0.0,,,1,0,0,0
3,02-03-2018_Botnet_3,Botnet,detection,label_binary,2786,1,1,0,1.0,1.0,1.0,1.0,0.0,,,1,0,0,0
4,02-03-2018_Botnet_4,Botnet,detection,label_binary,2786,1,1,0,1.0,1.0,1.0,1.0,0.0,,,1,0,0,0
5,02-03-2018_Botnet_5,Botnet,detection,label_binary,2783,4,4,0,1.0,1.0,1.0,1.0,0.0,,,4,0,0,0
6,02-03-2018_Botnet_6,Botnet,detection,label_binary,2783,4,4,0,1.0,1.0,1.0,1.0,0.0,,,4,0,0,0
7,02-03-2018_Botnet_7,Botnet,detection,label_binary,2784,3,3,0,1.0,1.0,1.0,1.0,0.0,,,3,0,0,0
8,02-03-2018_Botnet_8,Botnet,detection,label_binary,2780,7,7,0,1.0,1.0,1.0,1.0,0.0,,,7,0,0,0
9,02-03-2018_Botnet_9,Botnet,detection,label_binary,2782,5,5,0,1.0,1.0,1.0,1.0,0.0,,,5,0,0,0
10,14-02-2018_SSH-Bruteforce_0,SSH-Bruteforce,detection,label_binary,2786,1,1,0,1.0,1.0,1.0,1.0,0.0,,,1,0,0,0
11,14-02-2018_SSH-Bruteforce_1,SSH-Bruteforce,detection,label_binary,2783,4,4,0,1.0,1.0,1.0,1.0,0.0,,,4,0,0,0
12,14-02-2018_SSH-Bruteforce_2,SSH-Bruteforce,detection,label_binary,2777,10,10,0,1.0,1.0,1.0,1.0,0.0,,,10,0,0,0
13,14-02-2018_SSH-Bruteforce_3,SSH-Bruteforce,detection,label_binary,2786,1,1,0,1.0,1.0,1.0,1.0,0.0,,,1,0,0,0
14,14-02-2018_SSH-Bruteforce_4,SSH-Bruteforce,detection,label_binary,2779,8,8,0,1.0,1.0,1.0,1.0,0.0,,,8,0,0,0
15,14-02-2018_SSH-Bruteforce_5,SSH-Bruteforce,detection,label_binary,2775,12,12,0,1.0,1.0,1.0,1.0,0.0,,,12,0,0,0
16,14-02-2018_SSH-Bruteforce_6,SSH-Bruteforce,detection,label_binary,2754,33,33,0,1.0,1.0,1.0,1.0,0.0,,,33,0,0,0
17,14-02-2018_SSH-Bruteforce_7,SSH-Bruteforce,detection,label_binary,2781,6,6,0,1.0,1.0,1.0,1.0,0.0,,,6,0,0,0
18,14-02-2018_SSH-Bruteforce_8,SSH-Bruteforce,detection,label_binary,2780,7,7,0,1.0,1.0,1.0,1.0,0.0,,,7,0,0,0
19,21-02-2018_DDOS-LOIC-UDP_0,DDOS-LOIC-UDP,detection,label_binary,2786,1,1,0,1.0,1.0,1.0,1.0,0.0,,,1,0,0,0
20,21-02-2018_DDOS-LOIC-UDP_1,DDOS-LOIC-UDP,detection,label_binary,2786,1,1,0,1.0,1.0,1.0,1.0,0.0,,,1,0,0,0
21,21-02-2018_DDOS-LOIC-UDP_10,DDOS-LOIC-UDP,detection,label_binary,2786,1,1,0,1.0,1.0,1.0,1.0,0.0,,,1,0,0,0
22,21-02-2018_DDOS-LOIC-UDP_11,DDOS-LOIC-UDP,detection,label_binary,2786,1,1,0,1.0,1.0,1.0,1.0,0.0,,,1,0,0,0
23,21-02-2018_DDOS-LOIC-UDP_12,DDOS-LOIC-UDP,detection,label_binary,2786,1,1,0,1.0,1.0,1.0,1.0,0.0,,,1,0,0,0
24,21-02-2018_DDOS-LOIC-UDP_13,DDOS-LOIC-UDP,detection,label_binary,2786,1,1,0,1.0,1.0,1.0,1.0,0.0,,,1,0,0,0
25,21-02-2018_DDOS-LOIC-UDP_14,DDOS-LOIC-UDP,detection,label_binary,2786,1,1,0,1.0,1.0,1.0,1.0,0.0,,,1,0,0,0
26,21-02-2018_DDOS-LOIC-UDP_15,DDOS-LOIC-UDP,detection,label_binary,2786,1,1,0,1.0,1.0,1.0,1.0,0.0,,,1,0,0,0
27,21-02-2018_DDOS-LOIC-UDP_16,DDOS-LOIC-UDP,detection,label_binary,2786,1,1,0,1.0,1.0,1.0,1.0,0.0,,,1,0,0,0
