fold_id,held_out_episode_id,n_train,n_test
0,02-03-2018_Botnet_0,2687,20
1,02-03-2018_Botnet_1,2692,24
2,02-03-2018_Botnet_2,2673,12
3,02-03-2018_Botnet_3,2672,6
4,02-03-2018_Botnet_4,2668,6
5,02-03-2018_Botnet_5,2650,9
6,02-03-2018_Botnet_6,2645,9
7,02-03-2018_Botnet_7,2641,8
8,02-03-2018_Botnet_8,2633,14
9,02-03-2018_Botnet_9,2637,10
10,14-02-2018_SSH-Bruteforce_0,2704,12
11,14-02-2018_SSH-Bruteforce_1,2700,9
12,14-02-2018_SSH-Bruteforce_2,2684,20
13,14-02-2018_SSH-Bruteforce_3,2687,6
14,14-02-2018_SSH-Bruteforce_4,2675,16
15,14-02-2018_SSH-Bruteforce_5,2658,24
16,14-02-2018_SSH-Bruteforce_6,2587,66
17,14-02-2018_SSH-Bruteforce_7,2696,12
18,14-02-2018_SSH-Bruteforce_8,2702,14
19,21-02-2018_DDOS-LOIC-UDP_0,2705,12
20,21-02-2018_DDOS-LOIC-UDP_1,2706,6
21,21-02-2018_DDOS-LOIC-UDP_10,2706,6
22,21-02-2018_DDOS-LOIC-UDP_11,2706,6
23,21-02-2018_DDOS-LOIC-UDP_12,2706,6
24,21-02-2018_DDOS-LOIC-UDP_13,2706,6
25,21-02-2018_DDOS-LOIC-UDP_14,2706,6
26,21-02-2018_DDOS-LOIC-UDP_15,2706,6
27,21-02-2018_DDOS-LOIC-UDP_16,2706,6
28,21-02-2018_DDOS-LOIC-UDP_17,2706,6
29,21-02-2018_DDOS-LOIC-UDP_2,2706,6
30,21-02-2018_DDOS-LOIC-UDP_3,2706,7
31,21-02-2018_DDOS-LOIC-UDP_4,2706,6
32,21-02-2018_DDOS-LOIC-UDP_5,2706,6
33,21-02-2018_DDOS-LOIC-UDP_6,2706,6
34,21-02-2018_DDOS-LOIC-UDP_7,2706,6
35,21-02-2018_DDOS-LOIC-UDP_8,2706,6
36,21-02-2018_DDOS-LOIC-UDP_9,2706,6
