episode_id,fold_id,horizon_K,lstm_mae_all,pers_mae_all,lstm_mae_pc2,pers_mae_pc2
02-03-2018_Botnet_0,0,1,68.39273,1.2302879,14.051476,0.022022247
02-03-2018_Botnet_0,0,2,68.12035,1.6017985,14.144671,0.03757
02-03-2018_Botnet_0,0,5,67.339966,2.2799625,14.228599,0.046925545
02-03-2018_Botnet_1,1,1,67.23944,0.4049415,13.69338,0.0253191
02-03-2018_Botnet_1,1,2,67.35787,0.82280415,14.049473,0.12840748
02-03-2018_Botnet_1,1,5,67.454704,1.9736147,14.065548,0.07762623
14-02-2018_SSH-Bruteforce_2,12,1,71.62408,7.6913843,13.826116,0.8434696
14-02-2018_SSH-Bruteforce_2,12,2,71.666534,7.8779974,14.092093,0.97004604
14-02-2018_SSH-Bruteforce_2,12,5,71.82488,7.9107113,14.103439,0.9762249
14-02-2018_SSH-Bruteforce_5,15,1,72.47887,0.69290704,14.344984,0.04053402
14-02-2018_SSH-Bruteforce_5,15,2,72.69138,0.8261576,14.309233,0.03174019
14-02-2018_SSH-Bruteforce_5,15,5,72.573784,0.8423712,14.355277,0.058428764
14-02-2018_SSH-Bruteforce_6,16,1,74.44578,1.0751129,13.386132,0.6669817
14-02-2018_SSH-Bruteforce_6,16,2,74.73357,1.308345,14.282006,0.07489109
14-02-2018_SSH-Bruteforce_6,16,5,74.61527,0.73891044,14.158604,0.29354858
