horizon,fold_id,f1,precision,recall,fpr,roc_auc,pr_auc,tp,fp,tn,fn
5,0,0.0,0.0,0.0,0.0,0.009999999999999998,0.332137687733663,0,0,10,10
5,1,0.0,0.0,0.0,0.0,0.8194444444444445,0.8586898997115715,0,0,12,12
5,2,0.0,0.0,0.0,0.0,0.2777777777777778,0.5194083694083694,0,0,6,6
5,3,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0,0,5,1
5,4,0.0,0.0,0.0,0.0,1.0,1.0,0,0,5,1
5,5,0.0,0.0,0.0,0.0,0.0,0.3179563492063492,0,0,5,4
5,6,0.0,0.0,0.0,0.0,0.15,0.3506944444444444,0,0,5,4
5,7,0.0,0.0,0.0,0.0,0.39999999999999997,0.3873015873015873,0,0,5,3
5,8,0.0,0.0,0.0,0.8571428571428571,0.0,0.3412948162948163,0,6,1,7
5,9,0.0,0.0,0.0,0.2,0.15999999999999998,0.3923809523809524,0,1,4,5
5,10,0.0,0.0,0.0,0.0,0.7777777777777778,0.7996031746031745,0,0,6,6
5,11,0.0,0.0,0.0,0.0,0.0,0.3179563492063492,0,0,5,4
5,12,0.0,0.0,0.0,0.0,0.86,0.8976190476190475,0,0,10,10
5,13,0.0,0.0,0.0,0.0,1.0,1.0,0,0,5,1
5,14,0.0,0.0,0.0,0.0,1.0,1.0,0,0,8,8
5,15,0.0,0.0,0.0,0.0,0.9444444444444444,0.9336610149110148,0,0,12,12
5,16,0.0,0.0,0.0,0.0,0.8650137741046832,0.8575251039512997,0,0,33,33
5,17,0.0,0.0,0.0,0.0,0.36111111111111116,0.4629629629629629,0,0,6,6
5,18,0.0,0.0,0.0,0.0,0.8367346938775511,0.7407029478458049,0,0,7,7
5,19,0.0,0.0,0.0,0.0,0.16666666666666666,0.4122655122655122,0,0,6,6
5,20,0.0,0.0,0.0,0.4,0.6,0.3333333333333333,0,2,3,1
5,21,0.0,0.0,0.0,0.0,0.6,0.3333333333333333,0,0,5,1
5,22,1.0,1.0,1.0,0.0,1.0,1.0,1,0,5,0
5,23,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0,0,5,1
5,24,0.4,0.25,1.0,0.6,1.0,1.0,1,3,2,0
5,25,0.0,0.0,0.0,0.0,1.0,1.0,0,0,5,1
5,26,0.0,0.0,0.0,0.0,1.0,1.0,0,0,5,1
5,27,0.0,0.0,0.0,0.0,1.0,1.0,0,0,5,1
5,28,0.0,0.0,0.0,0.16666666666666666,,,0,1,5,0
5,29,0.0,0.0,0.0,1.0,0.0,0.16666666666666666,0,5,0,1
5,30,0.6666666666666666,0.5,1.0,0.4,1.0,1.0,2,2,3,0
5,31,0.0,0.0,0.0,0.4,0.0,0.16666666666666666,0,2,3,1
5,32,0.5,0.3333333333333333,1.0,0.4,1.0,1.0,1,2,3,0
5,33,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0,0,5,1
5,34,0.0,0.0,0.0,0.6,0.0,0.16666666666666666,0,3,2,1
5,35,1.0,1.0,1.0,0.0,1.0,1.0,1,0,5,0
5,36,0.0,0.0,0.0,1.0,0.0,0.16666666666666666,0,5,0,1
