horizon,fold_id,f1,precision,recall,fpr,roc_auc,pr_auc,tp,fp,tn,fn
1,0,0.0,0.0,0.0,0.0,0.74,0.6491558441558443,0,0,10,10
1,1,0.0,0.0,0.0,0.0,0.4513888888888889,0.4746589746396248,0,0,12,12
1,2,0.0,0.0,0.0,0.0,0.5,0.5833333333333334,0,0,10,2
1,3,0.0,0.0,0.0,0.0,1.0,1.0,0,0,5,1
1,4,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0,0,5,1
1,5,0.0,0.0,0.0,0.0,1.0,1.0,0,0,5,4
1,6,0.0,0.0,0.0,0.0,0.2,0.36736111111111114,0,0,5,4
1,7,0.0,0.0,0.0,0.0,0.7333333333333333,0.5888888888888888,0,0,5,3
1,8,0.0,0.0,0.0,0.0,0.836734693877551,0.8676870748299319,0,0,7,7
1,9,0.0,0.0,0.0,0.0,1.0,1.0,0,0,5,5
1,10,0.0,0.0,0.0,0.0,0.5,0.16666666666666666,0,0,10,2
1,11,0.0,0.0,0.0,0.0,0.04999999999999999,0.32628968253968255,0,0,5,4
1,12,0.0,0.0,0.0,0.0,1.0,0.9999999999999999,0,0,10,10
1,13,0.0,0.0,0.0,0.0,0.19999999999999996,0.2,0,0,5,1
1,14,0.0,0.0,0.0,0.0,1.0,1.0,0,0,8,8
1,15,0.0,0.0,0.0,0.0,0.9930555555555555,0.9935897435897435,0,0,12,12
1,16,0.0,0.0,0.0,0.0,0.24885215794306703,0.3680849099138747,0,0,33,33
1,17,0.0,0.0,0.0,0.0,0.9722222222222223,0.976190476190476,0,0,6,6
1,18,0.0,0.0,0.0,0.0,0.020408163265306128,0.3438458367029796,0,0,7,7
1,19,0.0,0.0,0.0,0.0,0.55,0.5909090909090909,0,0,10,2
1,20,0.0,0.0,0.0,1.0,0.0,0.16666666666666666,0,5,0,1
1,21,1.0,1.0,1.0,0.0,1.0,1.0,1,0,5,0
1,22,0.0,0.0,0.0,0.0,1.0,1.0,0,0,5,1
1,23,1.0,1.0,1.0,0.0,1.0,1.0,1,0,5,0
1,24,0.2857142857142857,0.16666666666666666,1.0,1.0,0.0,0.16666666666666666,1,5,0,0
1,25,0.0,0.0,0.0,0.6,0.19999999999999996,0.2,0,3,2,1
1,26,1.0,1.0,1.0,0.0,1.0,1.0,1,0,5,0
1,27,0.0,0.0,0.0,0.0,1.0,1.0,0,0,5,1
1,28,0.0,0.0,0.0,0.16666666666666666,,,0,1,5,0
1,29,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0,0,5,1
1,30,0.0,0.0,0.0,0.6,0.0,0.22619047619047616,0,3,2,2
1,31,0.0,0.0,0.0,1.0,0.0,0.16666666666666666,0,5,0,1
1,32,1.0,1.0,1.0,0.0,1.0,1.0,1,0,5,0
1,33,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0,0,5,1
1,34,1.0,1.0,1.0,0.0,1.0,1.0,1,0,5,0
1,35,0.0,0.0,0.0,1.0,0.0,0.16666666666666666,0,5,0,1
1,36,0.0,0.0,0.0,0.0,1.0,1.0,0,0,5,1
2,0,0.0,0.0,0.0,0.0,1.0,0.9999999999999999,0,0,10,10
