horizon,fold_id,f1,precision,recall,fpr,roc_auc,pr_auc,tp,fp,tn,fn
2,0,0.0,0.0,0.0,0.0,0.745,0.6805555555555556,0,0,10,10
2,1,0.0,0.0,0.0,0.0,0.8426573426573426,0.7381331087213441,0,0,13,11
2,2,0.0,0.0,0.0,0.0,0.8888888888888888,0.7555555555555555,0,0,9,3
2,3,0.0,0.0,0.0,0.0,1.0,1.0,0,0,5,1
2,4,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0,0,5,1
2,5,0.0,0.0,0.0,0.0,0.3,0.4015873015873016,0,0,5,4
2,6,0.0,0.0,0.0,0.0,0.0,0.3179563492063492,0,0,5,4
2,7,0.0,0.0,0.0,0.0,1.0,1.0,0,0,5,3
2,8,0.0,0.0,0.0,0.0,0.40816326530612246,0.4861943611943611,0,0,7,7
2,9,0.0,0.0,0.0,0.0,0.0,0.3543650793650793,0,0,5,5
2,10,0.0,0.0,0.0,0.0,0.5925925925925926,0.5833333333333333,0,0,9,3
2,11,1.0,1.0,1.0,0.0,1.0,1.0,4,0,5,0
2,12,1.0,1.0,1.0,0.0,1.0,0.9999999999999999,10,0,10,0
2,13,0.0,0.0,0.0,0.0,1.0,1.0,0,0,5,1
2,14,1.0,1.0,1.0,0.0,1.0,1.0,8,0,8,0
2,15,1.0,1.0,1.0,0.0,1.0,1.0,12,0,12,0
2,16,1.0,1.0,1.0,0.0,1.0,1.0,33,0,33,0
2,17,1.0,1.0,1.0,0.0,1.0,1.0,6,0,6,0
2,18,0.9230769230769231,0.8571428571428571,1.0,0.125,0.9479166666666666,0.8809523809523809,6,1,7,0
2,19,0.5,1.0,0.3333333333333333,0.0,0.6296296296296295,0.6388888888888888,1,0,9,2
2,20,1.0,1.0,1.0,0.0,1.0,1.0,1,0,5,0
2,21,0.0,0.0,0.0,0.0,1.0,1.0,0,0,5,1
2,22,0.0,0.0,0.0,0.0,1.0,1.0,0,0,5,1
2,23,0.0,0.0,0.0,0.0,1.0,1.0,0,0,5,1
2,24,0.0,0.0,0.0,0.0,1.0,1.0,0,0,5,1
2,25,0.0,0.0,0.0,0.0,1.0,1.0,0,0,5,1
2,26,0.0,0.0,0.0,0.0,1.0,1.0,0,0,5,1
2,27,0.0,0.0,0.0,0.0,1.0,1.0,0,0,5,1
2,28,0.0,0.0,0.0,0.0,,,0,0,6,0
2,29,1.0,1.0,1.0,0.0,1.0,1.0,1,0,5,0
2,30,1.0,1.0,1.0,0.0,1.0,1.0,2,0,5,0
2,31,1.0,1.0,1.0,0.0,1.0,1.0,1,0,5,0
2,32,0.0,0.0,0.0,0.0,1.0,1.0,0,0,5,1
2,33,0.0,0.0,0.0,0.0,1.0,1.0,0,0,5,1
2,34,0.0,0.0,0.0,0.0,1.0,1.0,0,0,5,1
2,35,0.0,0.0,0.0,0.0,1.0,1.0,0,0,5,1
2,36,1.0,1.0,1.0,0.0,1.0,1.0,1,0,5,0
