horizon,fold_id,f1,precision,recall,fpr,roc_auc,pr_auc,tp,fp,tn,fn
1,0,0.0,0.0,0.0,0.0,0.9700000000000001,0.9733333333333333,0,0,10,10
1,1,0.0,0.0,0.0,0.0,0.9791666666666666,0.9833333333333333,0,0,12,12
1,2,0.0,0.0,0.0,0.0,0.2,0.1534090909090909,0,0,10,2
1,3,0.0,0.0,0.0,0.0,1.0,1.0,0,0,5,1
1,4,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0,0,5,1
1,5,0.0,0.0,0.0,0.0,1.0,1.0,0,0,5,4
1,6,0.0,0.0,0.0,0.0,0.0,0.3179563492063492,0,0,5,4
1,7,0.0,0.0,0.0,0.0,0.6666666666666666,0.5333333333333333,0,0,5,3
1,8,0.0,0.0,0.0,0.0,0.6938775510204082,0.723299319727891,0,0,7,7
1,9,0.0,0.0,0.0,0.0,0.8,0.7861904761904761,0,0,5,5
1,10,0.6666666666666666,1.0,0.5,0.0,0.8,0.6111111111111112,1,0,10,1
1,11,0.0,0.0,0.0,0.0,1.0,1.0,0,0,5,4
1,12,0.0,0.0,0.0,0.0,1.0,0.9999999999999999,0,0,10,10
1,13,1.0,1.0,1.0,0.0,1.0,1.0,1,0,5,0
1,14,0.0,0.0,0.0,0.0,1.0,1.0,0,0,8,8
1,15,0.0,0.0,0.0,0.0,1.0,1.0,0,0,12,12
1,16,0.0,0.0,0.0,0.0,1.0,1.0,0,0,33,33
1,17,0.0,0.0,0.0,0.0,1.0,1.0,0,0,6,6
1,18,1.0,1.0,1.0,0.0,1.0,1.0,7,0,7,0
1,19,0.6666666666666666,1.0,0.5,0.0,0.8,0.6666666666666666,1,0,10,1
1,20,1.0,1.0,1.0,0.0,1.0,1.0,1,0,5,0
1,21,0.0,0.0,0.0,0.0,1.0,1.0,0,0,5,1
1,22,1.0,1.0,1.0,0.0,1.0,1.0,1,0,5,0
1,23,0.0,0.0,0.0,0.0,1.0,1.0,0,0,5,1
1,24,1.0,1.0,1.0,0.0,1.0,1.0,1,0,5,0
1,25,0.0,0.0,0.0,0.0,1.0,1.0,0,0,5,1
1,26,1.0,1.0,1.0,0.0,1.0,1.0,1,0,5,0
1,27,0.0,0.0,0.0,0.0,1.0,1.0,0,0,5,1
1,28,0.0,0.0,0.0,0.0,,,0,0,6,0
1,29,0.0,0.0,0.0,0.0,1.0,1.0,0,0,5,1
1,30,1.0,1.0,1.0,0.0,1.0,1.0,2,0,5,0
1,31,0.0,0.0,0.0,0.0,1.0,1.0,0,0,5,1
1,32,0.0,0.0,0.0,0.0,1.0,1.0,0,0,5,1
1,33,0.0,0.0,0.0,0.0,1.0,1.0,0,0,5,1
1,34,1.0,1.0,1.0,0.0,1.0,1.0,1,0,5,0
1,35,1.0,1.0,1.0,0.0,1.0,1.0,1,0,5,0
1,36,0.0,0.0,0.0,0.0,1.0,1.0,0,0,5,1
2,0,0.0,0.0,0.0,0.0,0.68,0.7518939393939393,0,0,10,10
2,1,0.0,0.0,0.0,0.0,0.006993006993006989,0.300205515597132,0,0,13,11
2,2,0.0,0.0,0.0,0.0,0.40740740740740744,0.33164983164983164,0,0,9,3
2,3,0.0,0.0,0.0,0.0,1.0,1.0,0,0,5,1
2,4,0.0,0.0,0.0,0.0,0.5,0.16666666666666666,0,0,5,1
2,5,0.0,0.0,0.0,0.0,1.0,1.0,0,0,5,4
2,6,0.0,0.0,0.0,0.2,0.0,0.3179563492063492,0,1,4,4
2,7,0.0,0.0,0.0,0.0,0.8666666666666667,0.8055555555555556,0,0,5,3
2,8,0.0,0.0,0.0,0.0,1.0,0.9999999999999998,0,0,7,7
2,9,0.0,0.0,0.0,0.0,0.8,0.7861904761904761,0,0,5,5
2,10,0.5,1.0,0.3333333333333333,0.0,0.49999999999999994,0.5119047619047619,1,0,9,2
2,11,0.0,0.0,0.0,0.0,1.0,1.0,0,0,5,4
2,12,0.3333333333333333,1.0,0.2,0.0,1.0,0.9999999999999999,2,0,10,8
2,13,1.0,1.0,1.0,0.0,1.0,1.0,1,0,5,0
2,14,0.0,0.0,0.0,0.0,1.0,1.0,0,0,8,8
2,15,0.0,0.0,0.0,0.0,1.0,1.0,0,0,12,12
2,16,0.0,0.0,0.0,0.0,1.0,1.0,0,0,33,33
2,17,1.0,1.0,1.0,0.0,1.0,1.0,6,0,6,0
2,18,0.9230769230769231,0.8571428571428571,1.0,0.125,0.9583333333333334,0.9484126984126984,6,1,7,0
2,19,0.0,0.0,0.0,0.0,0.7407407407407407,0.625,0,0,9,3
2,20,1.0,1.0,1.0,0.0,1.0,1.0,1,0,5,0
2,21,0.0,0.0,0.0,0.0,1.0,1.0,0,0,5,1
2,22,0.0,0.0,0.0,0.0,1.0,1.0,0,0,5,1
2,23,1.0,1.0,1.0,0.0,1.0,1.0,1,0,5,0
2,24,1.0,1.0,1.0,0.0,1.0,1.0,1,0,5,0
2,25,1.0,1.0,1.0,0.0,1.0,1.0,1,0,5,0
2,26,0.0,0.0,0.0,0.0,1.0,1.0,0,0,5,1
2,27,0.0,0.0,0.0,0.0,1.0,1.0,0,0,5,1
2,28,0.0,0.0,0.0,0.0,,,0,0,6,0
2,29,1.0,1.0,1.0,0.0,1.0,1.0,1,0,5,0
2,30,0.0,0.0,0.0,0.0,1.0,1.0,0,0,5,2
2,31,1.0,1.0,1.0,0.0,1.0,1.0,1,0,5,0
2,32,1.0,1.0,1.0,0.0,1.0,1.0,1,0,5,0
2,33,0.0,0.0,0.0,0.0,1.0,1.0,0,0,5,1
2,34,0.0,0.0,0.0,0.0,1.0,1.0,0,0,5,1
2,35,1.0,1.0,1.0,0.0,1.0,1.0,1,0,5,0
2,36,0.0,0.0,0.0,0.0,1.0,1.0,0,0,5,1
5,0,0.0,0.0,0.0,0.0,0.05,0.36382266941864466,0,0,10,10
5,1,0.0,0.0,0.0,0.0,0.25,0.5,0,0,12,12
5,2,0.0,0.0,0.0,0.0,0.20833333333333331,0.4202020202020202,0,0,6,6
5,3,0.0,0.0,0.0,0.0,0.19999999999999996,0.2,0,0,5,1
5,4,0.0,0.0,0.0,0.0,0.8,0.5,0,0,5,1
5,5,0.0,0.0,0.0,0.0,0.0,0.3179563492063492,0,0,5,4
5,6,0.0,0.0,0.0,0.0,0.14999999999999997,0.35158730158730156,0,0,5,4
5,7,0.0,0.0,0.0,0.0,0.7333333333333333,0.5888888888888888,0,0,5,3
5,8,0.0,0.0,0.0,0.0,0.0,0.3412948162948163,0,0,7,7
5,9,0.0,0.0,0.0,0.0,0.43999999999999995,0.49777777777777776,0,0,5,5
5,10,0.2857142857142857,1.0,0.16666666666666666,0.0,0.4722222222222222,0.5806878306878307,1,0,6,5
5,11,0.0,0.0,0.0,0.0,1.0,1.0,0,0,5,4
5,12,0.0,0.0,0.0,0.0,1.0,0.9999999999999999,0,0,10,10
5,13,0.0,0.0,0.0,0.0,1.0,1.0,0,0,5,1
5,14,0.0,0.0,0.0,0.0,1.0,1.0,0,0,8,8
5,15,1.0,1.0,1.0,0.0,1.0,1.0,12,0,12,0
5,16,0.0,0.0,0.0,0.0,1.0,1.0,0,0,33,33
5,17,0.0,0.0,0.0,0.0,1.0,1.0,0,0,6,6
5,18,0.0,0.0,0.0,0.0,0.0,0.3412948162948163,0,0,7,7
5,19,0.0,0.0,0.0,0.0,0.888888888888889,0.9333333333333333,0,0,6,6
5,20,0.0,0.0,0.0,0.0,1.0,1.0,0,0,5,1
5,21,0.0,0.0,0.0,0.0,1.0,1.0,0,0,5,1
5,22,1.0,1.0,1.0,0.0,1.0,1.0,1,0,5,0
5,23,1.0,1.0,1.0,0.0,1.0,1.0,1,0,5,0
5,24,0.0,0.0,0.0,0.0,0.6,0.3333333333333333,0,0,5,1
5,25,1.0,1.0,1.0,0.0,1.0,1.0,1,0,5,0
5,26,0.0,0.0,0.0,0.0,1.0,1.0,0,0,5,1
5,27,1.0,1.0,1.0,0.0,1.0,1.0,1,0,5,0
5,28,0.0,0.0,0.0,0.16666666666666666,,,0,1,5,0
5,29,0.0,0.0,0.0,0.0,1.0,1.0,0,0,5,1
5,30,1.0,1.0,1.0,0.0,1.0,1.0,2,0,5,0
5,31,1.0,1.0,1.0,0.0,1.0,1.0,1,0,5,0
5,32,1.0,1.0,1.0,0.0,1.0,1.0,1,0,5,0
5,33,0.0,0.0,0.0,0.0,1.0,1.0,0,0,5,1
5,34,1.0,1.0,1.0,0.0,1.0,1.0,1,0,5,0
5,35,1.0,1.0,1.0,0.0,1.0,1.0,1,0,5,0
5,36,0.0,0.0,0.0,0.0,1.0,1.0,0,0,5,1
