attack_group,horizon,fold_count,threshold,f1_mean,precision_mean,recall_mean,fpr_mean,roc_auc_mean,pr_auc_mean,total_tp,total_fp,total_fn,total_tn
SSH-Bruteforce,1,9,0.02,0.5763125763125764,0.41975308641975306,1.0,1.0,0.9777777777777779,0.95679012345679,83,96,0,0
SSH-Bruteforce,1,9,0.05,0.5763125763125764,0.41975308641975306,1.0,1.0,0.9777777777777779,0.95679012345679,83,96,0,0
SSH-Bruteforce,1,9,0.08,0.5763125763125764,0.41975308641975306,1.0,1.0,0.9777777777777779,0.95679012345679,83,96,0,0
SSH-Bruteforce,1,9,0.1,0.5763125763125764,0.41975308641975306,1.0,1.0,0.9777777777777779,0.95679012345679,83,96,0,0
SSH-Bruteforce,1,9,0.12,0.5763125763125764,0.41975308641975306,1.0,1.0,0.9777777777777779,0.95679012345679,83,96,0,0
SSH-Bruteforce,1,9,0.15,0.5763125763125764,0.41975308641975306,1.0,1.0,0.9777777777777779,0.95679012345679,83,96,0,0
SSH-Bruteforce,1,9,0.18,0.5763125763125764,0.41975308641975306,1.0,1.0,0.9777777777777779,0.95679012345679,83,96,0,0
SSH-Bruteforce,1,9,0.2,0.5763125763125764,0.41975308641975306,1.0,1.0,0.9777777777777779,0.95679012345679,83,96,0,0
SSH-Bruteforce,1,9,0.22,0.5763125763125764,0.41975308641975306,1.0,1.0,0.9777777777777779,0.95679012345679,83,96,0,0
SSH-Bruteforce,1,9,0.25,0.5763125763125764,0.41975308641975306,1.0,1.0,0.9777777777777779,0.95679012345679,83,96,0,0
SSH-Bruteforce,1,9,0.28,0.5763125763125764,0.41975308641975306,1.0,1.0,0.9777777777777779,0.95679012345679,83,96,0,0
SSH-Bruteforce,1,9,0.3,0.6133496133496134,0.47530864197530864,1.0,0.8888888888888888,0.9777777777777779,0.95679012345679,83,86,0,10
SSH-Bruteforce,1,9,0.35,0.7301587301587301,0.6481481481481483,1.0,0.5555555555555556,0.9777777777777779,0.95679012345679,83,63,0,33
SSH-Bruteforce,1,9,0.4,0.7671957671957671,0.7037037037037037,1.0,0.4444444444444444,0.9777777777777779,0.95679012345679,83,55,0,41
SSH-Bruteforce,1,9,0.45,0.5454336323901541,0.5740740740740741,0.6018518518518517,0.1111111111111111,0.9777777777777779,0.95679012345679,61,5,22,91
SSH-Bruteforce,1,9,0.5,0.2962962962962963,0.3333333333333333,0.2777777777777778,0.0,0.9777777777777779,0.95679012345679,9,0,74,96
SSH-Bruteforce,1,9,0.55,0.0,0.0,0.0,0.0,0.9777777777777779,0.95679012345679,0,0,83,96
SSH-Bruteforce,1,9,0.6,0.0,0.0,0.0,0.0,0.9777777777777779,0.95679012345679,0,0,83,96
SSH-Bruteforce,1,9,0.65,0.0,0.0,0.0,0.0,0.9777777777777779,0.95679012345679,0,0,83,96
SSH-Bruteforce,1,9,0.7,0.0,0.0,0.0,0.0,0.9777777777777779,0.95679012345679,0,0,83,96
SSH-Bruteforce,1,9,0.75,0.0,0.0,0.0,0.0,0.9777777777777779,0.95679012345679,0,0,83,96
SSH-Bruteforce,1,9,0.8,0.0,0.0,0.0,0.0,0.9777777777777779,0.95679012345679,0,0,83,96
SSH-Bruteforce,1,9,0.85,0.0,0.0,0.0,0.0,0.9777777777777779,0.95679012345679,0,0,83,96
SSH-Bruteforce,1,9,0.9,0.0,0.0,0.0,0.0,0.9777777777777779,0.95679012345679,0,0,83,96
SSH-Bruteforce,2,9,0.02,0.5816035816035815,0.4210758377425044,1.0,1.0,0.9398148148148149,0.9400352733686067,83,96,0,0
SSH-Bruteforce,2,9,0.05,0.5816035816035815,0.4210758377425044,1.0,1.0,0.9398148148148149,0.9400352733686067,83,96,0,0
SSH-Bruteforce,2,9,0.08,0.5816035816035815,0.4210758377425044,1.0,1.0,0.9398148148148149,0.9400352733686067,83,96,0,0
SSH-Bruteforce,2,9,0.1,0.5816035816035815,0.4210758377425044,1.0,1.0,0.9398148148148149,0.9400352733686067,83,96,0,0
