horizon,fold_id,train_loss,val_loss,f1,precision,recall,fpr,roc_auc,pr_auc,tp,fp,tn,fn
1,0,0.1297588181945513,0.7056723828652535,0.0,0.0,0.0,0.0,1.0,0.9999999999999999,0,0,10,10
1,1,0.1064904956304926,0.8945938952557453,0.0,0.0,0.0,0.0,1.0,1.0,0,0,12,12
1,2,0.09025278699488479,0.7394669668696751,0.0,0.0,0.0,0.0,0.55,0.5909090909090909,0,0,10,2
1,3,0.11929216033706629,0.6799556161755713,0.0,0.0,0.0,0.0,1.0,1.0,0,0,5,1
1,4,0.11244457001817765,0.7449937670418386,0.0,0.0,0.0,0.0,1.0,1.0,0,0,5,1
1,5,0.12193121863346473,0.654984068420698,0.0,0.0,0.0,0.0,1.0,1.0,0,0,5,4
1,6,0.12472807297551809,0.7145712463526734,0.0,0.0,0.0,0.0,1.0,1.0,0,0,5,4
1,7,0.11487086544343617,0.7269216444632056,0.0,0.0,0.0,0.0,1.0,1.0,0,0,5,3
1,8,0.12704771495978878,0.7524391593697853,0.0,0.0,0.0,0.0,1.0,0.9999999999999998,0,0,7,7
1,9,0.0936078389103596,0.6692366274920377,0.5714285714285714,1.0,0.4,0.0,1.0,1.0,2,0,5,3
1,10,0.12432910216143234,0.7833166741619709,0.0,0.0,0.0,0.0,0.55,0.5909090909090909,0,0,10,2
1,11,0.12052793756349763,1.001960775587294,1.0,1.0,1.0,0.0,1.0,1.0,4,0,5,0
1,12,0.1271682669328393,0.8956981983930705,1.0,1.0,1.0,0.0,1.0,0.9999999999999999,10,0,10,0
1,13,0.14007632588758973,0.794224644239064,1.0,1.0,1.0,0.0,1.0,1.0,1,0,5,0
1,14,0.14584268043872947,0.869927832122161,1.0,1.0,1.0,0.0,1.0,1.0,8,0,8,0
1,15,0.1182868451682475,0.974713963673527,1.0,1.0,1.0,0.0,1.0,1.0,12,0,12,0
1,16,0.14413524732873637,0.9511767538357886,1.0,1.0,1.0,0.0,1.0,1.0,33,0,33,0
1,17,0.11454127539084111,0.7473267511085228,1.0,1.0,1.0,0.0,1.0,1.0,6,0,6,0
1,18,0.12095699871682315,0.8275431105918672,0.875,0.7777777777777778,1.0,0.2857142857142857,1.0,0.9999999999999998,7,2,5,0
1,19,0.11472572222247336,0.8465548654580953,0.0,0.0,0.0,0.0,0.85,0.7,0,0,10,2
1,20,0.13040658896505414,0.8294076558848589,1.0,1.0,1.0,0.0,1.0,1.0,1,0,5,0
