fold_id,attack_type,episode_id,n_pos,n_neg,total,roc_auc,flag_small_inflated
0,unknown,02-03-2018_Botnet_0,10,10,20,0.96,False
1,unknown,02-03-2018_Botnet_1,12,12,24,0.8402777777777777,False
2,unknown,02-03-2018_Botnet_2,6,6,12,0.6111111111111112,False
3,unknown,02-03-2018_Botnet_3,1,5,6,1.0,True
4,unknown,02-03-2018_Botnet_4,1,5,6,0.8,False
5,unknown,02-03-2018_Botnet_5,4,5,9,0.85,False
6,unknown,02-03-2018_Botnet_6,4,5,9,1.0,True
7,unknown,02-03-2018_Botnet_7,3,5,8,0.9333333333333333,False
8,unknown,02-03-2018_Botnet_8,7,7,14,0.8367346938775511,False
9,unknown,02-03-2018_Botnet_9,5,5,10,0.84,False
10,unknown,14-02-2018_SSH-Bruteforce_0,6,6,12,0.33333333333333337,False
11,unknown,14-02-2018_SSH-Bruteforce_1,4,5,9,1.0,True
12,unknown,14-02-2018_SSH-Bruteforce_2,10,10,20,1.0,False
13,unknown,14-02-2018_SSH-Bruteforce_3,1,5,6,1.0,True
14,unknown,14-02-2018_SSH-Bruteforce_4,8,8,16,1.0,False
15,unknown,14-02-2018_SSH-Bruteforce_5,12,12,24,1.0,False
16,unknown,14-02-2018_SSH-Bruteforce_6,33,33,66,0.9393939393939394,False
17,unknown,14-02-2018_SSH-Bruteforce_7,6,6,12,1.0,False
18,unknown,14-02-2018_SSH-Bruteforce_8,7,7,14,0.8571428571428572,False
19,unknown,21-02-2018_DDOS-LOIC-UDP_0,6,6,12,0.8333333333333334,False
20,unknown,21-02-2018_DDOS-LOIC-UDP_1,1,5,6,1.0,True
21,unknown,21-02-2018_DDOS-LOIC-UDP_10,1,5,6,1.0,True
22,unknown,21-02-2018_DDOS-LOIC-UDP_11,1,5,6,1.0,True
23,unknown,21-02-2018_DDOS-LOIC-UDP_12,1,5,6,1.0,True
24,unknown,21-02-2018_DDOS-LOIC-UDP_13,1,5,6,1.0,True
25,unknown,21-02-2018_DDOS-LOIC-UDP_14,1,5,6,1.0,True
26,unknown,21-02-2018_DDOS-LOIC-UDP_15,1,5,6,1.0,True
27,unknown,21-02-2018_DDOS-LOIC-UDP_16,1,5,6,1.0,True
28,unknown,21-02-2018_DDOS-LOIC-UDP_17,0,6,6,,False
29,unknown,21-02-2018_DDOS-LOIC-UDP_2,1,5,6,1.0,True
30,unknown,21-02-2018_DDOS-LOIC-UDP_3,2,5,7,1.0,True
31,unknown,21-02-2018_DDOS-LOIC-UDP_4,1,5,6,1.0,True
32,unknown,21-02-2018_DDOS-LOIC-UDP_5,1,5,6,1.0,True
33,unknown,21-02-2018_DDOS-LOIC-UDP_6,1,5,6,1.0,True
34,unknown,21-02-2018_DDOS-LOIC-UDP_7,1,5,6,1.0,True
35,unknown,21-02-2018_DDOS-LOIC-UDP_8,1,5,6,1.0,True
36,unknown,21-02-2018_DDOS-LOIC-UDP_9,1,5,6,1.0,True
