fold_id,held_out_episode_id,attack_type,target,train_sequences,validation_sequences,test_sequences,f1,pr_auc,precision,recall,fpr,roc_auc,val_ece_raw,val_ece_cal,test_ece_raw,test_ece_cal,temperature,checkpoint_path
0,02-03-2018_Botnet_0,Botnet,label_binary,2120,538,20,0.9523809523809523,0.9999999999999999,0.9090909090909091,1.0,0.1,1.0,0.059547265139875794,0.032654764206879204,0.05756860040128231,0.10040212348103524,1.709056325220376,D:\sih2026\ml1\artifacts\lstm\lstm_stacked\detection\model_fold_0.pt
1,02-03-2018_Botnet_1,Botnet,label_binary,2124,539,24,0.9230769230769231,1.0,0.8571428571428571,1.0,0.16666666666666666,1.0,0.05582189983610541,0.036278173092455505,0.073994064082702,0.11144668081154427,1.6296594605077968,D:\sih2026\ml1\artifacts\lstm\lstm_stacked\detection\model_fold_1.pt
2,02-03-2018_Botnet_2,Botnet,label_binary,2109,535,12,1.0,1.0,1.0,1.0,0.0,1.0,0.1024385659772659,0.20747892942941076,0.02554796574016412,0.3621514067053795,9.999994058230117,D:\sih2026\ml1\artifacts\lstm\lstm_stacked\detection\model_fold_2.pt
3,02-03-2018_Botnet_3,Botnet,label_binary,2108,535,6,1.0,1.0,1.0,1.0,0.0,1.0,0.09339239583394238,0.20840806565552114,0.0081329639069736,0.35365886986255646,9.999994082750865,D:\sih2026\ml1\artifacts\lstm\lstm_stacked\detection\model_fold_3.pt
4,02-03-2018_Botnet_4,Botnet,label_binary,2105,534,6,1.0,1.0,1.0,1.0,0.0,1.0,0.09745231516352307,0.20743691569633702,0.009190812706947327,0.3552170544862747,9.99999412072791,D:\sih2026\ml1\artifacts\lstm\lstm_stacked\detection\model_fold_4.pt
5,02-03-2018_Botnet_5,Botnet,label_binary,2091,530,9,1.0,1.0,1.0,1.0,0.0,1.0,0.19458249751126994,0.05067423739523257,0.008770338777038787,0.1787754694620768,4.179108366535447,D:\sih2026\ml1\artifacts\lstm\lstm_stacked\detection\model_fold_5.pt
6,02-03-2018_Botnet_6,Botnet,label_binary,2087,529,9,1.0,1.0,1.0,1.0,0.0,1.0,0.190572600199054,0.043388732862157046,0.008883295994665887,0.17113235758410558,4.121184259809613,D:\sih2026\ml1\artifacts\lstm\lstm_stacked\detection\model_fold_6.pt
7,02-03-2018_Botnet_7,Botnet,label_binary,2083,529,8,1.0,1.0,1.0,1.0,0.0,1.0,0.1989646782721824,0.04586790847136077,0.010302917333319783,0.1786204380914569,4.005620642606299,D:\sih2026\ml1\artifacts\lstm\lstm_stacked\detection\model_fold_7.pt
8,02-03-2018_Botnet_8,Botnet,label_binary,2077,527,14,1.0,0.9999999999999998,1.0,1.0,0.0,1.0,0.08732699086815401,0.08827206508682393,0.0033557002898305655,0.08704608120024204,2.9782578401130846,D:\sih2026\ml1\artifacts\lstm\lstm_stacked\detection\model_fold_8.pt
9,02-03-2018_Botnet_9,Botnet,label_binary,2080,528,10,1.0,1.0,1.0,1.0,0.0,1.0,0.3055933988794233,0.21680966633456678,0.0030915518291294575,0.3310733795166016,9.999995728390699,D:\sih2026\ml1\artifacts\lstm\lstm_stacked\detection\model_fold_9.pt
