fold_id,held_out_episode_id,attack_type,target,train_sequences,validation_sequences,test_sequences,f1,pr_auc,precision,recall,fpr,roc_auc
0,02-03-2018_Botnet_0,Botnet,label_binary,2120,538,20,0.6666666666666666,0.9999999999999999,0.5,1.0,1.0,1.0
1,02-03-2018_Botnet_1,Botnet,label_binary,2124,539,24,0.8275862068965517,1.0,0.7058823529411765,1.0,0.4166666666666667,1.0
2,02-03-2018_Botnet_2,Botnet,label_binary,2109,535,12,0.15384615384615385,1.0,0.08333333333333333,1.0,1.0,1.0
3,02-03-2018_Botnet_3,Botnet,label_binary,2108,535,6,0.2857142857142857,1.0,0.16666666666666666,1.0,1.0,1.0
4,02-03-2018_Botnet_4,Botnet,label_binary,2105,534,6,0.2857142857142857,1.0,0.16666666666666666,1.0,1.0,1.0
5,02-03-2018_Botnet_5,Botnet,label_binary,2091,530,9,0.6153846153846154,1.0,0.4444444444444444,1.0,1.0,1.0
6,02-03-2018_Botnet_6,Botnet,label_binary,2087,529,9,0.6666666666666666,1.0,0.5,1.0,0.8,1.0
7,02-03-2018_Botnet_7,Botnet,label_binary,2083,529,8,0.5454545454545454,1.0,0.375,1.0,1.0,1.0
8,02-03-2018_Botnet_8,Botnet,label_binary,2077,527,14,0.8235294117647058,0.9999999999999998,0.7,1.0,0.42857142857142855,1.0
9,02-03-2018_Botnet_9,Botnet,label_binary,2080,528,10,0.9090909090909091,1.0,0.8333333333333334,1.0,0.2,1.0
10,14-02-2018_SSH-Bruteforce_0,SSH-Bruteforce,label_binary,2148,541,12,0.6666666666666666,1.0,0.5,1.0,0.09090909090909091,1.0
11,14-02-2018_SSH-Bruteforce_1,SSH-Bruteforce,label_binary,2144,540,9,1.0,1.0,1.0,1.0,0.0,1.0
12,14-02-2018_SSH-Bruteforce_2,SSH-Bruteforce,label_binary,2136,537,20,1.0,0.9999999999999999,1.0,1.0,0.0,1.0
13,14-02-2018_SSH-Bruteforce_3,SSH-Bruteforce,label_binary,2133,538,6,1.0,1.0,1.0,1.0,0.0,1.0
14,14-02-2018_SSH-Bruteforce_4,SSH-Bruteforce,label_binary,2127,535,16,1.0,1.0,1.0,1.0,0.0,1.0
15,14-02-2018_SSH-Bruteforce_5,SSH-Bruteforce,label_binary,2117,532,24,1.0,1.0,1.0,1.0,0.0,1.0
16,14-02-2018_SSH-Bruteforce_6,SSH-Bruteforce,label_binary,2049,518,66,0.9850746268656716,1.0,0.9705882352941176,1.0,0.030303030303030304,1.0
17,14-02-2018_SSH-Bruteforce_7,SSH-Bruteforce,label_binary,2127,540,12,0.9230769230769231,1.0,0.8571428571428571,1.0,0.16666666666666666,1.0
18,14-02-2018_SSH-Bruteforce_8,SSH-Bruteforce,label_binary,2132,541,14,0.7777777777777778,0.9999999999999998,0.6363636363636364,1.0,0.5714285714285714,1.0
19,21-02-2018_DDOS-LOIC-UDP_0,DDOS-LOIC-UDP,label_binary,2135,541,12,0.5,1.0,0.3333333333333333,1.0,0.18181818181818182,1.0
20,21-02-2018_DDOS-LOIC-UDP_1,DDOS-LOIC-UDP,label_binary,2135,542,6,1.0,1.0,1.0,1.0,0.0,1.0
21,21-02-2018_DDOS-LOIC-UDP_10,DDOS-LOIC-UDP,label_binary,2135,542,6,1.0,1.0,1.0,1.0,0.0,1.0
22,21-02-2018_DDOS-LOIC-UDP_11,DDOS-LOIC-UDP,label_binary,2135,542,6,1.0,1.0,1.0,1.0,0.0,1.0
23,21-02-2018_DDOS-LOIC-UDP_12,DDOS-LOIC-UDP,label_binary,2135,542,6,1.0,1.0,1.0,1.0,0.0,1.0
24,21-02-2018_DDOS-LOIC-UDP_13,DDOS-LOIC-UDP,label_binary,2135,542,6,1.0,1.0,1.0,1.0,0.0,1.0
25,21-02-2018_DDOS-LOIC-UDP_14,DDOS-LOIC-UDP,label_binary,2135,542,6,1.0,1.0,1.0,1.0,0.0,1.0
26,21-02-2018_DDOS-LOIC-UDP_15,DDOS-LOIC-UDP,label_binary,2135,542,6,1.0,1.0,1.0,1.0,0.0,1.0
27,21-02-2018_DDOS-LOIC-UDP_16,DDOS-LOIC-UDP,label_binary,2135,542,6,1.0,1.0,1.0,1.0,0.0,1.0
28,21-02-2018_DDOS-LOIC-UDP_17,DDOS-LOIC-UDP,label_binary,2135,542,6,1.0,1.0,1.0,1.0,0.0,1.0
29,21-02-2018_DDOS-LOIC-UDP_2,DDOS-LOIC-UDP,label_binary,2135,542,6,1.0,1.0,1.0,1.0,0.0,1.0
30,21-02-2018_DDOS-LOIC-UDP_3,DDOS-LOIC-UDP,label_binary,2135,542,7,0.6666666666666666,1.0,0.5,1.0,0.4,1.0
31,21-02-2018_DDOS-LOIC-UDP_4,DDOS-LOIC-UDP,label_binary,2135,542,6,1.0,1.0,1.0,1.0,0.0,1.0
32,21-02-2018_DDOS-LOIC-UDP_5,DDOS-LOIC-UDP,label_binary,2135,542,6,1.0,1.0,1.0,1.0,0.0,1.0
33,21-02-2018_DDOS-LOIC-UDP_6,DDOS-LOIC-UDP,label_binary,2135,542,6,1.0,1.0,1.0,1.0,0.0,1.0
34,21-02-2018_DDOS-LOIC-UDP_7,DDOS-LOIC-UDP,label_binary,2135,542,6,1.0,1.0,1.0,1.0,0.0,1.0
35,21-02-2018_DDOS-LOIC-UDP_8,DDOS-LOIC-UDP,label_binary,2135,542,6,1.0,1.0,1.0,1.0,0.0,1.0
36,21-02-2018_DDOS-LOIC-UDP_9,DDOS-LOIC-UDP,label_binary,2135,542,6,1.0,1.0,1.0,1.0,0.0,1.0
