fold_id,held_out_episode_id,attack_type,target,train_sequences,validation_sequences,test_sequences,f1,pr_auc,precision,recall,fpr,roc_auc,val_ece_raw,val_ece_cal,test_ece_raw,test_ece_cal,temperature,checkpoint_path
0,02-03-2018_Botnet_0,Botnet,future_attack_label,2120,538,20,0.9523809523809523,0.9999999999999999,0.9090909090909091,1.0,0.1,1.0,0.057575509042157115,0.0627379272008474,0.08801687937229871,0.15394639819860456,2.0023996639213646,D:\sih2026\ml1\artifacts\lstm\lstm_stacked\onset\model_fold_0.pt
1,02-03-2018_Botnet_1,Botnet,future_attack_label,2124,539,24,0.96,1.0,0.9230769230769231,1.0,0.08333333333333333,1.0,0.049170292872444815,0.05692357734426276,0.08470088429749012,0.14900698699057102,1.8753380285633399,D:\sih2026\ml1\artifacts\lstm\lstm_stacked\onset\model_fold_1.pt
2,02-03-2018_Botnet_2,Botnet,future_attack_label,2109,535,12,0.2857142857142857,0.9242424242424242,1.0,0.16666666666666666,0.0,0.8611111111111112,0.11160297552558864,0.15159821087303002,0.35178232192993164,0.10447100549936295,5.9192268325440285,D:\sih2026\ml1\artifacts\lstm\lstm_stacked\onset\model_fold_2.pt
3,02-03-2018_Botnet_3,Botnet,future_attack_label,2108,535,6,1.0,1.0,1.0,1.0,0.0,1.0,0.1106060627325673,0.15504488867019936,0.018023379767934482,0.29744432618220645,5.954269592053816,D:\sih2026\ml1\artifacts\lstm\lstm_stacked\onset\model_fold_3.pt
4,02-03-2018_Botnet_4,Botnet,future_attack_label,2105,534,6,1.0,1.0,1.0,1.0,0.0,1.0,0.113177561860406,0.15931365306555442,0.019180815046032272,0.3082558164993922,6.060468398004535,D:\sih2026\ml1\artifacts\lstm\lstm_stacked\onset\model_fold_4.pt
5,02-03-2018_Botnet_5,Botnet,future_attack_label,2091,530,9,1.0,1.0,1.0,1.0,0.0,1.0,0.20324040932475398,0.054406909419680544,0.01698477731810676,0.21495473715994096,4.307332130466381,D:\sih2026\ml1\artifacts\lstm\lstm_stacked\onset\model_fold_5.pt
6,02-03-2018_Botnet_6,Botnet,future_attack_label,2087,529,9,1.0,1.0,1.0,1.0,0.0,1.0,0.19433736440590063,0.05901390700011262,0.016754829221301608,0.20080521206061044,4.202056055962648,D:\sih2026\ml1\artifacts\lstm\lstm_stacked\onset\model_fold_6.pt
7,02-03-2018_Botnet_7,Botnet,future_attack_label,2083,529,8,1.0,1.0,1.0,1.0,0.0,1.0,0.18882266712323928,0.04328383795480422,0.021166071761399508,0.2150444369763136,4.11129813984657,D:\sih2026\ml1\artifacts\lstm\lstm_stacked\onset\model_fold_7.pt
8,02-03-2018_Botnet_8,Botnet,future_attack_label,2077,527,14,1.0,0.9999999999999998,1.0,1.0,0.0,1.0,0.08918734542332743,0.09788224277788142,0.006410345435142517,0.05874071988676275,2.118827904454602,D:\sih2026\ml1\artifacts\lstm\lstm_stacked\onset\model_fold_8.pt
9,02-03-2018_Botnet_9,Botnet,future_attack_label,2080,528,10,1.0,1.0,1.0,1.0,0.0,1.0,0.3543046863015854,0.21217805031461243,0.005878617987036705,0.35636720061302185,9.99999565180324,D:\sih2026\ml1\artifacts\lstm\lstm_stacked\onset\model_fold_9.pt
