fold_id,held_out_episode_id,attack_type,target,train_sequences,validation_sequences,test_sequences,f1,pr_auc,precision,recall,fpr,roc_auc
0,02-03-2018_Botnet_0,Botnet,future_attack_label,2135,542,20,0.0,0.9999999999999999,0.0,0.0,0.0,1.0
1,02-03-2018_Botnet_1,Botnet,future_attack_label,2135,542,24,0.0,1.0,0.0,0.0,0.0,1.0
2,02-03-2018_Botnet_2,Botnet,future_attack_label,2135,542,12,0.0,0.9333333333333333,0.0,0.0,0.0,0.888888888888889
3,02-03-2018_Botnet_3,Botnet,future_attack_label,2135,542,6,0.0,1.0,0.0,0.0,0.0,1.0
4,02-03-2018_Botnet_4,Botnet,future_attack_label,2135,542,6,1.0,1.0,1.0,1.0,0.0,1.0
5,02-03-2018_Botnet_5,Botnet,future_attack_label,2135,542,9,0.0,1.0,0.0,0.0,0.0,1.0
6,02-03-2018_Botnet_6,Botnet,future_attack_label,2135,542,9,0.0,1.0,0.0,0.0,0.0,1.0
7,02-03-2018_Botnet_7,Botnet,future_attack_label,2135,542,8,0.5,1.0,1.0,0.3333333333333333,0.0,1.0
8,02-03-2018_Botnet_8,Botnet,future_attack_label,2135,542,14,0.8333333333333334,0.9999999999999998,1.0,0.7142857142857143,0.0,1.0
9,02-03-2018_Botnet_9,Botnet,future_attack_label,2135,542,10,1.0,1.0,1.0,1.0,0.0,1.0
10,14-02-2018_SSH-Bruteforce_0,SSH-Bruteforce,future_attack_label,2135,542,12,0.2857142857142857,0.6194805194805194,1.0,0.16666666666666666,0.0,0.5277777777777777
11,14-02-2018_SSH-Bruteforce_1,SSH-Bruteforce,future_attack_label,2135,542,9,1.0,1.0,1.0,1.0,0.0,1.0
12,14-02-2018_SSH-Bruteforce_2,SSH-Bruteforce,future_attack_label,2135,542,20,1.0,0.9999999999999999,1.0,1.0,0.0,1.0
13,14-02-2018_SSH-Bruteforce_3,SSH-Bruteforce,future_attack_label,2135,542,6,1.0,1.0,1.0,1.0,0.0,1.0
14,14-02-2018_SSH-Bruteforce_4,SSH-Bruteforce,future_attack_label,2135,542,16,1.0,1.0,1.0,1.0,0.0,1.0
15,14-02-2018_SSH-Bruteforce_5,SSH-Bruteforce,future_attack_label,2135,542,24,1.0,1.0,1.0,1.0,0.0,1.0
16,14-02-2018_SSH-Bruteforce_6,SSH-Bruteforce,future_attack_label,2135,542,66,0.9705882352941176,1.0,0.9428571428571428,1.0,0.06060606060606061,1.0
17,14-02-2018_SSH-Bruteforce_7,SSH-Bruteforce,future_attack_label,2135,542,12,0.75,1.0,0.6,1.0,0.6666666666666666,1.0
18,14-02-2018_SSH-Bruteforce_8,SSH-Bruteforce,future_attack_label,2135,542,14,0.7777777777777778,0.9999999999999998,0.6363636363636364,1.0,0.5714285714285714,1.0
19,21-02-2018_DDOS-LOIC-UDP_0,DDOS-LOIC-UDP,future_attack_label,2135,542,12,0.0,0.7999999999999999,0.0,0.0,0.0,0.6666666666666667
20,21-02-2018_DDOS-LOIC-UDP_1,DDOS-LOIC-UDP,future_attack_label,2135,542,6,1.0,1.0,1.0,1.0,0.0,1.0
21,21-02-2018_DDOS-LOIC-UDP_10,DDOS-LOIC-UDP,future_attack_label,2135,542,6,1.0,1.0,1.0,1.0,0.0,1.0
22,21-02-2018_DDOS-LOIC-UDP_11,DDOS-LOIC-UDP,future_attack_label,2135,542,6,1.0,1.0,1.0,1.0,0.0,1.0
23,21-02-2018_DDOS-LOIC-UDP_12,DDOS-LOIC-UDP,future_attack_label,2135,542,6,1.0,1.0,1.0,1.0,0.0,1.0
24,21-02-2018_DDOS-LOIC-UDP_13,DDOS-LOIC-UDP,future_attack_label,2135,542,6,0.3333333333333333,1.0,0.2,1.0,0.8,1.0
25,21-02-2018_DDOS-LOIC-UDP_14,DDOS-LOIC-UDP,future_attack_label,2135,542,6,1.0,1.0,1.0,1.0,0.0,1.0
26,21-02-2018_DDOS-LOIC-UDP_15,DDOS-LOIC-UDP,future_attack_label,2135,542,6,1.0,1.0,1.0,1.0,0.0,1.0
27,21-02-2018_DDOS-LOIC-UDP_16,DDOS-LOIC-UDP,future_attack_label,2135,542,6,1.0,1.0,1.0,1.0,0.0,1.0
28,21-02-2018_DDOS-LOIC-UDP_17,DDOS-LOIC-UDP,future_attack_label,2135,542,6,0.0,,0.0,0.0,0.16666666666666666,
29,21-02-2018_DDOS-LOIC-UDP_2,DDOS-LOIC-UDP,future_attack_label,2135,542,6,1.0,1.0,1.0,1.0,0.0,1.0
30,21-02-2018_DDOS-LOIC-UDP_3,DDOS-LOIC-UDP,future_attack_label,2135,542,7,0.4444444444444444,1.0,0.2857142857142857,1.0,1.0,1.0
