fold_id,split,positive_count,negative_count,sequence_count,positive_prevalence
0,train,583,1183,1766,0.3301245753114383
0,validation,153,199,352,0.4346590909090909
0,test,10,10,20,0.5
1,train,583,1187,1770,0.32937853107344633
1,validation,153,193,346,0.4421965317919075
1,test,12,12,24,0.5
2,train,583,1172,1755,0.3321937321937322
2,validation,87,233,320,0.271875
2,test,1,11,12,0.08333333333333333
3,train,583,1171,1754,0.33238312428734323
3,validation,86,234,320,0.26875
3,test,1,5,6,0.16666666666666666
4,train,583,1168,1751,0.3329525985151342
4,validation,85,234,319,0.2664576802507837
4,test,1,5,6,0.16666666666666666
5,train,583,1154,1737,0.335636154289004
5,validation,81,234,315,0.2571428571428571
5,test,4,5,9,0.4444444444444444
6,train,583,1150,1733,0.3364108482400462
6,validation,80,234,314,0.25477707006369427
6,test,4,5,9,0.4444444444444444
7,train,583,1146,1729,0.33718912666281087
7,validation,80,234,314,0.25477707006369427
7,test,3,5,8,0.375
8,train,583,1146,1729,0.33718912666281087
8,validation,84,232,316,0.26582278481012656
8,test,7,7,14,0.5
9,train,583,1146,1729,0.33718912666281087
9,validation,81,234,315,0.2571428571428571
9,test,5,5,10,0.5
10,train,575,1190,1765,0.32577903682719545
10,validation,179,176,355,0.504225352112676
10,test,1,11,12,0.08333333333333333
11,train,570,1191,1761,0.32367972742759793
11,validation,179,175,354,0.5056497175141242
11,test,4,5,9,0.4444444444444444
12,train,559,1194,1753,0.31888191671420424
12,validation,179,172,351,0.50997150997151
12,test,10,10,20,0.5
13,train,557,1193,1750,0.3182857142857143
13,validation,179,173,352,0.5085227272727273
13,test,1,5,6,0.16666666666666666
14,train,549,1195,1744,0.31479357798165136
14,validation,179,170,349,0.5128939828080229
14,test,8,8,16,0.5
15,train,549,1185,1734,0.3166089965397924
15,validation,179,167,346,0.5173410404624278
15,test,12,12,24,0.5
16,train,549,1117,1666,0.32953181272509
16,validation,179,154,333,0.5375375375375375
16,test,33,33,66,0.5
17,train,591,1153,1744,0.3388761467889908
17,validation,179,175,354,0.5056497175141242
17,test,6,6,12,0.5
18,train,598,1151,1749,0.34190966266437967
18,validation,179,176,355,0.504225352112676
18,test,7,7,14,0.5
19,train,605,1204,1809,0.33443891652846874
19,validation,179,176,355,0.504225352112676
19,test,1,11,12,0.08333333333333333
20,train,605,1203,1808,0.3346238938053097
20,validation,179,177,356,0.5028089887640449
20,test,1,5,6,0.16666666666666666
21,train,605,1203,1808,0.3346238938053097
21,validation,179,177,356,0.5028089887640449
21,test,1,5,6,0.16666666666666666
22,train,605,1203,1808,0.3346238938053097
22,validation,179,177,356,0.5028089887640449
22,test,1,5,6,0.16666666666666666
23,train,605,1203,1808,0.3346238938053097
23,validation,179,177,356,0.5028089887640449
23,test,1,5,6,0.16666666666666666
24,train,605,1203,1808,0.3346238938053097
24,validation,179,177,356,0.5028089887640449
24,test,1,5,6,0.16666666666666666
25,train,605,1203,1808,0.3346238938053097
25,validation,179,177,356,0.5028089887640449
25,test,1,5,6,0.16666666666666666
26,train,605,1203,1808,0.3346238938053097
26,validation,179,177,356,0.5028089887640449
26,test,1,5,6,0.16666666666666666
27,train,605,1203,1808,0.3346238938053097
27,validation,179,177,356,0.5028089887640449
27,test,1,5,6,0.16666666666666666
28,train,605,1203,1808,0.3346238938053097
28,validation,179,177,356,0.5028089887640449
28,test,1,5,6,0.16666666666666666
29,train,605,1203,1808,0.3346238938053097
29,validation,179,177,356,0.5028089887640449
29,test,1,5,6,0.16666666666666666
30,train,605,1203,1808,0.3346238938053097
30,validation,179,177,356,0.5028089887640449
30,test,2,5,7,0.2857142857142857
31,train,605,1203,1808,0.3346238938053097
31,validation,179,177,356,0.5028089887640449
31,test,1,5,6,0.16666666666666666
32,train,605,1203,1808,0.3346238938053097
32,validation,179,177,356,0.5028089887640449
32,test,1,5,6,0.16666666666666666
33,train,605,1203,1808,0.3346238938053097
33,validation,179,177,356,0.5028089887640449
33,test,1,5,6,0.16666666666666666
34,train,605,1203,1808,0.3346238938053097
34,validation,179,177,356,0.5028089887640449
34,test,1,5,6,0.16666666666666666
35,train,605,1203,1808,0.3346238938053097
35,validation,179,177,356,0.5028089887640449
35,test,1,5,6,0.16666666666666666
36,train,605,1203,1808,0.3346238938053097
36,validation,179,177,356,0.5028089887640449
36,test,1,5,6,0.16666666666666666
