fold_id,input_feature_count,pca_component_count,explained_variance_ratio,explained_variance_ratio_sum,cumulative_explained_variance,component_mean,component_std
0,406,32,"[0.9868543499633302, 0.012293166636835969, 0.0003927615507845059, 0.00029931944348366785, 6.695553266231417e-05, 5.4928534167640974e-05, 7.67353005077335e-06, 5.490807440372611e-06, 4.924731535347598e-06, 4.653641286637102e-06, 3.986019062562813e-06, 3.539213306373302e-06, 3.165838401181904e-06, 1.4479050766776364e-06, 9.221940698786267e-07, 3.81065207527117e-07, 3.520405407986028e-07, 2.9463776323828046e-07, 2.80277248379093e-07, 2.137037464300569e-07, 1.8054332410544307e-07, 1.0911691585883368e-07, 1.0150499880275897e-07, 8.449904899408985e-08, 7.478970366330311e-08, 5.382765358884689e-08, 4.570876686464859e-08, 4.178284323615061e-08, 3.643558819908625e-08, 3.1921750967415565e-08, 3.108956600706995e-08, 2.949720051890204e-08]",0.9999996279833613,0.9999996279833613,"[-365.41909683514734, -10.952666587675514, -2.5808921036286727, -1.6917144960063206, -0.27422851990657976, 2.8232021430602514, 1.4785322692564935, -2.256659954105934, 1.28654670554375, 2.1152269905827836, 1.83159485025223, -0.09830512600518374, -1.8947107516439294, 0.08100593006210763, -0.08863477918195486, -0.1431493855204269, 0.06431969301797412, 0.04221382221687505, -0.0008021058194483956, 0.023153244219353154, -0.003502796347552361, -0.28023525845477876, 0.2885154673541014, -0.10056068888007223, 0.10963908593252004, 0.004303379769771605, 0.11024580449096504, 0.07712649207416446, -0.31049934372306914, -0.11918291926078659, 0.41360341436643344, 0.03071895402159656]","[14702.798584594047, 1638.8732402549747, 292.963227291223, 255.76204818969921, 120.94367555160463, 110.35556005526566, 46.180691620401646, 136.93276928114528, 52.064365090933514, 91.06757636959196, 109.63646032296418, 33.20132948352773, 29.223091777947072, 21.42876782293659, 15.233555482370992, 9.30611475919652, 11.090139754361386, 8.749377295758922, 8.085526628326404, 7.043033350294418, 6.6533809431441915, 9.402854699261432, 9.853696052715353, 5.790996726479227, 4.275246693874549, 3.6690008573675437, 5.169653820980118, 10.894784020792557, 16.1997662633215, 6.374094877925896, 5.405656213494651, 4.482993550569347]"
1,406,32,"[0.9868546944750344, 0.01229284002454332, 0.00039275166525069887, 0.00029931178085719636, 6.695366277429117e-05, 5.4928875619763274e-05, 7.673686934532305e-06, 5.490652002320039e-06, 4.924651890491986e-06, 4.653573263228735e-06, 3.985904258587689e-06, 3.5391115663933045e-06, 3.166788616449763e-06, 1.4478657690091083e-06, 9.221790644105119e-07, 3.810562611409441e-07, 3.521740952693075e-07, 2.946526883419386e-07, 2.803130832426254e-07, 2.1370809092949548e-07, 1.8053992103949427e-07, 1.0912889463047715e-07, 1.0156902112592517e-07, 8.449868865375817e-08, 7.479349601641533e-08, 5.38421806762945e-08, 4.572146326365156e-08, 4.178461308195019e-08, 3.643621158502852e-08, 3.193043448940295e-08, 3.115099718127591e-08, 2.9496982306425634e-08]",0.9999996276945681,0.9999996276945681,"[-364.8289586951152, -10.975863625898045, -2.5765187191391012, -1.755293776541072, -0.27076007396067103, 2.821371116663198, 1.4753129527694695, -2.2580672817120644, 1.2773546108222205, 2.124626898390007, 1.8182624177168836, -0.0930511482321639, -1.893239767138462, 0.08705441430183276, -0.09026555606885893, -0.14666401547255983, 0.07444726553222644, 0.04214687755490519, -0.005779348829437884, 0.027342496579778577, -0.003368262509692764, -0.2847227553380337, 0.2815628903519517, -0.10500351381770974, 0.10860749452155447, 0.006046376174980668, 0.11269687800441712, 0.07972934452072798, -0.3149456422335061, -0.123009298541048, 0.4092833936513992, 0.03120868315514371]","[14688.765672343894, 1637.2907272838422, 292.68043159585704, 255.50550287468457, 120.82673561626757, 110.25086589193718, 46.13476997612267, 136.80007337945108, 51.99753802369975, 90.98874149536265, 109.53037037555661, 33.1692911879518, 29.194744665144366, 21.404380126603783, 15.218981575581642, 9.297168192341248, 11.083607244500413, 8.742394535726662, 8.076745902537537, 7.035494080254194, 6.646772270102676, 9.36624407129947, 9.88350344204369, 5.783810008793153, 4.2675206550404665, 3.662942526419083, 5.152754343642749, 10.87473947313376, 16.186585027146247, 6.419946271612364, 5.395892501036616, 4.472512713899121]"
2,406,32,"[0.9868533967091658, 0.01229407174966796, 0.0003927888818531807, 0.00029934055908144064, 6.696073052115385e-05, 5.492711207432603e-05, 7.672856711038987e-06, 5.491236943152038e-06, 4.924943919457292e-06, 4.653944559329606e-06, 3.986328555473075e-06, 3.5394883307870676e-06, 3.163141421099524e-06, 1.4480164608446692e-06, 9.222472149963685e-07, 3.810725517165162e-07, 3.517589388913532e-07, 2.9464061792006933e-07, 2.8019310256296944e-07, 2.1370479591132584e-07, 1.8054682736556395e-07, 1.0894072085456074e-07, 1.013945803555219e-07, 8.443767323127674e-08, 7.473709710978554e-08, 5.370712530234967e-08, 4.555506264210602e-08, 4.17164454257046e-08, 3.6158345392815195e-08, 3.1902070299085394e-08, 3.0995144258809633e-08, 2.9480223144077566e-08]",0.9999996288878024,0.9999996288878024,"[-367.16058997236354, -11.378297064018419, -2.5883028388438016, -1.8754072845143466, -0.3411613175017481, 2.8165332252173543, 1.462478949422806, -2.5241516794849663, 1.1625632357383782, 1.9492517574788244, 1.6865989104272445, -0.07325534905207103, -1.893405659329257, 0.1557899703442263, 0.04510803785332126, -0.0871563480438732, -0.18433258979735107, -0.00626383643153199, 0.0036417607649469196, 0.021316167580953744, 0.0046517217814298585, -0.3409661643240863, 0.35466108222815573, -0.10463616393814991, 0.1491134944245059, -0.053708641869350884, 0.19250991498513045, 0.08874289330877001, -0.2950021603175626, -0.14815033408020567, 0.4277234409237062, 0.126751526751665]","[14742.335769377663, 1643.332046958243, 293.7592697046985, 256.4559312637349, 121.27117610192039, 110.64851957020974, 46.3047357005652, 137.24088578904932, 52.18956393296993, 91.26196268512423, 109.92154885860617, 33.314954980359566, 29.30337454389688, 21.53775380575424, 15.999719230139917, 9.297200196131378, 10.442807901858297, 8.727842193902829, 8.102730395062814, 7.0612095353277935, 6.664313317685, 9.3974945170103, 9.808100874308249, 5.790678139086172, 4.3031761007506315, 3.6612190830778797, 4.932494623267327, 10.848150383339402, 16.477253269501404, 6.346935487128059, 5.311759135855635, 4.319249660245658]"
3,406,32,"[0.9868533093848851, 0.012294154629544472, 0.00039279138156142, 0.0002993425123645404, 6.696120537545443e-05, 5.492699654716272e-05, 7.672786025786702e-06, 5.4912760506782316e-06, 4.924957822524696e-06, 4.653973962162195e-06, 3.986356385319392e-06, 3.5395134112871342e-06, 3.1628815904110665e-06, 1.4480266997571082e-06, 9.222539043331076e-07, 3.8107520442016486e-07, 3.517168842998851e-07, 2.9464276302508627e-07, 2.801875074613667e-07, 2.137061790743885e-07, 1.805478881133139e-07, 1.0893948543505032e-07, 1.0137193779266493e-07, 8.443822280405529e-08, 7.472939959039696e-08, 5.36800491586285e-08, 4.5542305755648375e-08, 4.1715387380106155e-08, 3.6157943510047755e-08, 3.190065051263354e-08, 3.0971308237733454e-08, 2.9480434582946645e-08]",0.9999996289396815,0.9999996289396815,"[-367.4756864398389, -11.3873506742598, -2.5905920993939326, -1.8741191860223383, -0.34122475510334366, 2.819519140477438, 1.4659904249180475, -2.525823884386915, 1.1660314090180623, 1.9452374966354549, 1.6901010678484942, -0.07635982914674498, -1.895630392533676, 0.1551968415190807, 0.04379154617279169, -0.0856123813418679, -0.18383160736133852, -0.007513750994011349, 0.006077496095765457, 0.01979875852757502, 0.003423843963136822, -0.33428653217093773, 0.34944533910756786, -0.10068863435730074, 0.1469181276094185, -0.056386587127348474, 0.19074742632595593, 0.08390492466301655, -0.2941032581950679, -0.15218597381358615, 0.42515274366925143, 0.1288650003332839]","[14745.170209917318, 1643.651766566144, 293.81639023826676, 256.5057378187978, 121.29480047616717, 110.66976385939013, 46.31444658039537, 137.26744466969953, 52.2023027307881, 91.2777373264831, 109.94271241492699, 33.32127110567054, 29.309357465026423, 21.542009956843525, 16.00284340094609, 9.298846429750936, 10.444534200184377, 8.7298506710764, 8.103988340914285, 7.062502398352497, 6.665989502750904, 9.407085476158958, 9.80841690944225, 5.79137337921428, 4.303750038326324, 3.661975919109916, 4.93765614139355, 10.84989874512141, 16.480758156627616, 6.37736717399623, 5.275702723435574, 4.3217000339782805]"
4,406,32,"[0.9868530472393169, 0.012294403322798148, 0.0003927988992810743, 0.00029934835488499726, 6.696263213764965e-05, 5.4926701158578046e-05, 7.67264042182548e-06, 5.491395545416471e-06, 4.925022464505813e-06, 4.654047006013647e-06, 3.986443719639629e-06, 3.539589162943455e-06, 3.162116529021954e-06, 1.4480568192971065e-06, 9.222667355347588e-07, 3.8107730429147625e-07, 3.516366540035787e-07, 2.9464631739484625e-07, 2.801400654913652e-07, 2.136907525099033e-07, 1.805493629286488e-07, 1.0891369667610028e-07, 1.0133766180927504e-07, 8.443083448734907e-08, 7.47048288314369e-08, 5.367532750262402e-08, 4.5530973051147417e-08, 4.1705795215177173e-08, 3.6154817910271414e-08, 3.189905463680422e-08, 3.0875272763445775e-08, 2.9480587900013497e-08]",0.999999629177289,0.999999629177289,"[-367.78469796178894, -11.406541202959117, -2.592484301029375, -1.8827910975184075, -0.3466043136128528, 2.821148161005103, 1.4721552792505295, -2.5414232120900584, 1.1725846799344963, 1.9262062588531674, 1.6920612427902857, -0.08262479309618856, -1.89818614947363, 0.15650498650190806, 0.04415166170171733, -0.08046895716402795, -0.1917918531939455, -0.006672081954248317, 0.010332685880848942, 0.01599500576294247, 0.00395796674689313, -0.3295871970193144, 0.35117743789716194, -0.09199449042333377, 0.13872886680690674, -0.06107871150978483, 0.20038461862519388, 0.09954390694188521, -0.29386021796515394, -0.15041663925151982, 0.4275982731845706, 0.1320495217291158]","[14756.52591899111, 1644.9328745210726, 294.0451935887134, 256.70571768741144, 121.38940178653584, 110.75463653308302, 46.351373251829436, 137.3737222152685, 52.25261453011083, 91.3417579724839, 110.02850739746928, 33.34711403177625, 29.32994839691384, 21.5588228343945, 16.015038635643876, 9.30554680635913, 10.45171227537806, 8.736726656474817, 8.109296177224682, 7.068165038092894, 6.67082651385055, 9.445235072969057, 9.7867756417346, 5.798583667436778, 4.313974047015423, 3.662950021319575, 4.940807726066738, 10.913346104451527, 16.455904612114125, 6.3347123352097485, 5.313890782671206, 4.3298619538021414]"
5,406,32,"[0.9868518145110232, 0.012295573086178388, 0.0003928342407610088, 0.0002993761254606841, 6.696933213312327e-05, 5.492508150266209e-05, 7.67195459775199e-06, 5.491841278457517e-06, 4.925279017247244e-06, 4.654207657307668e-06, 3.986801352549426e-06, 3.5399406619296057e-06, 3.158756037954132e-06, 1.4481849861212792e-06, 9.223254463908031e-07, 3.8108139320936483e-07, 3.511241806313908e-07, 2.946180640483076e-07, 2.799522849093758e-07, 2.1366262449343096e-07, 1.8055616861945414e-07, 1.0887977193359573e-07, 1.0099251312500932e-07, 8.439024018504775e-08, 7.46450847042574e-08, 5.355250354812848e-08, 4.551113688922756e-08, 4.167153069250918e-08, 3.6112685590623054e-08, 3.1871178118122727e-08, 3.052570285908435e-08, 2.947916209448124e-08]",0.9999996302943205,0.9999996302943205,"[-369.5399520372746, -11.270780308162822, -2.6091936048410536, -1.3317349467796684, -0.37010653745933314, 2.83348751312502, 1.4924967102001172, -2.5764261547612937, 1.2087034776113397, 1.878030992095007, 1.7153148936486247, -0.10225506355742765, -1.895866218885844, 0.14946542073756752, 0.09471371661534651, -0.06409966698177771, -0.2224762452303338, -0.008859827273282375, 0.030289264825535983, 0.003959089999768165, 0.009456439818107745, -0.3088406834632828, 0.3728137607494513, -0.06564718306215131, 0.12723518845059542, -0.07022188777846335, 0.21613063676590488, 0.11788457554472923, -0.2671030538689837, -0.16067115038591026, 0.43280016386687087, 0.13098395367570365]","[14807.939171569213, 1650.742109564849, 295.0816755638963, 258.33112017727854, 121.81808284489372, 111.13890422971427, 46.51943439641135, 137.8380544020858, 52.490555410183156, 91.63854072765884, 110.4296268380703, 33.46660534019328, 29.43154378950613, 21.709947644021913, 16.1966235138514, 9.336268389869579, 10.47225951332324, 8.770673247007126, 8.131296998033893, 7.092726563591416, 6.693470711277984, 9.55786774204989, 9.750499948993467, 5.820345552231121, 4.34522711934551, 3.6909282462342996, 4.929374268890021, 11.0032733373001, 16.494073330391586, 6.445967774608085, 5.146125655479524, 4.352725535753629]"
6,406,32,"[0.9868514586143171, 0.01229591064493885, 0.0003928444295208493, 0.00029938406897248135, 6.69712740039682e-05, 5.492458103305651e-05, 7.671702703517614e-06, 5.491999667990908e-06, 4.92536240511452e-06, 4.654320312053112e-06, 3.986912513655911e-06, 3.540042419610811e-06, 3.1577079992515846e-06, 1.4482266529021941e-06, 9.223460981961313e-07, 3.8109076161066056e-07, 3.510107282255552e-07, 2.9462395363302856e-07, 2.799334561834549e-07, 2.1366288866570632e-07, 1.8055737477369167e-07, 1.08879707163342e-07, 1.0095015697037128e-07, 8.438689048687013e-08, 7.460811812840609e-08, 5.352693367957431e-08, 4.5483067934004804e-08, 4.166810302056224e-08, 3.610752684839509e-08, 3.1867994154128665e-08, 3.046346215782678e-08, 2.9478262880733538e-08]",0.9999996305329453,0.9999996305329453,"[-370.1736615283776, -11.294434991024568, -2.613524762064694, -1.335634603305955, -0.3740957204854746, 2.8374685244455358, 1.4968448065805897, -2.583859326917583, 1.212423626109419, 1.8688842938547512, 1.7186252273369915, -0.10545420978922868, -1.8985698487664067, 0.15149604844578313, 0.09768290680141092, -0.061492218403392154, -0.22922551394714316, -0.008652966320183607, 0.0332599161187897, 0.0026703340961956013, 0.009861381152586871, -0.3063787100901492, 0.37933473543665125, -0.0643064216169698, 0.12596431530061866, -0.06632029580659762, 0.2172065026848545, 0.1197719106833766, -0.2633894053867601, -0.15537600831534498, 0.43391714407937243, 0.1297410786542968]","[14822.319821043975, 1652.3645532930036, 295.3714815366813, 258.5849082862578, 121.93792385428452, 111.246261051385, 46.56655241750803, 137.97229001086356, 52.55154259069111, 91.72364416203331, 110.53739963212176, 33.49926353873383, 29.461616807822356, 21.73141948355933, 16.21244249021468, 9.34546136484655, 10.480289650142494, 8.779073233875739, 8.139497896263235, 7.099967061245986, 6.699704865871154, 9.576528120373526, 9.74952259168816, 5.824559809489506, 4.348448698866103, 3.6962377693222237, 4.937203945481257, 11.043032428111752, 16.486859434252366, 6.43581159839131, 5.163468965954762, 4.35831302089483]"
7,406,32,"[0.986851102161828, 0.012296249195931464, 0.0003928546436082256, 0.0002993920868598516, 6.697321557852e-05, 5.492403642797505e-05, 7.671459243506386e-06, 5.492159026280623e-06, 4.92542659282465e-06, 4.654429953014027e-06, 3.987023808907439e-06, 3.540142388429893e-06, 3.156741382161586e-06, 1.4482597748619462e-06, 9.22355484936183e-07, 3.8108894774232684e-07, 3.5096915503118244e-07, 2.945950087693937e-07, 2.799001310554727e-07, 2.1366700977369467e-07, 1.80555265530453e-07, 1.0881904286336955e-07, 1.0085316676324109e-07, 8.435716504348329e-08, 7.458569904687908e-08, 5.3517581075991685e-08, 4.54325177113136e-08, 4.163329294052906e-08, 3.596109410793154e-08, 3.18572511688036e-08, 3.04419920616444e-08, 2.9462333619671437e-08]",0.9999996310345434,0.9999996310345434,"[-371.4602775472737, -11.319068067654985, -2.6227976640483077, -1.3395089430732947, -0.3766005664066289, 2.84852971745189, 1.503527890576439, -2.57871984132498, 1.2259789389407036, 1.8686705789428084, 1.728872218154044, -0.10644960443312554, -1.904570472950253, 0.14885759490494402, 0.09606936655889965, -0.06486139735847736, -0.2199764044535138, -0.004822011333785473, 0.03653899343993653, 0.0008679288766404518, 0.011458028275520914, -0.3067355869730502, 0.39077053745662393, -0.06169523746283794, 0.1250224890940485, -0.0656220422627734, 0.21949759627446766, 0.11840173086831178, -0.26761880559673956, -0.14838402465345135, 0.43877242720956927, 0.13098064961917144]","[14833.853280421472, 1653.665441539146, 295.603946174987, 258.78838200027724, 122.0340151233011, 111.33247443444566, 46.603066653016334, 138.08146868606806, 52.60916532221618, 91.78709055293017, 110.62494347132021, 33.52562644021594, 29.481700675734896, 21.749019891771592, 16.2251664640951, 9.35407882685959, 10.525866524539, 8.785777204061578, 8.145611795312464, 7.105429462440914, 6.705517355014009, 9.562387525832847, 9.725269689091574, 5.815824703875498, 4.352253466620779, 3.6873229126540834, 4.874519887286937, 10.876284699761184, 16.629498055064204, 6.361645779311557, 5.232631308569981, 4.492310645527734]"
8,406,32,"[0.9868505652754794, 0.01229675939871702, 0.0003928700729684666, 0.0002994042042653806, 6.697614345519276e-05, 5.4923452833630825e-05, 7.67122771073161e-06, 5.492392545254403e-06, 4.925549722990957e-06, 4.654374917181357e-06, 3.9869588911496955e-06, 3.5402238927474607e-06, 3.155503316267327e-06, 1.4483107157881006e-06, 9.223823310642773e-07, 3.8087141155773936e-07, 3.507431638556336e-07, 2.943172944316488e-07, 2.797742168515106e-07, 2.1351549056268525e-07, 1.805422545920563e-07, 1.0876402754604846e-07, 1.007426308945715e-07, 8.429429858075609e-08, 7.452190315317911e-08, 5.345598728366285e-08, 4.5398878468305765e-08, 4.1625709542044125e-08, 3.594306120461402e-08, 3.183479710219844e-08, 3.032100445585577e-08, 2.946193784946599e-08]",0.9999996315998302,0.9999996315998302,"[-371.942551296129, -11.058505520726214, -2.62735640576403, -1.284241366922529, -0.353529225587436, 2.8509498279277996, 1.51151743616334, -2.4250726948432337, 1.322759309873971, 1.9642849154804711, 1.8290290998904088, -0.10981436715672135, -1.892671399236246, 0.11892325012882755, 0.1021571255232061, -0.06799759826127415, -0.19683579843144489, 0.006688918638584835, 0.03976583445724369, 0.002004359825088939, 0.0150481343131456, -0.31498326979710506, 0.4044852589198844, -0.06347696650899642, 0.12378188605482049, -0.05682668905995649, 0.22183754129056657, 0.1250716000108163, -0.27435185629209474, -0.14193841887941824, 0.442370878374427, 0.10976618041109155]","[14856.988373958304, 1656.3026561953188, 296.0705429361887, 259.20307610147233, 122.23090658156565, 111.50539474328475, 46.67855867366701, 138.4327095472041, 52.814721030641294, 92.04073684925768, 110.82127247120945, 33.566718051111096, 29.522910362050986, 21.81466017307723, 16.251182663615136, 9.373799028055263, 10.686585619654963, 8.814720192476868, 8.14943717661636, 7.116912516024014, 6.713706872608261, 9.647750195800942, 9.672849266749635, 5.815854020400038, 4.357519578093435, 3.706879960579185, 4.884536672723143, 10.89246391516108, 16.66223582189755, 6.398171753944911, 5.164741076594713, 4.638639139145761]"
9,406,32,"[0.9868508347276045, 0.01229650392928901, 0.0003928623542666628, 0.00029939808992718547, 6.697467854769374e-05, 5.4923785738037374e-05, 7.67134513551358e-06, 5.492276382006487e-06, 4.9254761636054716e-06, 4.654339626977871e-06, 3.98687223531298e-06, 3.540144240263897e-06, 3.156228972345924e-06, 1.448287290273253e-06, 9.223715971805371e-07, 3.8087127502157506e-07, 3.5085063449293365e-07, 2.9432853071430805e-07, 2.7982125492549824e-07, 2.1351619463530365e-07, 1.8053995742993302e-07, 1.0877720467433809e-07, 1.0079868143529847e-07, 8.42942161529539e-08, 7.452136575666107e-08, 5.3473309110867674e-08, 4.540294105841578e-08, 4.1631234940023684e-08, 3.595042897129108e-08, 3.1836738381741886e-08, 3.039343974716723e-08, 2.9462133837187465e-08]",0.9999996313765579,0.9999996313765579,"[-371.75472117893656, -11.302474881088783, -2.6253799625390197, -1.294911843159303, -0.3684870165679325, 2.848828434817041, 1.5029917398885835, -2.569924422609021, 1.2354530118738083, 1.8965911576254784, 1.73397508431125, -0.09561087238964784, -1.8987245952867926, 0.15695048499250105, 0.09432884968555066, -0.0842860833270826, -0.11562715456894254, 0.018492358859041078, 0.03493227076398974, 0.0011942686389909683, 0.01290384907689581, -0.3037146639582633, 0.3884072689968674, -0.06647589604726141, 0.12558879886774577, -0.053120647412513454, 0.2133508963139533, 0.13024182769085219, -0.2799476804783438, -0.1406394993251186, 0.4400319808488652, 0.08354705741513714]","[14845.412814767598, 1654.9691420289555, 295.8369825769027, 258.99288443708804, 122.13044905876708, 111.41876084187872, 46.63944525648814, 138.1895817340484, 52.6497988393171, 91.90040632566064, 110.68670284090167, 33.54390143083752, 29.499796217876547, 21.76896086500202, 16.239557524436382, 9.38671747740823, 11.140204731557589, 8.83965876225139, 8.146223784235007, 7.111339332204191, 6.713623060842973, 9.62060344941043, 9.699535259272157, 5.815000037882997, 4.3545312986742815, 3.709044205934479, 4.894564713096748, 10.886005852775943, 16.637599550837614, 6.414652813483565, 5.192433753228021, 4.784250800128223]"
