fold_id,min_probability,max_probability,mean_probability,median_probability,std_probability,positive_probability_mean,negative_probability_mean,positive_probability_median,negative_probability_median,number_predicted_positive_at_threshold_0.38,number_predicted_negative_at_threshold_0.38
0,0.3189951479434967,0.3232727646827698,0.32027873396873474,0.3201894462108612,0.0011984287993982434,0.3208930492401123,0.31966447830200195,0.3206877112388611,0.3191239833831787,0,20
1,0.31009307503700256,0.3526327908039093,0.34421172738075256,0.3517645001411438,0.013173064216971397,0.34449782967567444,0.34392568469047546,0.3515043556690216,0.35185706615448,0,24
2,0.36803561449050903,0.38208654522895813,0.3699759542942047,0.36846083402633667,0.00387263554148376,0.38208654522895813,0.36887499690055847,0.38208654522895813,0.36844202876091003,1,11
3,0.29190337657928467,0.34835267066955566,0.31257882714271545,0.30930250883102417,0.019647793844342232,0.34835267066955566,0.3054240345954895,0.34835267066955566,0.30049023032188416,0,6
4,0.2558389902114868,0.33336517214775085,0.3013162612915039,0.30345863103866577,0.02305099181830883,0.2558389902114868,0.3104117214679718,0.2558389902114868,0.303997665643692,0,6
5,0.2106735110282898,0.30030912160873413,0.23249207437038422,0.22060231864452362,0.026950087398290634,0.22137542068958282,0.24138541519641876,0.21981900930404663,0.22737005352973938,0,9
6,0.20551536977291107,0.28135883808135986,0.22899696230888367,0.23034390807151794,0.02310325764119625,0.2084062695503235,0.24546952545642853,0.20911657810211182,0.2353142350912094,0,9
7,0.24462676048278809,0.25387337803840637,0.2493436634540558,0.25109732151031494,0.0032865440007299185,0.25209417939186096,0.24769334495067596,0.2513410449028015,0.2462622970342636,0,8
8,0.2648206651210785,0.3230555057525635,0.292623907327652,0.2929221987724304,0.02622399851679802,0.2664772868156433,0.3187704086303711,0.2660668194293976,0.3177512288093567,0,14
9,0.21686874330043793,0.44455382227897644,0.32350069284439087,0.32088425755500793,0.10337157547473907,0.2203940600156784,0.42660728096961975,0.22051440179347992,0.4209181070327759,5,5
10,0.28524982929229736,0.434623658657074,0.3126247525215149,0.2936593294143677,0.04097802937030792,0.434623658657074,0.30153393745422363,0.434623658657074,0.2933637797832489,1,11
11,0.2295362502336502,0.42044535279273987,0.31492069363594055,0.23360437154769897,0.09375043958425522,0.41972532868385315,0.23107695579528809,0.42006364464759827,0.22979694604873657,4,5
12,0.2584422528743744,0.41520172357559204,0.33070507645606995,0.3029671907424927,0.07012700289487839,0.3987926244735718,0.26261746883392334,0.4103575348854065,0.2622247338294983,8,12
13,0.459570974111557,0.49634864926338196,0.4659092128276825,0.4597182273864746,0.01361667737364769,0.49634864926338196,0.45982128381729126,0.49634864926338196,0.45966964960098267,6,0
14,0.292298287153244,0.3482566773891449,0.3185630142688751,0.3155522346496582,0.026006905362010002,0.3443976640701294,0.29272836446762085,0.34671750664711,0.2927435338497162,0,16
15,0.20975914597511292,0.7275378108024597,0.4875190258026123,0.5161811709403992,0.23571087419986725,0.7223381996154785,0.2526998221874237,0.7219908237457275,0.25110092759132385,12,12
16,0.2746749222278595,0.5398492813110352,0.46135473251342773,0.46321478486061096,0.07152694463729858,0.5246478319168091,0.398061603307724,0.5254296064376831,0.4189412295818329,61,5
17,0.3369823396205902,0.567557692527771,0.47185075283050537,0.4843592345714569,0.09678613394498825,0.5670217275619507,0.37667974829673767,0.5670421123504639,0.3884740173816681,10,2
18,0.3326304852962494,0.35683712363243103,0.34950846433639526,0.35036003589630127,0.0078088585287332535,0.3568095862865448,0.34220728278160095,0.35681530833244324,0.3439096212387085,0,14
19,0.24026156961917877,0.44875022768974304,0.3089565932750702,0.2890118956565857,0.06151080131530762,0.44875022768974304,0.29624807834625244,0.44875022768974304,0.28578904271125793,2,10
20,0.20218287408351898,0.48163455724716187,0.25480300188064575,0.20655930042266846,0.10185354202985764,0.48163455724716187,0.20943669974803925,0.48163455724716187,0.204537495970726,1,5
21,0.295488566160202,0.4713488221168518,0.33974871039390564,0.32055193185806274,0.059920936822891235,0.4713488221168518,0.31342869997024536,0.4713488221168518,0.3187488615512848,1,5
22,0.3132226765155792,0.463320255279541,0.3577779233455658,0.3408887982368469,0.04866138845682144,0.463320255279541,0.3366694152355194,0.463320255279541,0.340191125869751,1,5
23,0.44475826621055603,0.47947511076927185,0.4634418189525604,0.4648016691207886,0.011021985672414303,0.471039354801178,0.4619223177433014,0.471039354801178,0.46367010474205017,6,0
24,0.44475826621055603,0.5062766671180725,0.46931469440460205,0.4648016691207886,0.019574904814362526,0.5062766671180725,0.4619223177433014,0.5062766671180725,0.46367010474205017,6,0
25,0.44475826621055603,0.47947511076927185,0.46426013112068176,0.4648016691207886,0.011716093868017197,0.4759492874145508,0.4619223177433014,0.4759492874145508,0.46367010474205017,6,0
26,0.44475826621055603,0.47947511076927185,0.4643890857696533,0.4648016691207886,0.011847552843391895,0.47672295570373535,0.4619223177433014,0.47672295570373535,0.46367010474205017,6,0
27,0.44475826621055603,0.47947511076927185,0.46439144015312195,0.4648016691207886,0.01184999942779541,0.47673705220222473,0.4619223177433014,0.47673705220222473,0.46367010474205017,6,0
28,0.44475826621055603,0.47947511076927185,0.46416404843330383,0.4648016691207886,0.011621832847595215,0.475372850894928,0.4619223177433014,0.475372850894928,0.46367010474205017,6,0
