fold_id,held_out_episode,min_distance_minutes,max_distance_minutes,passed
0,02-03-2018_Botnet_0,36.0,23224.0,True
1,02-03-2018_Botnet_1,36.0,23226.0,True
2,02-03-2018_Botnet_2,36.0,23625.0,True
3,02-03-2018_Botnet_3,36.0,23627.0,True
4,02-03-2018_Botnet_4,36.0,23631.0,True
5,02-03-2018_Botnet_5,36.0,23649.0,True
6,02-03-2018_Botnet_6,36.0,23654.0,True
7,02-03-2018_Botnet_7,36.0,23658.0,True
8,02-03-2018_Botnet_8,36.0,23667.0,True
9,02-03-2018_Botnet_9,36.0,23674.0,True
10,14-02-2018_SSH-Bruteforce_0,36.0,23709.0,True
11,14-02-2018_SSH-Bruteforce_1,36.0,23708.0,True
12,14-02-2018_SSH-Bruteforce_2,36.0,23713.0,True
13,14-02-2018_SSH-Bruteforce_3,36.0,23708.0,True
14,14-02-2018_SSH-Bruteforce_4,36.0,23711.0,True
15,14-02-2018_SSH-Bruteforce_5,36.0,23715.0,True
16,14-02-2018_SSH-Bruteforce_6,36.0,23704.0,True
17,14-02-2018_SSH-Bruteforce_7,36.0,23621.0,True
18,14-02-2018_SSH-Bruteforce_8,36.0,23614.0,True
19,21-02-2018_DDOS-LOIC-UDP_0,36.0,13142.0,True
20,21-02-2018_DDOS-LOIC-UDP_1,36.0,13141.0,True
21,21-02-2018_DDOS-LOIC-UDP_10,36.0,13141.0,True
22,21-02-2018_DDOS-LOIC-UDP_11,36.0,13141.0,True
23,21-02-2018_DDOS-LOIC-UDP_12,36.0,13141.0,True
24,21-02-2018_DDOS-LOIC-UDP_13,36.0,13141.0,True
25,21-02-2018_DDOS-LOIC-UDP_14,36.0,13141.0,True
26,21-02-2018_DDOS-LOIC-UDP_15,36.0,13141.0,True
27,21-02-2018_DDOS-LOIC-UDP_16,36.0,13141.0,True
28,21-02-2018_DDOS-LOIC-UDP_17,36.0,13141.0,True
29,21-02-2018_DDOS-LOIC-UDP_2,36.0,13141.0,True
30,21-02-2018_DDOS-LOIC-UDP_3,36.0,13141.0,True
31,21-02-2018_DDOS-LOIC-UDP_4,36.0,13141.0,True
32,21-02-2018_DDOS-LOIC-UDP_5,36.0,13141.0,True
33,21-02-2018_DDOS-LOIC-UDP_6,36.0,13141.0,True
34,21-02-2018_DDOS-LOIC-UDP_7,36.0,13141.0,True
35,21-02-2018_DDOS-LOIC-UDP_8,36.0,13141.0,True
36,21-02-2018_DDOS-LOIC-UDP_9,36.0,13141.0,True
