fold_id,training_started,training_completed,epochs_requested,epochs_completed,early_stopping_triggered,training_exception,diagnostic_exception,checkpoint_created,best_checkpoint_available,best_epoch,final_epoch
0,True,True,30,7,True,,,True,True,2,7
1,True,True,30,7,True,,,True,True,2,7
2,True,True,30,7,True,,,True,True,2,7
3,True,True,30,9,True,,,True,True,4,9
4,True,True,30,12,True,,,True,True,7,12
5,True,True,30,12,True,,,True,True,7,12
6,True,True,30,16,True,,,True,True,11,16
7,True,True,30,13,True,,,True,True,8,13
8,True,True,30,10,True,,,True,True,5,10
9,True,True,30,15,True,,,True,True,10,15
10,True,True,30,9,True,,,True,True,4,9
11,True,True,30,10,True,,,True,True,5,10
12,True,True,30,10,True,,,True,True,5,10
13,True,True,30,6,True,,,True,True,1,6
14,True,True,30,7,True,,,True,True,2,7
15,True,True,30,16,True,,,True,True,11,16
16,True,True,30,13,True,,,True,True,8,13
17,True,True,30,9,True,,,True,True,4,9
18,True,True,30,6,True,,,True,True,1,6
19,True,True,30,7,True,,,True,True,2,7
20,True,True,30,9,True,,,True,True,4,9
21,True,True,30,7,True,,,True,True,2,7
22,True,True,30,6,True,,,True,True,1,6
23,True,True,30,6,True,,,True,True,1,6
24,True,True,30,6,True,,,True,True,1,6
25,True,True,30,6,True,,,True,True,1,6
26,True,True,30,6,True,,,True,True,1,6
27,True,True,30,6,True,,,True,True,1,6
28,True,True,30,6,True,,,True,True,1,6
29,True,True,30,6,True,,,True,True,1,6
30,True,True,30,6,True,,,True,True,1,6
31,True,True,30,6,True,,,True,True,1,6
32,True,True,30,6,True,,,True,True,1,6
33,True,True,30,6,True,,,True,True,1,6
34,True,True,30,6,True,,,True,True,1,6
35,True,True,30,6,True,,,True,True,1,6
36,True,True,30,6,True,,,True,True,1,6
