fold_id,split,positive_count,negative_count,sequence_count,positive_prevalence
10,train,575,1190,1765,0.32577903682719545
10,validation,179,176,355,0.504225352112676
10,test,1,11,12,0.08333333333333333
11,train,570,1191,1761,0.32367972742759793
11,validation,179,175,354,0.5056497175141242
11,test,4,5,9,0.4444444444444444
13,train,557,1193,1750,0.3182857142857143
13,validation,179,173,352,0.5085227272727273
13,test,1,5,6,0.16666666666666666
14,train,549,1195,1744,0.31479357798165136
14,validation,179,170,349,0.5128939828080229
14,test,8,8,16,0.5
