column,exists_in_source_dataset,numeric_in_source_dataset,prohibited,finite_source_values
duration_microsec_mean,True,True,False,True
duration_microsec_std,True,True,False,True
duration_microsec_sum,True,True,False,True
duration_microsec_min,True,True,False,True
duration_microsec_max,True,True,False,True
packet_count_fwd_mean,True,True,False,True
packet_count_fwd_std,True,True,False,True
packet_count_fwd_sum,True,True,False,True
packet_count_fwd_min,True,True,False,True
packet_count_fwd_max,True,True,False,True
packet_count_bwd_mean,True,True,False,True
packet_count_bwd_std,True,True,False,True
packet_count_bwd_sum,True,True,False,True
packet_count_bwd_min,True,True,False,True
packet_count_bwd_max,True,True,False,True
byte_count_fwd_mean,True,True,False,True
byte_count_fwd_std,True,True,False,True
byte_count_fwd_sum,True,True,False,True
byte_count_fwd_min,True,True,False,True
byte_count_fwd_max,True,True,False,True
byte_count_bwd_mean,True,True,False,True
byte_count_bwd_std,True,True,False,True
byte_count_bwd_sum,True,True,False,True
byte_count_bwd_min,True,True,False,True
byte_count_bwd_max,True,True,False,True
fwd_pkt_len_max_mean,True,True,False,True
fwd_pkt_len_max_std,True,True,False,True
fwd_pkt_len_max_sum,True,True,False,True
fwd_pkt_len_max_min,True,True,False,True
fwd_pkt_len_max_max,True,True,False,True
fwd_pkt_len_min_mean,True,True,False,True
fwd_pkt_len_min_std,True,True,False,True
fwd_pkt_len_min_sum,True,True,False,True
fwd_pkt_len_min_min,True,True,False,True
fwd_pkt_len_min_max,True,True,False,True
fwd_pkt_len_mean_mean,True,True,False,True
fwd_pkt_len_mean_std,True,True,False,True
fwd_pkt_len_mean_sum,True,True,False,True
fwd_pkt_len_mean_min,True,True,False,True
fwd_pkt_len_mean_max,True,True,False,True
fwd_pkt_len_std_mean,True,True,False,True
fwd_pkt_len_std_std,True,True,False,True
fwd_pkt_len_std_sum,True,True,False,True
fwd_pkt_len_std_min,True,True,False,True
fwd_pkt_len_std_max,True,True,False,True
bwd_pkt_len_max_mean,True,True,False,True
bwd_pkt_len_max_std,True,True,False,True
bwd_pkt_len_max_sum,True,True,False,True
bwd_pkt_len_max_min,True,True,False,True
bwd_pkt_len_max_max,True,True,False,True
bwd_pkt_len_min_mean,True,True,False,True
bwd_pkt_len_min_std,True,True,False,True
bwd_pkt_len_min_sum,True,True,False,True
bwd_pkt_len_min_min,True,True,False,True
bwd_pkt_len_min_max,True,True,False,True
bwd_pkt_len_mean_mean,True,True,False,True
bwd_pkt_len_mean_std,True,True,False,True
bwd_pkt_len_mean_sum,True,True,False,True
bwd_pkt_len_mean_min,True,True,False,True
bwd_pkt_len_mean_max,True,True,False,True
bwd_pkt_len_std_mean,True,True,False,True
bwd_pkt_len_std_std,True,True,False,True
bwd_pkt_len_std_sum,True,True,False,True
bwd_pkt_len_std_min,True,True,False,True
bwd_pkt_len_std_max,True,True,False,True
bytes_per_sec_mean,True,True,False,True
bytes_per_sec_std,True,True,False,True
bytes_per_sec_sum,True,True,False,True
bytes_per_sec_min,True,True,False,True
bytes_per_sec_max,True,True,False,True
packets_per_sec_mean,True,True,False,True
packets_per_sec_std,True,True,False,True
packets_per_sec_sum,True,True,False,True
packets_per_sec_min,True,True,False,True
packets_per_sec_max,True,True,False,True
flow_iat_mean_mean,True,True,False,True
flow_iat_mean_std,True,True,False,True
flow_iat_mean_sum,True,True,False,True
flow_iat_mean_min,True,True,False,True
flow_iat_mean_max,True,True,False,True
flow_iat_std_mean,True,True,False,True
flow_iat_std_std,True,True,False,True
flow_iat_std_sum,True,True,False,True
flow_iat_std_min,True,True,False,True
flow_iat_std_max,True,True,False,True
flow_iat_max_mean,True,True,False,True
flow_iat_max_std,True,True,False,True
flow_iat_max_sum,True,True,False,True
flow_iat_max_min,True,True,False,True
flow_iat_max_max,True,True,False,True
flow_iat_min_mean,True,True,False,True
flow_iat_min_std,True,True,False,True
flow_iat_min_sum,True,True,False,True
flow_iat_min_min,True,True,False,True
flow_iat_min_max,True,True,False,True
fwd_iat_tot_mean,True,True,False,True
fwd_iat_tot_std,True,True,False,True
fwd_iat_tot_sum,True,True,False,True
fwd_iat_tot_min,True,True,False,True
fwd_iat_tot_max,True,True,False,True
fwd_iat_mean_mean,True,True,False,True
fwd_iat_mean_std,True,True,False,True
fwd_iat_mean_sum,True,True,False,True
fwd_iat_mean_min,True,True,False,True
fwd_iat_mean_max,True,True,False,True
fwd_iat_std_mean,True,True,False,True
fwd_iat_std_std,True,True,False,True
fwd_iat_std_sum,True,True,False,True
fwd_iat_std_min,True,True,False,True
fwd_iat_std_max,True,True,False,True
fwd_iat_max_mean,True,True,False,True
fwd_iat_max_std,True,True,False,True
fwd_iat_max_sum,True,True,False,True
fwd_iat_max_min,True,True,False,True
