fold_id,held_out_episode_id,frozen_train_count,frozen_test_count,n_train,n_test,_merge,exact_test_count_match,exact_train_count_match
0,02-03-2018_Botnet_0,2687,20,2687,20,both,True,True
1,02-03-2018_Botnet_1,2692,24,2692,24,both,True,True
2,02-03-2018_Botnet_2,2673,12,2673,12,both,True,True
3,02-03-2018_Botnet_3,2672,6,2672,6,both,True,True
4,02-03-2018_Botnet_4,2668,6,2668,6,both,True,True
5,02-03-2018_Botnet_5,2650,9,2650,9,both,True,True
6,02-03-2018_Botnet_6,2645,9,2645,9,both,True,True
7,02-03-2018_Botnet_7,2641,8,2641,8,both,True,True
8,02-03-2018_Botnet_8,2633,14,2633,14,both,True,True
9,02-03-2018_Botnet_9,2637,10,2637,10,both,True,True
10,14-02-2018_SSH-Bruteforce_0,2704,12,2704,12,both,True,True
11,14-02-2018_SSH-Bruteforce_1,2700,9,2700,9,both,True,True
12,14-02-2018_SSH-Bruteforce_2,2684,20,2684,20,both,True,True
13,14-02-2018_SSH-Bruteforce_3,2687,6,2687,6,both,True,True
14,14-02-2018_SSH-Bruteforce_4,2675,16,2675,16,both,True,True
15,14-02-2018_SSH-Bruteforce_5,2658,24,2658,24,both,True,True
16,14-02-2018_SSH-Bruteforce_6,2587,66,2587,66,both,True,True
17,14-02-2018_SSH-Bruteforce_7,2696,12,2696,12,both,True,True
18,14-02-2018_SSH-Bruteforce_8,2702,14,2702,14,both,True,True
19,21-02-2018_DDOS-LOIC-UDP_0,2705,12,2705,12,both,True,True
20,21-02-2018_DDOS-LOIC-UDP_1,2706,6,2706,6,both,True,True
21,21-02-2018_DDOS-LOIC-UDP_10,2706,6,2706,6,both,True,True
22,21-02-2018_DDOS-LOIC-UDP_11,2706,6,2706,6,both,True,True
23,21-02-2018_DDOS-LOIC-UDP_12,2706,6,2706,6,both,True,True
24,21-02-2018_DDOS-LOIC-UDP_13,2706,6,2706,6,both,True,True
25,21-02-2018_DDOS-LOIC-UDP_14,2706,6,2706,6,both,True,True
26,21-02-2018_DDOS-LOIC-UDP_15,2706,6,2706,6,both,True,True
27,21-02-2018_DDOS-LOIC-UDP_16,2706,6,2706,6,both,True,True
28,21-02-2018_DDOS-LOIC-UDP_17,2706,6,2706,6,both,True,True
29,21-02-2018_DDOS-LOIC-UDP_2,2706,6,2706,6,both,True,True
30,21-02-2018_DDOS-LOIC-UDP_3,2706,7,2706,7,both,True,True
31,21-02-2018_DDOS-LOIC-UDP_4,2706,6,2706,6,both,True,True
32,21-02-2018_DDOS-LOIC-UDP_5,2706,6,2706,6,both,True,True
33,21-02-2018_DDOS-LOIC-UDP_6,2706,6,2706,6,both,True,True
34,21-02-2018_DDOS-LOIC-UDP_7,2706,6,2706,6,both,True,True
35,21-02-2018_DDOS-LOIC-UDP_8,2706,6,2706,6,both,True,True
36,21-02-2018_DDOS-LOIC-UDP_9,2706,6,2706,6,both,True,True
