rank,feature,mean_absolute_coefficient,max_absolute_coefficient,fold_count
1,window_size_bwd_std,1.7876332631911833,1.8940198272760456,37
2,fwd_pkt_len_std_mean,1.7559898760592714,2.0002851568777964,37
3,bwd_pkt_len_std_mean,1.6279125099418463,1.7321944639858218,37
4,byte_count_bwd_std,1.5768222192784558,1.741556686572707,37
5,fwd_pkt_len_max_std,1.516685939804065,1.6255610033987988,37
6,pkt_tcp_retrans_count,1.4705349766711817,1.6223447007558311,37
7,pkt_port_scan_seq_score,1.3720669818287055,1.514041068498985,37
8,bwd_iat_std_mean,1.3577487240503734,1.8098368334580373,37
9,byte_count_fwd_max,1.3264829907310673,1.533814632760565,37
10,flow_iat_std_std,1.2965680255945735,1.5335183523185705,37
11,bytes_per_sec_mean,1.2796638684050174,1.3520286687846883,37
12,bytes_per_sec_max,1.1816201739940506,1.2914114316944771,37
13,packet_count_bwd_std,1.1545923366721687,1.2628829533102608,37
14,window_size_fwd_std,1.1438254297548571,1.2157666987334952,37
15,bwd_seg_size_avg_max,1.1416500816318298,1.7954703640985086,37
16,bwd_pkt_len_mean_max,1.1416500816316302,1.7954703640983771,37
17,down_up_ratio_std,1.1261452678733401,1.2429949451801492,37
18,bwd_iat_max_std,1.0466919834855453,1.1363786776432827,37
19,pkt_len_std_mean,1.0320728951025784,1.0982706509136977,37
20,ack_flag_cnt_std,0.9870366803403433,1.036694716748707,37
21,fwd_seg_size_min_mean,0.9820342819464516,1.2825827718732818,37
22,bwd_iat_min_std,0.9752277307132329,1.0347009660947355,37
23,pkt_len_min_std,0.9651616754501141,1.0703707092543229,37
24,bwd_pkt_len_std_std,0.9613340506793243,1.1577084463949303,37
25,bwd_iat_mean_std,0.9253978329992447,1.0398453838231805,37
26,bwd_pkt_len_min_mean,0.912778002243065,1.0366332371787552,37
27,bwd_iat_min_max,0.8957974936546199,1.0209143501593338,37
28,urg_flag_cnt_mean,0.879949576297753,0.9646790511257032,37
29,bytes_per_sec_sum,0.8779266542431966,0.9462680428359904,37
30,bwd_pkt_len_std_max,0.8739129263390045,1.3457764822935383,37
31,bwd_pkts_per_sec_sum,0.8566006975822542,0.9734144460625992,37
32,pkt_len_mean_max,0.8504401880804453,1.123337922242541,37
33,subflow_bwd_byts_sum,0.8422892195075324,0.9251461912205308,37
34,fwd_pkt_len_std_std,0.7987223179838404,0.9490577294415726,37
35,pkt_payload_size_p95,0.7720689788727985,0.8735306718665673,37
36,byte_count_bwd_max,0.7375934565906449,0.9073975662707192,37
37,active_max_sum,0.7142437865277885,0.7438964198306518,37
38,bwd_pkts_per_sec_std,0.7031585795685076,0.7390569270412515,37
39,byte_count_fwd_std,0.6989114883792038,0.901287553112952,37
40,pkt_len_max_std,0.6930725498343163,0.7792178260572373,37
41,pkt_len_mean_mean,0.69284932822517,0.7377461142058434,37
42,ece_flag_cnt_sum,0.6921391891243065,0.8481040847644821,37
43,rst_flag_cnt_sum,0.6912998070035168,0.8472234683602771,37
44,duration_sec_std,0.6763727402144649,0.7188358776710002,37
45,urg_flag_cnt_max,0.6685889015986927,0.8242217726004576,37
46,bwd_iat_mean_sum,0.6610363447798746,0.7281370886199374,37
47,pkt_size_avg_mean,0.6601409221440551,0.708194391916198,37
48,ece_flag_cnt_std,0.6579195324078024,0.8135823337352818,37
49,active_mean_sum,0.6558028888941331,0.6695523779511628,37
50,fwd_iat_mean_std,0.6530074732612803,0.6954874892755525,37
51,rst_flag_cnt_std,0.632854728325223,0.7879892108688034,37
52,pkt_len_var_mean,0.629847446646366,1.4252617206031928,37
53,window_size_bwd_mean,0.6244640846658932,0.6965374278001629,37
54,flow_iat_max_std,0.6159971983075764,0.7766436114037536,37
55,window_size_bwd_sum,0.6110263886443759,0.7197833405008005,37
56,packet_count_bwd_mean,0.6090466187316154,0.6826922171059883,37
57,pkt_len_var_max,0.6078309281491396,1.6765478969415075,37
58,pkt_frag_df_count,0.6066290557319522,0.8044935111702506,37
59,bwd_pkt_len_max_std,0.6046059778478003,0.7339998861630144,37
60,bwd_iat_tot_mean,0.6028061593672771,0.7139188977892487,37
61,pkt_len_max_mean,0.5941300391447091,0.8544175620068925,37
62,active_std_sum,0.5889065523894732,0.6702356121084895,37
63,pkt_len_var_sum,0.5804582117042524,0.6155702952301377,37
64,pkt_payload_size_p75,0.567477631381477,0.6420113728404345,37
65,urg_flag_cnt_std,0.5647346091717634,0.6052659844970024,37
66,pkt_len_std_std,0.5578998701687913,0.6491112494618421,37
67,fwd_header_len_mean,0.5467641303351729,0.8329529237087279,37
68,bwd_iat_mean_max,0.5459676635398585,0.671135481002263,37
69,fwd_pkt_len_max_max,0.545299271982284,0.684145745198312,37
70,bwd_iat_mean_mean,0.5177777122412924,0.6155042828844502,37
71,bwd_pkt_len_mean_sum,0.5124057136604719,0.5567330172864541,37
72,bwd_seg_size_avg_sum,0.5124057136600639,0.5567330172862369,37
73,subflow_bwd_byts_max,0.5039753549724973,0.6401728691576688,37
74,psh_flag_cnt_mean,0.5013186512384543,0.6132421561932786,37
75,byte_count_bwd_mean,0.49341415935328625,0.6390272981848172,37
76,fwd_seg_size_min_std,0.48500096076481825,0.6096421348442648,37
77,subflow_bwd_pkts_std,0.4709463958676181,0.7627481914427596,37
78,bwd_header_len_max,0.46997364531822916,0.6856469796148063,37
79,pkt_len_var_std,0.4607654195694702,1.7605746062686942,37
80,ack_flag_cnt_sum,0.4589351630259239,0.5292437354976023,37
81,down_up_ratio_max,0.45538094230631904,0.5137826303850315,37
82,window_size_bwd_max,0.45232615040710533,0.5639202892800377,37
83,idle_min_std,0.4513354648243366,0.6704640359000205,37
84,idle_std_mean,0.44230789225639033,0.5030398100538551,37
85,fwd_iat_std_std,0.4387623872624338,0.9369504047673138,37
86,flow_iat_std_sum,0.4251296450713504,0.4830091373971963,37
87,fwd_pkt_len_std_sum,0.4152368615307383,0.4524943601339004,37
88,idle_max_mean,0.4144689461298954,0.4568939310777058,37
89,fwd_pkt_len_mean_sum,0.41316894947481747,0.469873396118467,37
90,fwd_seg_size_avg_sum,0.41316894947481747,0.469873396118467,37
91,fwd_header_len_sum,0.4122274839479541,0.6046044246956276,37
92,byte_count_bwd_sum,0.41127625347977703,0.5428788178869376,37
93,active_max_std,0.4096741692837695,0.4505681953039073,37
94,active_std_mean,0.4045555113559754,0.460365618879724,37
95,mask_has_packet_level_features,0.40223267993080924,0.455356650165842,37
96,pkt_ttl_max,0.40223267993080924,0.455356650165842,37
97,fwd_pkts_per_sec_max,0.3995608666663314,0.5156742791006893,37
98,window_size_fwd_mean,0.393596736678926,0.5463212673283974,37
99,fwd_iat_std_mean,0.390871481101917,0.4859165336368153,37
100,fwd_iat_min_std,0.3885491701061181,0.4628300126184934,37
101,subflow_fwd_byts_mean,0.38682902542559106,0.5477030681699042,37
102,fwd_pkt_len_max_sum,0.38541122490669555,0.4564220058689198,37
103,pkt_ttl_std,0.37509545219999635,0.4176962315924736,37
104,bwd_pkt_len_min_std,0.37286019631548334,0.5788178351218594,37
105,pkt_ttl_mode,0.3714511648611308,0.4136958723909764,37
