fold_id,episode_id,attack_type,training_started,epochs_requested,epochs_completed,early_stopping_triggered,best_epoch,checkpoint_created,best_checkpoint_available,test_prediction_complete,metric_complete,status
0,02-03-2018_Botnet_0,Botnet,True,30,7,True,2,True,True,True,True,VALID EARLY STOP
1,02-03-2018_Botnet_1,Botnet,True,30,7,True,2,True,True,True,True,VALID EARLY STOP
2,02-03-2018_Botnet_2,Botnet,True,30,7,True,2,True,True,True,True,VALID EARLY STOP
3,02-03-2018_Botnet_3,Botnet,True,30,9,True,4,True,True,True,True,VALID EARLY STOP
4,02-03-2018_Botnet_4,Botnet,True,30,12,True,7,True,True,True,True,VALID EARLY STOP
5,02-03-2018_Botnet_5,Botnet,True,30,12,True,7,True,True,True,True,VALID EARLY STOP
6,02-03-2018_Botnet_6,Botnet,True,30,16,True,11,True,True,True,True,VALID EARLY STOP
7,02-03-2018_Botnet_7,Botnet,True,30,13,True,8,True,True,True,True,VALID EARLY STOP
8,02-03-2018_Botnet_8,Botnet,True,30,10,True,5,True,True,True,True,VALID EARLY STOP
9,02-03-2018_Botnet_9,Botnet,True,30,15,True,10,True,True,True,True,VALID EARLY STOP
10,14-02-2018_SSH-Bruteforce_0,SSH-Bruteforce,True,30,9,True,4,True,True,True,True,VALID EARLY STOP
11,14-02-2018_SSH-Bruteforce_1,SSH-Bruteforce,True,30,10,True,5,True,True,True,True,VALID EARLY STOP
12,14-02-2018_SSH-Bruteforce_2,SSH-Bruteforce,True,30,10,True,5,True,True,True,True,VALID EARLY STOP
13,14-02-2018_SSH-Bruteforce_3,SSH-Bruteforce,True,30,6,True,1,True,True,True,True,VALID EARLY STOP
14,14-02-2018_SSH-Bruteforce_4,SSH-Bruteforce,True,30,7,True,2,True,True,True,True,VALID EARLY STOP
15,14-02-2018_SSH-Bruteforce_5,SSH-Bruteforce,True,30,16,True,11,True,True,True,True,VALID EARLY STOP
16,14-02-2018_SSH-Bruteforce_6,SSH-Bruteforce,True,30,13,True,8,True,True,True,True,VALID EARLY STOP
17,14-02-2018_SSH-Bruteforce_7,SSH-Bruteforce,True,30,9,True,4,True,True,True,True,VALID EARLY STOP
18,14-02-2018_SSH-Bruteforce_8,SSH-Bruteforce,True,30,6,True,1,True,True,True,True,VALID EARLY STOP
19,21-02-2018_DDOS-LOIC-UDP_0,DDOS-LOIC-UDP,True,30,7,True,2,True,True,True,True,VALID EARLY STOP
20,21-02-2018_DDOS-LOIC-UDP_1,DDOS-LOIC-UDP,True,30,9,True,4,True,True,True,True,VALID EARLY STOP
21,21-02-2018_DDOS-LOIC-UDP_10,DDOS-LOIC-UDP,True,30,7,True,2,True,True,True,True,VALID EARLY STOP
22,21-02-2018_DDOS-LOIC-UDP_11,DDOS-LOIC-UDP,True,30,6,True,1,True,True,True,True,VALID EARLY STOP
23,21-02-2018_DDOS-LOIC-UDP_12,DDOS-LOIC-UDP,True,30,6,True,1,True,True,True,True,VALID EARLY STOP
24,21-02-2018_DDOS-LOIC-UDP_13,DDOS-LOIC-UDP,True,30,6,True,1,True,True,True,True,VALID EARLY STOP
25,21-02-2018_DDOS-LOIC-UDP_14,DDOS-LOIC-UDP,True,30,6,True,1,True,True,True,True,VALID EARLY STOP
26,21-02-2018_DDOS-LOIC-UDP_15,DDOS-LOIC-UDP,True,30,6,True,1,True,True,True,True,VALID EARLY STOP
27,21-02-2018_DDOS-LOIC-UDP_16,DDOS-LOIC-UDP,True,30,6,True,1,True,True,True,True,VALID EARLY STOP
28,21-02-2018_DDOS-LOIC-UDP_17,DDOS-LOIC-UDP,True,30,6,True,1,True,True,True,True,VALID EARLY STOP
29,21-02-2018_DDOS-LOIC-UDP_2,DDOS-LOIC-UDP,True,30,6,True,1,True,True,True,True,VALID EARLY STOP
30,21-02-2018_DDOS-LOIC-UDP_3,DDOS-LOIC-UDP,True,30,6,True,1,True,True,True,True,VALID EARLY STOP
31,21-02-2018_DDOS-LOIC-UDP_4,DDOS-LOIC-UDP,True,30,6,True,1,True,True,True,True,VALID EARLY STOP
32,21-02-2018_DDOS-LOIC-UDP_5,DDOS-LOIC-UDP,True,30,6,True,1,True,True,True,True,VALID EARLY STOP
33,21-02-2018_DDOS-LOIC-UDP_6,DDOS-LOIC-UDP,True,30,6,True,1,True,True,True,True,VALID EARLY STOP
34,21-02-2018_DDOS-LOIC-UDP_7,DDOS-LOIC-UDP,True,30,6,True,1,True,True,True,True,VALID EARLY STOP
35,21-02-2018_DDOS-LOIC-UDP_8,DDOS-LOIC-UDP,True,30,6,True,1,True,True,True,True,VALID EARLY STOP
36,21-02-2018_DDOS-LOIC-UDP_9,DDOS-LOIC-UDP,True,30,6,True,1,True,True,True,True,VALID EARLY STOP
