fold_id,checkpoint_exists,best_checkpoint_available,training_status,evaluation_status
0,True,True,TRAINED,COMPLETE
1,True,True,TRAINED,COMPLETE
2,True,True,TRAINED,COMPLETE
3,True,True,TRAINED,COMPLETE
4,True,True,TRAINED,COMPLETE
5,True,True,TRAINED,COMPLETE
6,True,True,TRAINED,COMPLETE
7,True,True,TRAINED,COMPLETE
8,True,True,TRAINED,COMPLETE
9,True,True,TRAINED,COMPLETE
10,True,True,TRAINED,COMPLETE
11,True,True,TRAINED,COMPLETE
12,True,True,TRAINED,COMPLETE
13,True,True,TRAINED,COMPLETE
14,True,True,TRAINED,COMPLETE
15,True,True,TRAINED,COMPLETE
16,True,True,TRAINED,COMPLETE
17,True,True,TRAINED,COMPLETE
18,True,True,TRAINED,COMPLETE
19,True,True,TRAINED,COMPLETE
20,True,True,TRAINED,COMPLETE
21,True,True,TRAINED,COMPLETE
22,True,True,TRAINED,COMPLETE
23,True,True,TRAINED,COMPLETE
24,True,True,TRAINED,COMPLETE
25,True,True,TRAINED,COMPLETE
26,True,True,TRAINED,COMPLETE
27,True,True,TRAINED,COMPLETE
28,True,True,TRAINED,COMPLETE
29,True,True,TRAINED,COMPLETE
30,True,True,TRAINED,COMPLETE
31,True,True,TRAINED,COMPLETE
32,True,True,TRAINED,COMPLETE
33,True,True,TRAINED,COMPLETE
34,True,True,TRAINED,COMPLETE
35,True,True,TRAINED,COMPLETE
36,True,True,TRAINED,COMPLETE
